FID,COUNT,AREA,SUM,PERCENTAGE
190,1298954,0.040849662,0,0
191,1038394,0.03265554,0,0
192,13523,0.000425273,0,0
193,14881,0.000467979,0,0
194,56483,0.001776284,0,0
195,108850,0.003423128,0,0
196,278627,0.008762295,0,0
197,151770,0.004772881,0,0
198,303347,0.009539693,0,0
199,308911,0.00971467,0,0
200,271718,0.00854502,0,0
201,97712,0.003072859,0,0
202,372650,0.011719142,0,0
203,64464,0.002027272,0,0
204,47038,0.001479257,66,0.001403121
205,549248,0.017272817,170,0.000309514
206,656255,0.020637986,79,0.00012038
207,1454806,0.045750914,16403,0.011275043
208,124267,0.003907964,8653,0.069632324
209,1180362,0.037120166,48220,0.040851874
210,2274080,0.071515542,34643,0.015233853
211,825178,0.025950297,0,0
212,677576,0.021308492,0,0
213,854447,0.026870752,0,0
214,743223,0.023372966,0,0
215,43673,0.001373434,0,0
216,1605147,0.050478856,935,0.000582501
217,2686995,0.084500942,350,0.000130257
218,4390882,0.138084986,797,0.000181513
219,1228556,0.038635777,212,0.00017256
220,516194,0.016233331,35,6.7804E-05
221,352347,0.011080651,266,0.000754938
222,520094,0.016355979,0,0
223,1948515,0.061277134,2246,0.001152673
224,2257308,0.070988094,216,9.56892E-05
225,1381431,0.043443408,0,0
226,2275453,0.07155872,120,5.27368E-05
227,235557,0.007407825,0,0
228,651334,0.02048323,0,0
229,54731,0.001721187,0,0
230,261702,0.008230036,0,0
231,13158,0.000413794,0,0
232,12092,0.000380271,0,0
233,29629,0.000931776,0,0
234,3308250,0.104038244,0,0
235,4049102,0.127336647,0,0
236,185764,0.005841929,2452,0.013199544
237,533789,0.016786661,0,0
238,877353,0.027591103,5010,0.005710358
239,33379,0.001049707,0,0
240,525962,0.016540516,0,0
241,49178,0.001546556,0,0
242,22233,0.000699186,0,0
243,5162170,0.162340544,0,0
244,3006145,0.09453761,0,0
245,5313156,0.16708877,0,0
246,2934148,0.09227344,0,0
247,3287015,0.103370443,0,0
248,86064,0.002706551,0,0
249,2475998,0.077865483,0,0
250,388015,0.012202342,0,0
251,338473,0.01064434,0,0
252,286872,0.009021585,0,0
253,175893,0.005531504,0,0
254,610237,0.019190807,831,0.001361766
255,602823,0.01895765,25478,0.042264479
256,61640,0.001938462,0,0
257,1738350,0.05466784,0,0
258,1791232,0.05633088,0,0
259,607618,0.019108444,0,0
260,150160,0.00472225,0,0
261,682163,0.021452744,0,0
262,155906,0.004902951,0,0
263,2406638,0.075684242,0,0
264,2407778,0.075720092,0,0
265,1022874,0.032167465,0,0
266,152420,0.004793323,0,0
267,45809,0.001440607,0,0
268,20982,0.000659844,0,0
269,1248354,0.039258387,0,0
270,1080575,0.033982053,0,0
271,124577,0.003917712,0,0
272,1393223,0.043814245,0,0
273,999591,0.031435258,0,0
274,862204,0.027114695,0,0
275,43963,0.001382554,146,0.003320974
276,9183,0.000288788,0,0
277,251682,0.007914926,0,0
278,391689,0.012317883,1147,0.002928344
279,509418,0.016020239,0,0
280,482529,0.01517463,925,0.001916983
281,167032,0.005252842,0,0
282,1488292,0.046803986,0,0
283,4839387,0.152189625,0,0
284,36665,0.001153045,0,0
285,276886,0.008707544,0,0
286,642568,0.020207556,0,0
287,423793,0.013327493,0,0
288,620206,0.019504313,0,0
289,64175,0.002018183,0,0
290,447675,0.014078537,0,0
291,673350,0.021175592,0,0
292,500329,0.015734407,0,0
293,28843,0.000907058,0,0
294,1574206,0.04950582,2245,0.001426116
295,864558,0.027188724,0,0
296,372662,0.011719519,0,0
297,17071,0.000536851,0,0
298,593912,0.018677416,0,0
299,773428,0.024322857,0,0
300,364174,0.011452588,0,0
301,16020681,0.503820305,21249,0.001326348
302,3792724,0.119274041,11245,0.002964888
303,2008551,0.063165154,2831,0.001409474
304,3387937,0.106544251,0,0
305,1004029,0.031574825,0,0
306,934107,0.029375909,0,0
307,800267,0.025166893,4530,0.005660611
308,22025,0.000692645,1663,0.075505108
309,1838829,0.057827716,4082,0.002219891
310,808972,0.025440649,12724,0.015728604
311,215037,0.006762509,0,0
312,285377,0.00897457,0,0
313,259107,0.008148428,0,0
314,282292,0.008877553,0,0
315,1391564,0.043762072,357,0.000256546
316,10526,0.000331023,0,0
317,716405,0.022529591,0,0
318,602715,0.018954254,0,0
319,723551,0.022754319,0,0
320,396357,0.012464683,0,0
321,1229884,0.03867754,29,2.35795E-05
322,313401,0.009855872,629,0.002007013
323,121742,0.003828557,0,0
324,3681807,0.11578591,54433,0.014784317
325,2397823,0.075407026,366,0.000152638
326,1656029,0.052078999,1278,0.000771726
327,481184,0.015132332,0,0
328,796308,0.02504239,27101,0.034033314
329,395438,0.012435782,0,0
330,319581,0.010050222,0,0
331,147042,0.004624195,0,0
332,252595,0.007943638,0,0
333,493530,0.015520591,0,0
334,328914,0.010343727,0,0
335,207624,0.006529385,0,0
336,30809,0.000968885,0,0
337,308297,0.009695361,0,0
338,636374,0.020012766,27642,0.043436721
339,340603,0.010711324,0,0
340,378840,0.011913806,0,0
341,875920,0.027546038,0,0
342,1498732,0.047132304,0,0
343,1798978,0.056574477,0,0
344,1996833,0.062796645,0,0
345,85781,0.002697651,0,0
346,284869,0.008958595,0,0
347,340437,0.010706104,0,0
348,301722,0.00948859,0,0
349,445369,0.014006018,0,0
350,276372,0.00869138,0,0
351,336008,0.01056682,3250,0.009672389
352,63521,0.001997616,0,0
