FID,COUNT,AREA,SUM,aug_22,nov_dec_24,oct_24,recur
368,768405,0.02420176,1324,0.00172305,0,0.000119543,2
369,428701,0.013502409,1253,0.002922783,0,0.002454851,2
371,482063,0.015183104,85,0.000176326,0,0.001485062,2
381,787509,0.024803462,708,0.000899037,0,0.000408276,2
386,516217,0.016258822,67,0.00012979,0,0.006574366,2
387,671217,0.021140717,242,0.000360539,0,0.018700667,2
391,70700,0.002226774,101,0.001428571,0,0.033816425,2
437,4477510,0.1410241,389,8.68786E-05,0,0.000158551,2
491,1094126,0.034460701,12,1.09677E-05,0,6.38806E-05,2
492,1588460,0.050030294,1459,0.0009185,0,0.000224403,2
494,537144,0.016917941,2765,0.005147595,0,0.00889649,2
498,422048,0.013292866,493,0.001168114,0,0.0013391,2
499,643402,0.020264653,2748,0.004271047,0,0.018097848,2
503,330592,0.010412358,807,0.002441075,0,0.009296117,2
505,254319,0.008010056,208,0.00081787,0,0.000369083,2
524,4271795,0.13454488,0,0,0.003687473,0.000278611,2
525,4294985,0.135275274,0,0,0.002506203,0.000476811,2
529,508723,0.01602279,0,0,0.000789401,0.000657573,2
530,1881880,0.059271879,4999,0.002656386,0,0.00011991,2
548,2062357,0.064956201,0,0,0.001757651,3.58261E-05,2
2,70142,0.002209199,0,0,0,0.05667924,1
3,34359,0.001082174,108,0.003143281,0,0,1
5,88308,0.002781358,0,0,0,0.000757644,1
32,3085904,0.097193939,0,0,0.00013498,0,1
33,2769872,0.087240164,0,0,0.000230079,0,1
34,1580296,0.04977316,0,0,0.000142854,0,1
35,891859,0.02809008,0,0,6.27137E-05,0,1
38,986745,0.031078619,0,0,0.000132609,0,1
40,107999,0.003401547,337,0.003120399,0,0,1
41,1839870,0.057948728,0,0,0,0.000113422,1
43,6321884,0.199114686,0,0,0,0.000122246,1
44,6203271,0.195378839,0,0,0,1.12673E-05,1
45,4992559,0.157246134,0,0,0.000198477,0,1
46,3145348,0.099066193,0,0,0.002257639,0,1
47,2632385,0.082909859,0,0,0.00017493,0,1
48,5013367,0.157901505,0,0,7.83025E-05,0,1
51,61735,0.001944412,0,0,0,0.020734607,1
64,283809,0.008938876,0,0,0,0.000485444,1
65,990022,0.031181831,0,0,0,0.000126067,1
66,3203503,0.100897849,0,0,0,0.002525008,1
70,3931507,0.123827135,0,0,3.68388E-05,0,1
74,337873,0.010641682,0,0,0,0.077332671,1
98,1069209,0.033675913,0,0,0,0.000107386,1
99,1303552,0.041056803,0,0,0,5.89795E-05,1
100,1249215,0.0393454,0,0,0,5.99454E-05,1
102,2585403,0.08143011,0,0,0.002629223,0,1
107,1125156,0.035438025,0,0,0.000258341,0,1
109,566355,0.017837973,0,0,0.000664922,0,1
111,869955,0.027400189,0,0,0.000346756,0,1
115,2077119,0.065421146,0,0,4.1357E-05,0,1
117,3445533,0.10852085,0,0,2.17429E-05,0,1
125,557643,0.017563579,0,0,0,0.00040646,1
130,21460,0.000675906,162,0.007548928,0,0,1
142,181982,0.005731723,0,0,0,0.000411475,1
156,2569667,0.080934487,0,0,5.48093E-05,0,1
158,2044532,0.064394783,0,0,3.66431E-05,0,1
161,41975,0.001322049,0,0,0,0.002307217,1
166,584402,0.018406383,237,0.000405543,0,0,1
168,3076434,0.096895671,0,0,0,0.000204795,1
170,12001,0.000377985,0,0,0,0.005325788,1
190,1296966,0.04084937,0,0,4.85197E-05,0,1
194,56358,0.001775057,12,0.000212925,0,0,1
205,548440,0.017273721,0,0,0,0.000309514,1
206,655267,0.020638355,0,0,0,0.00012038,1
208,124083,0.00390813,0,0,0,0.069632324,1
216,1602720,0.050479428,0,0,0,0.000582501,1
217,2682876,0.084500129,0,0,0,0.000130257,1
218,4384185,0.138084726,0,0,0,0.000181513,1
219,1226683,0.03863573,0,0,0,0.00017256,1
220,515428,0.016233971,0,0,0,6.7804E-05,1
221,351787,0.011079918,0,0,0,0.000754938,1
229,54649,0.00172123,65,0.001189409,0,0,1
234,3303189,0.104037569,0,0,2.23777E-05,0,1
244,3001720,0.094542471,0,0,0.000109154,0,1
246,2929711,0.092274469,0,0,5.14871E-05,0,1
247,3282012,0.103370576,0,0,0.000664965,0,1
249,2472220,0.077865287,0,0,0.00011879,0,1
254,609292,0.019190321,0,0,0,0.001361766,1
258,1788504,0.0563309,0,0,0.000449598,0,1
264,2404045,0.07571804,0,0,0.000195696,0,1
275,43892,0.001382427,0,0,0,0.003320974,1
282,1486008,0.046803456,0,0,0.000365677,0,1
295,863223,0.027188157,93,0.000107736,0,0,1
301,15996243,0.503819258,0,0,0,0.001326348,1
342,1496559,0.047135771,0,0,8.14353E-05,0,1
379,677473,0.021337757,0,0,0.000355341,0,1
406,278521,0.008772325,54,0.000193881,0,0,1
407,465805,0.014671041,749,0.001607969,0,0,1
410,417748,0.013157432,153,0.00036625,0,0,1
429,788124,0.024822832,88,0.000111658,0,0,1
442,3051039,0.096095827,0,0,0.001014601,0,1
443,961140,0.030272161,0,0,0.000965482,0,1
444,1419406,0.044705752,0,0,0.000159748,0,1
446,372720,0.011739226,0,0,0,1.87508E-05,1
452,58970,0.001857325,0,0,1.69466E-05,0,1
456,10134,0.000319181,0,0,0,0.000492514,1
462,204720,0.006447881,531,0.002593787,0,0,1
464,151967,0.004786368,783,0.005152434,0,0,1
472,893130,0.028130111,0,0,0.00011855,0,1
481,328875,0.01035828,163,0.000495629,0,0,1
496,776601,0.024459902,0,0,0.000118333,0,1
497,636977,0.020062291,0,0,0.000100361,0,1
506,265261,0.008354687,0,0,0,0.001257161,1
510,677751,0.021346513,1500,0.002213202,0,0,1
517,221702,0.006982748,145,0.000654031,0,0,1
519,504059,0.015875892,62,0.000123001,0,0,1
527,769663,0.024241382,0,0,0,0.000287981,1
528,634526,0.019985094,772,0.001216656,0,0,1
534,9111625,0.286980646,0,0,0.000376463,0,1
543,24398,0.000768442,0,0,0,0.003150315,1
547,1859124,0.058555154,0,0,0.000236417,0,1
550,1172192,0.036919476,0,0,8.52142E-07,0,1
1,127250,0.004007879,0,0,0,0,0
6,73822,0.002325105,0,0,0,0,0
7,56531,0.001780506,0,0,0,0,0
9,50902,0.001603214,0,0,0,0,0
10,101062,0.003183059,0,0,0,0,0
11,91486,0.002881452,0,0,0,0,0
12,41768,0.001315529,0,0,0,0,0
13,110452,0.003478807,0,0,0,0,0
14,29029,0.0009143,0,0,0,0,0
15,181617,0.005720227,0,0,0,0,0
16,40179,0.001265482,0,0,0,0,0
17,27449,0.000864536,0,0,0,0,0
18,408080,0.012852928,0,0,0,0,0
24,11714,0.000368945,0,0,0,0,0
25,11569,0.000364378,0,0,0,0,0
26,19374,0.000610205,0,0,0,0,0
27,36883,0.001161671,0,0,0,0,0
29,364921,0.011493588,0,0,0,0,0
30,307799,0.009694468,0,0,0,0,0
31,419508,0.013212866,0,0,0,0,0
36,1116901,0.035178025,0,0,0,0,0
37,812641,0.025595022,0,0,0,0,0
39,26731,0.000841922,0,0,0,0,0
42,663586,0.020900371,0,0,0,0,0
54,18989,0.000598079,0,0,0,0,0
55,14795,0.000465985,0,0,0,0,0
56,581625,0.018318919,0,0,0,0,0
58,111793,0.003521043,0,0,0,0,0
60,1293977,0.040755228,0,0,0,0,0
61,549770,0.017315611,0,0,0,0,0
63,760483,0.023952248,0,0,0,0,0
67,1738560,0.054757858,0,0,0,0,0
69,30199,0.000951151,0,0,0,0,0
71,3069333,0.096672017,0,0,0,0,0
72,1958041,0.061670654,0,0,0,0,0
73,7851636,0.247295907,0,0,0,0,0
77,57032,0.001796286,0,0,0,0,0
81,7744,0.000243906,0,0,0,0,0
84,732537,0.023072058,0,0,0,0,0
85,458919,0.014454158,0,0,0,0,0
86,42427,0.001336285,0,0,0,0,0
87,257738,0.008117742,0,0,0,0,0
88,798378,0.025145793,0,0,0,0,0
89,1039855,0.032751376,0,0,0,0,0
90,1078998,0.033984228,0,0,0,0,0
91,32019,0.001008474,0,0,0,0,0
92,14445,0.000454961,0,0,0,0,0
93,12556,0.000395465,0,0,0,0,0
94,499,1.57166E-05,0,0,0,0,0
95,5102,0.000160693,0,0,0,0,0
96,6564,0.00020674,0,0,0,0,0
97,810838,0.025538234,0,0,0,0,0
101,738318,0.023254137,0,0,0,0,0
103,1164526,0.036678027,0,0,0,0,0
104,621941,0.019588716,0,0,0,0,0
105,1109857,0.034956166,0,0,0,0,0
106,472183,0.014871923,0,0,0,0,0
108,243659,0.007674308,0,0,0,0,0
110,362659,0.011422344,0,0,0,0,0
112,635370,0.020011677,0,0,0,0,0
113,185786,0.005851534,0,0,0,0,0
114,55984,0.001763278,0,0,0,0,0
116,2484804,0.078261634,0,0,0,0,0
118,2325253,0.073236399,0,0,0,0,0
119,1293158,0.040729433,0,0,0,0,0
120,902433,0.028423119,0,0,0,0,0
121,585158,0.018430194,0,0,0,0,0
122,39659,0.001249104,0,0,0,0,0
123,32508,0.001023875,0,0,0,0,0
124,353365,0.011129619,0,0,0,0,0
126,891882,0.028090804,0,0,0,0,0
127,377345,0.011884896,0,0,0,0,0
128,759267,0.023913949,0,0,0,0,0
129,712425,0.022438609,0,0,0,0,0
131,412837,0.013002755,0,0,0,0,0
132,771095,0.024286485,0,0,0,0,0
133,479391,0.015098947,0,0,0,0,0
134,30296,0.000954206,0,0,0,0,0
135,555515,0.017496556,0,0,0,0,0
136,29453,0.000927655,0,0,0,0,0
140,27221,0.000857355,0,0,0,0,0
141,432435,0.013620016,0,0,0,0,0
143,311397,0.009807791,0,0,0,0,0
144,21439,0.000675245,0,0,0,0,0
145,617889,0.019461093,0,0,0,0,0
146,321469,0.01012502,0,0,0,0,0
147,196608,0.006192385,0,0,0,0,0
151,246252,0.007755977,0,0,0,0,0
152,20808,0.000655371,0,0,0,0,0
153,4708,0.000148284,0,0,0,0,0
154,837123,0.026366109,0,0,0,0,0
157,2591824,0.081632346,0,0,0,0,0
