FID,COUNT,AREA,SUM,Percentage
192,13519,0.000425322,0,0
193,14870,0.000467826,0,0
194,56447,0.001775884,0,0
195,108805,0.003423123,0,0
196,278513,0.008762321,0,0
197,151703,0.004772741,0,0
198,303215,0.009539473,0,0
199,308773,0.009714333,0,0
200,271615,0.008545302,0,0
201,97684,0.003073245,0,0
202,372562,0.011721205,0,0
203,64440,0.002027352,0,0
204,47037,0.001479835,0,0
205,549032,0.017273142,0,0
206,656011,0.020638817,0,0
207,1454184,0.045750206,2616,0.001798947
208,124216,0.00390797,0,0
209,1179888,0.037120556,300,0.000254261
210,2273139,0.071515418,242,0.000106461
211,824832,0.025950109,0,0
212,677282,0.021308026,0,0
213,854090,0.026870598,0,0
214,742916,0.023372943,0,0
215,43641,0.001372993,0,0
216,1604525,0.050480097,0,0
217,2685855,0.084499911,0,0
218,4389114,0.138086286,0,0
219,1228044,0.038635596,0,0
220,516043,0.016235272,0,0
221,352188,0.011080216,0,0
222,519848,0.016354982,0,0
223,1947742,0.061278076,4557,0.002339632
224,2256368,0.070987784,130,5.76147E-05
225,1380895,0.043444454,0,0
226,2274517,0.071558772,502,0.000220706
227,235438,0.007407135,0,0
228,651048,0.020482676,0,0
229,54703,0.001721016,0,0
230,261592,0.008229968,0,0
231,13153,0.000413808,0,0
232,12085,0.000380207,0,0
233,29622,0.00093194,0,0
234,3306859,0.10403737,74,2.23777E-05
235,4047440,0.127336852,0,0
236,185640,0.005840436,63,0.000339367
237,533560,0.016786376,0,0
238,876968,0.027590364,237,0.000270249
239,33368,0.001049793,0,0
240,525763,0.016541074,0,0
241,49173,0.001547036,0,0
242,22237,0.0006996,0,0
243,5160074,0.162341524,0,0
244,3004940,0.094538671,328,0.000109154
245,5310973,0.16708897,0,0
246,2932772,0.092268188,151,5.14871E-05
247,3285887,0.103377569,2185,0.000664965
248,86030,0.002706597,0,0
249,2474961,0.077864957,294,0.00011879
250,387879,0.012203094,0,0
251,338293,0.010643065,0,0
252,286747,0.009021372,0,0
253,175818,0.005531425,0,0
254,609984,0.019190758,0,0
255,602598,0.018958387,0,0
256,61636,0.001939135,0,0
257,1737596,0.054666655,0,0
258,1790488,0.056330694,805,0.000449598
259,607346,0.019107764,0,0
260,150105,0.004722466,0,0
261,681892,0.021453062,0,0
262,155834,0.004902707,0,0
263,2405594,0.075682596,0,0
264,2406790,0.075720224,471,0.000195696
265,1022385,0.032165341,0,0
266,152359,0.004793379,0,0
267,45778,0.001440226,62,0.001354362
268,20966,0.000659613,0,0
269,1247885,0.039259815,0,0
270,1080306,0.033987598,0,0
271,124512,0.003917283,0,0
272,1392608,0.043812958,0,0
273,999212,0.031436293,0,0
274,861810,0.027113477,0,0
275,43941,0.001382432,0,0
276,9141,0.000287586,0,0
277,251569,0.007914634,0,0
278,391565,0.01231906,260,0.000664002
279,509218,0.016020551,0,0
280,482310,0.015173996,171,0.000354544
281,166948,0.005252365,0,0
282,1487653,0.046803177,544,0.000365677
283,4837373,0.152189001,0,0
284,36647,0.001152954,0,0
285,276766,0.008707359,0,0
286,642340,0.020208713,0,0
287,423615,0.013327387,0,0
288,619922,0.019503418,0,0
289,64137,0.00201782,0,0
290,447485,0.014078363,0,0
291,673138,0.021177651,0,0
292,500096,0.015733563,0,0
293,28832,0.000907086,0,0
294,1573569,0.049506187,3501,0.002224879
295,864198,0.027188606,0,0
296,372492,0.011719002,0,0
297,17062,0.000536789,0,0
298,593663,0.018677282,0,0
299,773126,0.024323382,0,0
300,364000,0.011451835,0,0
301,16014103,0.503821047,0,0
302,3791175,0.119274477,2047,0.000539938
303,2007724,0.063165174,1356,0.000675392
304,3386535,0.106544064,0,0
305,1003615,0.031574816,0,0
306,933704,0.02937534,0,0
307,799959,0.025167578,990,0.001237563
308,22025,0.00069293,0,0
309,1838073,0.05782777,140,7.61667E-05
310,808642,0.025440754,3345,0.004136565
311,214945,0.006762403,0,0
312,285285,0.008975375,0,0
313,259008,0.008148673,0,0
314,282191,0.008878035,0,0
315,1390972,0.043761488,457,0.000328547
316,10530,0.000331285,0,0
317,716132,0.022530289,0,0
318,602476,0.018954548,0,0
319,723200,0.022752656,0,0
320,396206,0.01246507,0,0
321,1229401,0.038678289,97,7.89002E-05
322,313277,0.009856034,139,0.000443697
323,121695,0.003828657,0,0
324,3680182,0.115782517,24147,0.00656136
325,2396837,0.075407091,2698,0.00112565
326,1655357,0.052079326,1808,0.001092212
327,480964,0.015131649,0,0
328,795996,0.025042897,2501,0.003141976
329,395286,0.012436126,0,0
330,319420,0.0100493,0,0
331,146990,0.004624465,0,0
332,252471,0.007943011,0,0
333,493353,0.01552142,0,0
334,328773,0.010343555,0,0
335,207541,0.006529465,0,0
336,30755,0.000967586,0,0
337,308184,0.009695803,0,0
338,636108,0.020012648,360,0.000565942
339,340474,0.010711681,0,0
340,378705,0.01191447,0,0
341,875513,0.027544588,0,0
342,1498122,0.047132543,122,8.14353E-05
343,1798290,0.056576154,0,0
344,1996043,0.062797677,0,0
345,85747,0.002697694,0,0
346,284750,0.008958544,0,0
347,340297,0.010706113,0,0
348,301600,0.009488663,0,0
349,445184,0.014005971,0,0
350,276247,0.00869103,0,0
351,335877,0.010567055,151,0.000449569
352,63514,0.001998219,0,0
353,232296,0.007308284,0,0
354,47110,0.001482132,0,0
355,478796,0.015063441,2375,0.004960359
356,245897,0.007736186,0,0
357,235868,0.007420663,0,0
358,421608,0.013264245,0,0
359,396197,0.012464787,0,0
360,15209,0.000478492,0,0
361,49935,0.001571009,0,0
362,330481,0.010397291,0,0
363,207941,0.006542049,0,0
364,328210,0.010325843,0,0
365,284279,0.008943726,0,0
366,281600,0.008859441,0,0
367,517602,0.01628432,0,0
368,769257,0.024201659,0,0
369,429163,0.013501933,0,0
370,300253,0.009446285,0,0
371,482598,0.015183056,0,0
372,316163,0.009946831,0,0
373,450355,0.014168657,0,0
374,826449,0.026000982,0,0
375,309169,0.009726792,0,0
376,494198,0.015548005,0,0
377,812710,0.025568738,0,0
378,2497283,0.078567231,0,0
379,678222,0.0213376,241,0.000355341
380,48656,0.001530771,0,0
381,788339,0.024802,0,0
382,470743,0.014810085,14,2.97402E-05
383,757123,0.023819911,3444,0.004548799
384,639646,0.020123957,0,0
385,612979,0.019284984,0,0
386,516783,0.016258554,0,0
387,671947,0.021140181,0,0
388,1634238,0.0514149,1819,0.001113057
389,2090345,0.065764521,6640,0.003176509
390,3396357,0.106853075,27211,0.00801182
391,70797,0.00222735,0,0
392,4658921,0.146574707,211,4.52895E-05
393,1572015,0.049457297,624,0.000396943
394,773667,0.024340403,1142,0.001476087
395,86174,0.002711127,0,0
396,12083,0.000380144,0,0
397,416004,0.013087937,0,0
398,436270,0.013725527,0,0
399,435060,0.013687459,0,0
400,19715,0.000620255,118,0.00598529
401,38891,0.001223553,0,0
402,9350,0.000294161,0,0
403,1123890,0.035358798,0,0
404,898900,0.028280369,0,0
405,1253389,0.039432977,0,0
406,278807,0.008771571,0,0
407,466258,0.014668982,0,0
408,352274,0.011082922,0,0
409,121487,0.003822113,0,0
410,418169,0.01315605,0,0
411,303793,0.009557657,0,0
412,536907,0.016891676,0,0
413,433339,0.013633315,0,0
414,300186,0.009444177,0,0
415,689661,0.021697483,0,0
416,323011,0.010162276,0,0
417,4695,0.00014771,0,0
418,16685,0.000524928,0,0
419,9634,0.000303096,0,0
420,8518,0.000267986,0,0
421,8097,0.00025474,0,0
422,6185,0.000194587,0,0
423,1714,5.39243E-05,0,0
424,3442,0.000108289,0,0
425,2053,6.45896E-05,0,0
426,3218,0.000101242,0,0
427,5313,0.000167153,0,0
428,29266,0.00092074,0,0
429,788993,0.024822575,0,0
430,1154418,0.036319242,1041,0.000901753
431,415839,0.013082746,344,0.000827243
432,65329,0.002055321,0,0
433,20454,0.000643505,0,0
434,18840,0.000592727,0,0
435,21191,0.000666692,0,0
436,2042245,0.064251242,0,0
437,4482534,0.141025381,0,0
438,4495195,0.14142371,69,1.53497E-05
439,68017,0.002139889,0,0
440,790634,0.024874203,0,0
441,1983365,0.062398814,0,0
442,3054402,0.096094799,3099,0.001014601
443,962214,0.030272296,929,0.000965482
444,1420988,0.044705824,227,0.000159748
445,351775,0.011067223,0,0
446,373139,0.011739358,0,0
447,326678,0.010277644,0,0
448,496075,0.015607057,0,0
449,600837,0.018902984,0,0
450,1187082,0.037346887,0,0
451,1527718,0.048063665,0,0
452,59009,0.001856487,1,1.69466E-05
453,1148418,0.036130476,0,0
454,691419,0.021752792,0,0
455,1313504,0.04132426,0,0
456,10155,0.000319487,0,0
457,6553393,0.206176851,9658,0.00147374
458,3126883,0.09837513,329,0.000105217
459,10204,0.000321029,0,0
460,22776,0.000716558,0,0
461,7361,0.000231585,0,0
462,204979,0.006448862,0,0
463,142798,0.00449258,0,0
464,152115,0.004785703,0,0
465,527055,0.016581722,0,0
466,870632,0.027391027,0,0
467,118517,0.003728673,0,0
468,138874,0.004369127,0,0
469,1090548,0.034309823,0,0
470,787849,0.024786584,0,0
471,485094,0.015261583,0,0
472,894135,0.028130457,106,0.00011855
473,43794,0.001377807,0,0
474,965459,0.030374387,64,6.62897E-05
475,448132,0.014098719,0,0
476,395473,0.012442009,0,0
477,33789,0.001063039,0,0
478,316424,0.009955042,0,0
479,178549,0.005617345,0,0
480,604483,0.019017691,0,0
481,329244,0.010358373,0,0
482,33150,0.001042935,0,0
483,44846,0.001410904,0,0
484,629042,0.019790344,0,0
485,18351,0.000577342,0,0
486,42589,0.001339896,0,0
487,498011,0.015667966,0,0
488,483890,0.015223704,51,0.000105396
489,66014,0.002076872,0,0
490,20656,0.00064986,0,0
491,1095348,0.034460836,0,0
492,1590215,0.050029888,0,0
493,612668,0.0192752,0,0
494,537759,0.016918481,0,0
495,21727,0.000683555,0,0
496,777465,0.024459892,92,0.000118333
497,637699,0.020062702,64,0.000100361
498,422520,0.013292937,0,0
499,644109,0.020264368,0,0
500,417222,0.013126257,62,0.000148602
501,244625,0.007696168,58,0.000237098
502,263370,0.008285906,0,0
503,330947,0.010411952,0,0
504,1058382,0.033297846,223,0.000210699
505,254584,0.008009489,0,0
506,265580,0.008355435,0,0
507,827957,0.026048425,143,0.000172714
508,704475,0.022163547,12,1.7034E-05
509,640704,0.020157243,565,0.000881842
510,678495,0.021346189,0,0
511,13907,0.000437529,0,0
512,53116,0.001671087,0,0
513,4287,0.000134874,0,0
514,9506,0.000299069,0,0
515,2980,9.3754E-05,0,0
516,252509,0.007944207,0,0
517,221919,0.006981812,0,0
518,394676,0.012416935,0,0
519,504618,0.01587583,0,0
520,154971,0.004875556,0,0
521,33958,0.001068356,0,0
522,39000,0.001226982,0,0
523,72895,0.002293356,0,0
524,4276641,0.134547764,15770,0.003687473
525,4299731,0.1352742,10776,0.002506203
526,28472,0.00089576,0,0
527,770554,0.024242464,0,0
528,635276,0.019986472,0,0
529,509247,0.016021463,402,0.000789401
530,1883986,0.059272243,0,0
531,30627,0.000963559,0,0
532,2956078,0.09300142,0,0
533,26079644,0.820493883,0,0
534,9121752,0.28698021,3434,0.000376463
535,15536,0.000488779,0,0
536,661217,0.020802604,0,0
537,159015,0.005002784,0,0
538,384722,0.012103771,0,0
539,716186,0.022531988,0,0
540,1949,6.13177E-05,0,0
541,3477,0.00010939,0,0
542,11183,0.000351829,0,0
543,24423,0.000768374,0,0
544,6452191,0.202992926,1860,0.000288274
545,10291375,0.323777818,4594,0.000446393
546,9723,0.000305896,0,0
547,1861121,0.058552885,440,0.000236417
548,2064688,0.064957324,3629,0.001757651
549,4405599,0.138604922,0,0
550,1173513,0.036919992,1,8.52142E-07
551,20606,0.000648287,0,0
552,5789,0.000182128,0,0
553,75530,0.002376256,0,0
