system:index,VHI_M,VHI_class,adm4_id,month,season,year,ym,.geo
VHI_M_2021-01_00000000000000000017,46.46275122917411,2.128562245553889,24,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000018,232.38578645551627,4.744266551276502,25,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000019,30.065346658369126,2.350947805764737,26,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000001a,13.655537526410768,2.2299406912536646,27,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005b,160.2110988153771,3.7788428023701623,92,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005c,60.16281869003768,2.096457874724835,93,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005d,254.0,5.0,94,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005e,35.17385318490814,1.5595650024715768,95,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005f,81.68795157235968,2.8435818601076095,96,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b6,0.43254977028822655,2.16156202143951,183,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b7,0.6543769905983384,3.2789373814041753,184,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b8,0.29190519654285507,1.1635687732342008,185,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b9,39.27329916815584,2.4880886426592794,186,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000ba,0.4746879985014597,2.216533333333333,187,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
