system:index,VHI_M,VHI_class,adm4_id,month,season,year,ym,.geo
VHI_M_2020-01_00000000000000000201,101.7550224041587,2.729573010015814,514,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000202,0.3597846707581036,1.5512489233419466,515,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000002,18.538951066140942,2.0367200643698333,3,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000000d,17.063940080985358,2.59023207481815,14,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000027,53.40222496408775,2.543582464631422,40,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000070,0.4003370539557961,1.862025590391431,113,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000071,0.3897079938512872,1.876374736275082,114,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001b0,55.90134456879848,2.3576085619387377,433,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001b1,7.459636135156394,2.251969555347844,434,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001b2,90.9568409152958,3.1512415349887126,435,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001cd,1.2735956522395002,2.026589935825859,462,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001ce,0.4268567514502522,1.978997445159017,463,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001cf,22.2103267150387,2.191312980888558,464,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000001c,0.4623671857250674,2.2551924493490927,29,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000001d,0.4333918517041354,2.1039429735234214,30,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000001e,0.4160025388229293,1.9567931185269036,31,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000026,0.4258653288470493,1.9847543760587236,39,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000f9,0.4859685501113592,2.406871011259274,250,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000fa,0.5024890289375218,2.6009458796234326,251,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000fb,0.483311332141267,2.460581131214973,252,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000fc,0.495819314405727,2.553304721030044,253,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000163,0.4627960954896338,2.217930357215926,356,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000164,0.4368895804484781,2.088155915641701,357,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000165,0.4702030304666227,2.296852539976977,358,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000166,0.4153947046407252,1.9547901720525684,359,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000149,0.4193369259316705,1.959348697315897,330,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000014a,0.4025332398759679,1.933691541607488,331,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000014b,0.3891821098561593,1.727903964933255,332,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000014c,0.4275194486941823,1.9916039640300969,333,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000014d,0.3983230440555909,1.792447922643227,334,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000014e,0.4035242395875759,1.92629984244334,335,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000158,0.4203834754623974,1.9786028764308767,345,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000159,0.4192521087607121,1.9880305640210236,346,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000015a,0.4516038224334587,2.175340035481964,347,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000015b,0.4338966113396579,2.057398033639933,348,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000015c,0.4366004695798945,1.9943445688651849,349,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000015d,0.434337011232381,2.012119722093225,350,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000008,0.3917333879564625,1.7955375654062593,9,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c2,0.38249907545916,1.8510062456627336,195,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c3,0.4301715453126296,1.9996477887454955,196,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c4,0.3929646014845921,1.762009023354565,197,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c5,0.423490335457011,1.9700871007880545,198,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c6,0.4322684141902261,2.071270794786733,199,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c7,0.4180738825099848,1.9114790225654417,200,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c8,0.3614671436600974,1.530128238141835,201,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c9,0.4222534044364701,1.986635888713401,202,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000136,0.4188066252739409,1.9694024351731636,311,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000137,0.4403899063577317,2.0906606002892105,312,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
