GID_2,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
AFG.1.1_1,AFG,100639.7203,0,62814.04592,37825.67435,0,0.62414766,0.62414766,0.37585234,2,38085.12145,4166.353703,20562.57076,20465.01642,14975.1868,2385.471128,0.378430319,0.041398701,0.20431864,0.203349298,0.148799964,0.023703078,21
AFG.1.2_1,AFG,68948.29157,0,21976.40569,46971.88588,0,0.318737494,0.318737494,0.681262506,1,21673.72878,0,302.6769084,40754.55718,5773.98627,443.3424299,0.314347583,0,0.004389912,0.591088717,0.083743718,0.006430071,13
AFG.1.3_1,AFG,285390.5058,102525.7297,130290.91,52573.86611,0.359247164,0.456535545,0.815782708,0.184217292,2,70320.4093,15819.77265,44150.72803,30883.65644,16764.14424,4926.065429,0.246400661,0.055432021,0.154702862,0.10821543,0.058741072,0.017260789,23
AFG.1.4_1,AFG,15768.5399,0,4179.388826,11589.15108,0,0.265046025,0.265046025,0.734953975,1,0,0,4179.388826,4885.999874,5781.564136,921.5870677,0,0,0.265046025,0.30985747,0.366651838,0.058444667,13
AFG.1.5_1,AFG,106706.5929,0,79491.02915,27215.56378,0,0.744949557,0.744949557,0.255050443,2,68054.42651,0,11436.60264,16005.82674,9535.410709,1674.326328,0.637771525,0,0.107178032,0.14999848,0.089361027,0.015690936,23
AFG.1.6_1,AFG,41244.00265,0,25904.80986,15339.19279,0,0.628086708,0.628086708,0.371913292,2,21437.56995,0,4467.239915,12451.4814,2583.182678,304.5287127,0.519774235,0,0.108312473,0.301897988,0.062631716,0.007383588,23
AFG.1.7_1,AFG,147481.134,52816.38796,42697.87505,51966.87096,0.358123012,0.289514149,0.647637162,0.352362838,2,13006.67677,4634.233866,25056.96441,34775.41757,15026.98339,2164.469993,0.08819214,0.031422554,0.169899456,0.235795702,0.101890886,0.01467625,21
AFG.1.8_1,AFG,12040.04721,0,0,12040.04721,0,0,0,1,1,0,0,0,10469.35403,1507.417416,63.27576518,0,0,0,0.869544267,0.125200291,0.005255442,13
AFG.1.9_1,AFG,88093.86415,0,49048.74334,39045.12081,0,0.556778203,0.556778203,0.443221797,2,47332.8176,0,1715.925735,33378.54132,5506.397594,160.1818958,0.537299823,0,0.01947838,0.378897459,0.062506029,0.001818309,23
AFG.1.10_1,AFG,50442.12776,0,37197.72334,13244.40442,0,0.737433669,0.737433669,0.262566331,2,31112.05348,0,6085.669864,6252.00312,6104.694019,887.7072793,0.616787096,0,0.120646573,0.12394408,0.121023721,0.01759853,23
AFG.1.11_1,AFG,48054.76211,0,11596.20565,36458.55646,0,0.24131231,0.24131231,0.75868769,1,5701.373927,0,5894.831721,21716.50291,13040.1586,1701.89495,0.118643266,0,0.122669044,0.451911568,0.271360382,0.03541574,13
AFG.1.12_1,AFG,15729.40461,0,0,15729.40461,0,0,0,1,1,0,0,0,5240.516192,8594.91779,1893.970625,0,0,0,0.33316685,0.546423594,0.120409556,12
