system:index,VHI_M,adm4_id,month,season,year,ym,.geo
VHI_M_2021-01_00000000000000000017,0.3499999940395355,24,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000018,0.4449999928474426,25,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000019,0.4000000059604645,26,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000001a,0.4000000059604645,27,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005b,0.44999998807907104,92,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005c,0.30000001192092896,93,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005d,,94,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005e,0.3100000023841858,95,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000005f,0.4050000011920929,96,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b6,0.4350000023841858,183,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b7,0.7850000262260437,184,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b8,0.26499998569488525,185,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b9,0.38499999046325684,186,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000ba,0.4749999940395355,187,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000bb,0.41999998688697815,188,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a0,0.7049999833106995,417,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a1,0.5249999761581421,418,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a2,0.6899999976158142,419,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a3,0.5249999761581421,420,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001cb,0.3700000047683716,460,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001cc,0.39500001072883606,461,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000021b,0.38499999046325684,540,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000021c,0.39500001072883606,541,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000021d,0.4449999928474426,542,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000bf,0.4650000035762787,192,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c0,0.47999998927116394,193,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000010a,0.46000000834465027,267,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000010b,0.4300000071525574,268,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000226,0.41999998688697815,551,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000227,0.4300000071525574,552,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a4,0.39500001072883606,421,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a5,0.39500001072883606,422,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a6,0.3499999940395355,423,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a7,0.4000000059604645,424,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a8,0.3100000023841858,425,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001a9,0.3100000023841858,426,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001aa,0.2750000059604645,427,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001fe,0.5,511,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001ff,0.4300000071525574,512,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000200,0.42500001192092896,513,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000201,0.4300000071525574,514,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
