GID_0,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
ABW,ABW,76977.4076114787,0,71235.0164583779,5742.39115310072,0,0.925401603778556,0.925401603778556,0.0745983962214445,2,20500.7100499015,0,50734.3064084764,0,5236.26023193247,506.130921168253,0.266321128315634,0,0.659080475462921,0,0.0680233382028268,0.00657505801861766,21
AFG,AFG,16421462.4782991,4413975.86297331,6621982.96091695,5385503.65440881,0.268793103464833,0.403251718272223,0.672044821737056,0.327955178262944,2,3175181.72503835,855771.527937048,2591029.70794155,2614250.52616487,2389903.14233362,381349.985910321,0.193355599675385,0.0521129910973488,0.15778312749949,0.159197180495927,0.145535341050889,0.0232226567161283,22
AGO,AGO,13905235.4962,6550363.21588507,2874187.4216808,4480684.85863417,0.471071720984167,0.206698219707695,0.677769940691862,0.322230059308138,2,1899556.4627449,196080.577987249,778550.380948648,1328024.1033364,1865910.30853383,1286750.44676393,0.136607284591764,0.0141012051209657,0.0559897299949654,0.0955053298952986,0.134187609339212,0.0925371200736276,23
AIA,AIA,9339.89019038866,0,0,9339.89019038866,0,0,0,1,1,0,0,0,1904.29566613352,6813.98460294993,621.609921305208,0,0,0,0.203888442724215,0.72955725003726,0.0665543072385245,12
ALA,ALA,26356.7967890892,0,10874.2936421111,15482.5031469781,0,0.412580243689275,0.412580243689275,0.587419756310725,1,0,7254.74008544721,3619.55355666392,0,7293.40475885663,8189.09838812146,0,0.27525120535324,0.137329038336035,0,0.276718176993186,0.310701579317539,12
ALB,ALB,3281998.28154462,776243.567055582,1051133.22762674,1454621.4868623,0.236515531230033,0.320272327239623,0.556787858469656,0.443212141530343,2,405676.469932527,80326.1603320995,565130.597362112,359781.237470885,963080.845382057,131759.404009356,0.123606545504223,0.0244747722092942,0.172191009526106,0.109622616042797,0.293443433775596,0.0401460917119511,21
AND,AND,62925.4188442435,0,48329.2283519916,14596.1904922519,0,0.76803983572392,0.76803983572392,0.23196016427608,2,30220.8289556317,5974.5934740901,12133.8059222698,3488.75031022727,9385.56706099026,1721.87312103435,0.480264247909672,0.0949472182120669,0.192828369602181,0.0554426235741525,0.149153827394013,0.027363713307915,22
ARE,ARE,2410031.95634195,1249144.20349751,811652.401407025,349235.351437417,0.518310224148859,0.336780763122737,0.855090987271596,0.144909012728404,3,260493.52624824,73018.0172584727,478140.857900312,83461.7324469432,176186.006847867,89587.6121426068,0.108087166878745,0.030297530730382,0.19839606551361,0.0346309650489552,0.0731052575399413,0.0371727901395078,30
ARG,ARG,34937461.4210752,20825817.7572989,8073623.44380932,6038020.21996701,0.596088465223641,0.231087867160809,0.82717633238445,0.17282366761555,3,4425795.11956612,828420.675264487,2819407.64897872,1727923.96874605,2209645.2227013,2100451.02851965,0.126677638830861,0.0237115303049683,0.0806986980249793,0.049457627957586,0.0632457291636073,0.0601203104943568,30
ARM,ARM,3324364.22726227,1419036.85891808,1165817.28731325,739510.081030948,0.426859622444771,0.350688795695933,0.777548418140704,0.222451581859296,2,572607.134123184,180179.847580384,413030.30560968,429267.591076577,272881.578794159,37360.911160212,0.172245606972719,0.0541997913774834,0.124243397345731,0.129127725402729,0.0820853432834843,0.0112385131730827,23
ASM,ASM,52264.197799214,0,43509.5641340725,8754.63366514153,0,0.832492719035416,0.832492719035416,0.167507280964584,2,11120.0966685042,8883.18476988189,23506.2826956864,2011.34558728803,6146.66478423052,596.623293622979,0.212767001824553,0.169966920835729,0.449758796375134,0.0384841951466492,0.117607560109207,0.0114155257087281,21
ATA,ATA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
ATF,ATF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
ATG,ATG,68163.1699109003,0,43817.8319382239,24345.3379726764,0,0.642837356236521,0.642837356236521,0.357162643763479,2,25384.3963416414,0,18433.4355965825,7468.79707428347,14633.6883887117,2242.85250968119,0.372406335779611,0,0.27043102045691,0.109572325994321,0.214686148074395,0.0329041696947625,21
AUS,AUS,17978120.3759756,8649791.29008503,5475155.75428712,3853173.33160344,0.481128789283437,0.304545505302303,0.78567429458574,0.214325705414259,2,1588152.80666848,658098.255532613,3228904.69208603,937095.309647868,1571799.23330695,1344278.78864862,0.0883380894918661,0.036605509462048,0.179601906348389,0.0521242093194637,0.0874284519424717,0.0747730441523242,23
AUT,AUT,7946199.18238061,2271852.32325498,1913008.17111496,3761338.68801067,0.285904275882291,0.240745056499054,0.526649332381346,0.473350667618654,2,674089.568739216,278999.185308919,959919.417066825,878707.432602621,2310354.05622055,572277.199187498,0.084831697930993,0.035111023384306,0.120802335183755,0.110582105033437,0.290749577652594,0.0720189849326239,21
AZE,AZE,7842045.32553919,2657375.4878241,3154428.49349721,2030241.34421787,0.338862551478736,0.402245633957787,0.741108185436523,0.258891814563477,2,1759578.41663571,290502.8842368,1104347.1926247,858739.158537345,995586.562039538,175915.623640989,0.224377486177655,0.0370442750809817,0.14082387269915,0.109504488037157,0.126954961455937,0.0224323650703835,23
BDI,BDI,5932846.05869684,432257.403676602,3136933.67524648,2363654.97977376,0.0728583548941009,0.528740109588401,0.601598464482502,0.398401535517498,2,1309733.88412106,273658.214518602,1553541.57660682,712631.059779956,1505127.24528748,145896.67470632,0.220759795747801,0.0461259590778446,0.261854354762755,0.120116222927329,0.253693965829629,0.0245913467605405,21
