GID_1,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
AFG.1_1,AFG,232335.898597613,0,56687.2794962074,175648.619101406,0,0.243988466002773,0.243988466002773,0.756011533997227,1,33903.8900281871,5526.82710191607,17256.5623661042,81435.98487576,74506.5599738131,19706.0742518324,0.145926179436032,0.0237880892934591,0.0742741972732814,0.350509694658941,0.320684665708301,0.0848171736299855,13
AFG.2_1,AFG,118111.909580343,0,40797.5467342054,77314.362846138,0,0.345414335261879,0.345414335261879,0.654585664738121,1,9287.92589682247,13967.5707271509,17542.0501102321,44900.2413844578,26562.8006646549,5851.32079702523,0.0786366584862006,0.118257090049414,0.148520586726264,0.380149991173543,0.224895192695078,0.0495404808695009,13
AFG.3_1,AFG,372586.527179917,0,190355.123909418,182231.4032705,0,0.510901790653041,0.510901790653041,0.489098209346959,2,92905.6156306155,29524.4448551126,67925.0634236895,86316.0152266212,83504.5517848246,12410.836259054,0.249353127000624,0.0792418477355613,0.182306815916855,0.231667032836483,0.224121232769378,0.0333099437410977,21
AFG.4_1,AFG,706297.381894477,290129.593593313,158274.503692337,257893.284608828,0.410775405701078,0.22409045785757,0.634865863558648,0.365134136441352,2,55044.7597813308,20916.2220271435,82313.5218838623,108628.2532957,130744.874445037,18520.1568680904,0.0779342543132273,0.0296139028167436,0.116542300727599,0.153799597846916,0.18511306681379,0.0262214717806463,22
AFG.5_1,AFG,133716.641994357,0,38104.9408792555,95611.7011151016,0,0.284967826823407,0.284967826823407,0.715032173176593,1,30345.7184595168,0,7759.22241973877,78064.3528235257,16009.1489509642,1538.1993406117,0.22694047656983,0,0.0580273502535774,0.583804316794165,0.119724431545625,0.0115034248368024,13
AFG.6_1,AFG,166598.598440766,0,86164.7433792949,80433.8550614715,0,0.517199689467559,0.517199689467559,0.482800310532441,2,83652.3614174724,0,2512.38196182251,61144.1181831062,17533.7838118672,1755.95306649804,0.502119238699446,0,0.0150804507681124,0.367014601295375,0.105245686194061,0.0105400230430052,23
AFG.7_1,AFG,134022.01884474,0,27811.6767863641,106210.342058375,0,0.207515727834118,0.207515727834118,0.792484272165882,1,8091.05636215955,3603.19784000143,16117.4225842031,44528.9362700507,50161.1043167002,11520.3014716245,0.0603710974652068,0.0268851183638386,0.120259512005073,0.332250899172293,0.374275098592645,0.0859582744009434,13
AFG.8_1,AFG,329970.478576606,0,219008.857026852,110961.621549753,0,0.663722578976129,0.663722578976129,0.336277421023871,2,109200.592627693,29248.1286845058,80560.1357146536,62722.8946434613,43191.1950443541,5047.53186193807,0.330940492309348,0.0886386224933622,0.244143464173419,0.190086382618315,0.130894118863809,0.0152969195417469,21
AFG.9_1,AFG,1273360.7463634,194420.226366621,639265.66523242,439674.854764361,0.152682754609694,0.502030290362022,0.654713044971717,0.345286955028283,2,310785.157403767,95664.758352071,232815.749476582,261720.588457722,157920.259306271,20034.0070003681,0.244066858736882,0.0751277739833591,0.182835657641781,0.205535304276633,0.124018476113133,0.0157331746385173,21
AFG.10_1,AFG,204660.49010092,0,110273.345681161,94387.1444197595,0,0.538811109202288,0.538811109202288,0.461188890797712,2,86752.7004797161,3092.93113064766,20427.714070797,74817.7523250282,18153.373093158,1416.01900157332,0.423885921688829,0.0151124974298777,0.0998126900835811,0.365570082863257,0.0886999395154697,0.00691886841898537,21
AFG.11_1,AFG,341316.293840492,0,161575.175293369,179741.118547123,0,0.473388403100609,0.473388403100609,0.526611596899391,1,75797.352327772,31517.8809562251,54259.9420093717,78489.6975972764,84395.0094693825,16856.411480464,0.222073641650388,0.0923421516200877,0.158972609830134,0.229961765710363,0.247263347787384,0.0493864834016439,13
AFG.12_1,AFG,591389.043578004,266926.897240321,147466.606850813,176995.53948687,0.451355837817637,0.249356339032957,0.700712176850594,0.299287823149406,2,63606.2836675318,18909.3486199481,64950.974563333,56779.7725291252,100347.271833254,19868.4951244909,0.107554044766712,0.0319744655828308,0.109827828683414,0.0960108631461921,0.169680640727018,0.0335963192761962,23
AFG.13_1,AFG,253705.842339041,53628.9578029346,90384.4824135639,109692.402122542,0.21138243135634,0.356257000549393,0.567639431905733,0.432360568094267,2,42410.5357586183,12009.3188096397,35964.6278453059,44690.2476769248,55527.8582179537,9474.29622766376,0.167164206261923,0.0473356021245698,0.141757192162901,0.176149856325353,0.21886708522758,0.0373436265413342,21
AFG.14_1,AFG,1951179.1193966,1673103.76453939,189547.258022794,88528.0968344128,0.857483430356101,0.0971449807649701,0.954628411121071,0.0453715888789287,3,51371.1326187532,10211.3264056556,127964.798998385,27783.6873009782,51626.4559114906,9117.95362194395,0.0263282504963664,0.00523341312140191,0.0655833171472018,0.0142394345166887,0.0264591063927826,0.00467304796945739,30
AFG.15_1,AFG,360781.938297805,88799.0067840829,133789.444957831,138193.486555891,0.246129302378725,0.370831881410303,0.616961183789028,0.383038816210972,2,36703.3412350509,22610.0896718786,74476.0140509014,38748.8951625596,69698.7660545758,29745.8253387556,0.101732756934064,0.0626696829075054,0.206429441568734,0.107402536128554,0.193188069179459,0.0824482109029586,21
AFG.16_1,AFG,166426.535448924,0,101981.964661218,64444.5707877055,0,0.612774665927697,0.612774665927697,0.387225334072303,2,25016.5641104653,8942.44423896074,68022.9563117921,24807.5578284189,36875.0510040373,2761.96195524931,0.150315957987018,0.0537320819353665,0.408726626005313,0.149060110886177,0.221569540605826,0.0165956825802996,21
AFG.17_1,AFG,102882.387779504,0,11770.1961432546,91112.191636249,0,0.114404383464353,0.114404383464353,0.885595616535647,1,0,4315.60662868619,7454.58951456845,9259.87014244776,57754.9382122098,24097.3832815913,0,0.0419469913347594,0.0724573921295941,0.0900044248807037,0.561368563256809,0.234222628398134,12
AFG.18_1,AFG,133934.201634353,0,8973.75224673748,124960.449387616,0,0.0670012001209091,0.0670012001209091,0.932998799879091,1,6944.217207551,0,2029.53503918648,17470.8009580038,86369.1614609174,21120.4869686943,0.05184797551942,0,0.0151532246014891,0.130443163469925,0.644862629612035,0.15769300679713,12
AFG.19_1,AFG,561997.569988423,133072.989726607,258418.901141608,170505.679120208,0.236785703058019,0.459822097001116,0.696607800059135,0.303392199940865,2,102856.023805493,8380.0539214015,147182.823414713,46041.3299605623,109459.072104898,15005.2770547476,0.183018627300492,0.0149111924479925,0.261892277252631,0.0819244288930123,0.194767874364925,0.0266998966829281,21
AFG.20_1,AFG,126279.609361529,0,26732.520380456,99547.0889810733,0,0.21169308739246,0.21169308739246,0.788306912607539,1,15754.0765098818,0,10978.4438705742,27367.719570199,60963.5704585612,11215.7989523131,0.124755505576352,0,0.086937581816109,0.216723188395739,0.48276654296599,0.0888171812458108,12
AFG.21_1,AFG,118828.846878085,0,44938.5731873251,73890.2736907601,0,0.378178989092024,0.378178989092024,0.621821010907976,1,10073.218266163,9033.00117760524,25832.3537435569,30372.4987882003,39064.5121220164,4453.26278054342,0.0847708155957941,0.0760169051112044,0.217391268385025,0.255598700030823,0.328746033882626,0.0374762769945275,13
AFG.22_1,AFG,463472.154093483,58586.0550419763,134837.615145231,270048.483906276,0.126406849957505,0.290929269330027,0.417336119287532,0.582663880712468,1,9957.82581640035,20645.2772995289,104234.512029301,73052.9086363697,166307.326491177,30688.2487787288,0.0214852731247191,0.0445448062352518,0.224899189970056,0.157620922834633,0.358829165943015,0.0662137919348202,13
AFG.23_1,AFG,71818.3355777329,48.6941232681274,24264.3188816467,47505.322572818,0.000678017986304112,0.337856881344516,0.33853489933082,0.66146510066918,1,20122.4570310651,0,4141.8618505816,20636.2608527448,23409.7326663067,3459.32905376656,0.280185510694348,0,0.0576713706501682,0.287339725805941,0.325957605087757,0.0481677697754822,13
AFG.24_1,AFG,50959.7282027062,0,5985.08877110481,44974.6394316014,0,0.117447423331959,0.117447423331959,0.882552576668041,1,0,4518.63271260262,1466.4560585022,10079.1342920065,27234.7191688493,7660.78597074561,0,0.088670659596702,0.0287767637352572,0.197786264713069,0.534436115132243,0.150330196822729,12
AFG.25_1,AFG,161231.16339392,0,6003.37934365124,155227.784050269,0,0.0372346090996302,0.0372346090996302,0.96276539090037,1,0,3578.53537458181,2424.84396906942,53878.4370547552,78831.3672463056,22517.9797492083,0,0.0221950601810069,0.0150395489186234,0.334168878525793,0.488933811472318,0.139662700902259,12
AFG.26_1,AFG,191873.3513324,0,44743.1874666442,147130.163865756,0,0.233191254314058,0.233191254314058,0.766808745685942,1,21688.0144737391,0,23055.1729929051,40113.1724029295,89445.4629199072,17571.5285429191,0.113032968482251,0,0.120158285831806,0.209060675306795,0.466169284576431,0.0915787858027158,12
