GID_0,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
ABW,ABW,105937.358476635,58078.338095488,43505.8773287318,4353.1430524149,0.548232832408197,0.410675496862869,0.958908329271066,0.0410916707289339,3,12978.6221509874,0,30527.2551777444,0,3940.04796473085,413.095087684051,0.122512231167723,0,0.288163265695146,0,0.0371922428630299,0.003899427865904,30
AFG,AFG,44507485.3055998,19351273.4434261,19075831.3835337,6080380.47864005,0.434786942253765,0.4285982740331,0.863385216286865,0.136614783713135,2,10803871.9300958,1594532.74736887,6677426.70606894,3440339.63694949,2331418.63226223,308622.209428331,0.242742807325862,0.0358261702817042,0.150029296425534,0.0772980008492331,0.0523826187045643,0.00693416415933752,23
AGO,AGO,38834564.5124099,25094181.823153,4314846.29806671,9425536.39119017,0.646181620374138,0.111108399237691,0.757290019611829,0.242709980388171,3,2540273.25222893,196936.19005334,1577636.85578444,2330747.07937441,5523637.8978953,1571151.41392047,0.0654126880041917,0.00507115742189944,0.0406245538115998,0.0600173352949432,0.142235093073599,0.0404575520196291,30
AIA,AIA,15444.4885883257,0,5593.64877711795,9850.83981120773,0,0.362177662609439,0.362177662609439,0.637822337390561,1,0,0,5593.64877711795,717.620449035428,8755.66401042277,377.555351749528,0,0,0.362177662609439,0.0464645005842324,0.56691187670928,0.0244459600970484,12
ALA,ALA,32699.7141874591,0,13663.2635015915,19036.4506858676,0,0.417840456441409,0.417840456441409,0.582159543558591,1,0,9457.97489742469,4205.28860416682,523.891149099916,10531.3289400209,7981.23059674678,0,0.289237234405308,0.1286032220361,0.0160212760911787,0.322061803954844,0.244076463512569,12
ALB,ALB,2818585.91036703,1401796.46752431,597079.083302838,819710.359539884,0.497340337354404,0.211836396792705,0.709176734147109,0.290823265852892,2,258241.117717979,16911.9343162896,321926.03126857,181613.249783498,498249.871995501,139847.237760885,0.0916208077135926,0.00600014860433592,0.114215440474777,0.0644341721554441,0.176772994629289,0.049616099068158,23
AND,AND,80538.8398419302,0,57993.8111373028,22545.0287046274,0,0.720072591697677,0.720072591697677,0.279927408302323,2,34926.252494581,5993.72564550489,17073.8329972168,10784.9736189321,10127.0964786569,1632.95860703848,0.433657258573989,0.0744203126996676,0.21199502042402,0.133910218226377,0.125741772522833,0.0202754175531137,22
ARE,ARE,9579395.15756286,7006624.70283224,1580303.93661611,992466.518114518,0.731426628465218,0.164969072746568,0.896395701211786,0.103604298788215,3,646548.643247914,124723.820470029,809031.472898165,235852.833113121,626881.013631719,129732.671369679,0.0674936812411866,0.0130200099712517,0.0844553815341296,0.0246208481051037,0.0654405631379347,0.0135428875451761,30
ARG,ARG,46312766.57516,29818850.1957732,10073432.8712995,6420483.50808737,0.643858106541331,0.217508769530136,0.861366876071467,0.138633123928533,3,5855710.04345755,839424.336770146,3378298.49107179,1848472.89676516,2446757.1919867,2125253.41933551,0.126438355479249,0.0181251175182519,0.0729452965326358,0.0399128152658579,0.0528311602377696,0.0458891484249052,30
ARM,ARM,2779058.24294235,1112415.97852819,1021640.61239393,645001.652020227,0.400285233802951,0.367621159070152,0.767906392873103,0.232093607126897,2,480861.646225228,133143.153098946,407635.813069753,333824.645083808,273182.376599149,37994.6303372695,0.17303043124282,0.0479094504179875,0.146681277409345,0.120121500127457,0.098300342316653,0.0136717646827878,23
ASM,ASM,42361.3503415257,0,31009.9262997876,11351.4240417382,0,0.732033470363416,0.732033470363416,0.267966529636583,2,0,16692.4489314179,14317.4773683697,4750.87196778646,6018.53401875915,582.018055192544,0,0.394049028107933,0.337984442255483,0.112151098335723,0.142076066278259,0.0137393650226019,21
ATA,ATA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
ATF,ATF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
ATG,ATG,94849.1117256386,0,72984.9699613563,21864.1417642824,0,0.769485012916865,0.769485012916865,0.230514987083134,2,33585.5507787825,4032.2229501931,35367.1962323807,6905.7891664966,12870.3892455397,2087.96335224609,0.354094520947464,0.0425119737742694,0.372878518195132,0.0728081585673922,0.135693302882674,0.0220135256330682,21
AUS,AUS,26912850.5393127,15396634.4394085,6908611.95196224,4607604.14794198,0.572092295348573,0.256703092148137,0.82879538749671,0.171204612503289,3,3018448.98451718,567622.057085212,3322540.91035984,1156960.34763607,1891533.51487036,1559110.28543555,0.11215642059573,0.0210911161660881,0.123455555386319,0.0429891417836268,0.0702836554644154,0.0579318152552474,30
AUT,AUT,8994992.25545576,3108788.75677486,2239731.31118314,3646472.18749777,0.345613277753439,0.248997580828896,0.594610858582334,0.405389141417667,2,672813.278720905,309939.194387797,1256978.83807443,839531.85465318,2245067.78868139,561872.544163199,0.0747986501392285,0.0344568606159509,0.139742070073716,0.0933332493025745,0.249590852879243,0.0624650392358487,21
AZE,AZE,10455499.8941133,4420520.54923185,3856500.13177465,2178479.21310677,0.422793801731156,0.368848947523395,0.791642749254552,0.208357250745448,2,2043217.60495689,340078.663312564,1473203.8635052,985850.149079167,1025850.14556871,166778.918458889,0.19542036494183,0.0325262939846652,0.1409022885969,0.0942901017706697,0.0981158391237032,0.0159513098510756,23
BDI,BDI,13947916.2611435,2272096.56065781,10085896.8922383,1589922.80824746,0.162898637912494,0.723111374014756,0.886010011927251,0.11398998807275,2,1471274.08926116,1218600.17488516,7396022.62809193,133434.505814051,1419533.61626297,36954.6861704462,0.105483432916777,0.0873679015610363,0.530260039536943,0.00956662653516043,0.101773884334074,0.00264947720351574,21
BEL,BEL,11744691.3076687,3914708.76992831,5339525.85729758,2490456.68044282,0.333317297779653,0.454633137425343,0.787950435204995,0.212049564795005,2,1652267.12336701,600981.968483768,3086276.7654468,604223.19398138,1730097.334104,156136.152357442,0.140682039236584,0.0511705205986432,0.262780577590116,0.0514464942630592,0.147308880989859,0.0132941895420864,22
