GID_0,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
ABW,ABW,106476.813464819,56880.6507860738,45103.3493988919,4492.81327985338,0.534206922006242,0.423597851318066,0.957804773324308,0.0421952266756916,3,18929.8547797657,0,26173.4946191262,0,4146.9721728391,345.841107014276,0.177783821320125,0,0.245814029997941,0,0.0389471851936037,0.00324804148208797,30
AFG,AFG,38970575.4863269,15441509.1163097,17429334.5705752,6099731.79944196,0.396235080534735,0.447243448501048,0.843478529035783,0.156521470964217,2,9622720.72170115,1518424.64194445,6288189.20692965,3396605.78910354,2389514.17355805,313611.836780372,0.246922725713336,0.0389633620493286,0.161357360738383,0.0871582147996574,0.0613158554560331,0.00804740070852699,23
AGO,AGO,33345610.6388746,21092109.6207004,3965287.63291708,8288213.38525713,0.632530315582556,0.118914830376335,0.751445145958891,0.248554854041109,3,2487980.25291513,169603.288877134,1307704.09112481,1842373.43056221,4803614.26431436,1642225.69038055,0.0746119265848627,0.00508622531204779,0.0392166784794241,0.055250852968767,0.144055369575816,0.0492486314965254,30
AIA,AIA,15075.9335299997,0,5162.4300602267,9913.50346977304,0,0.342428550109612,0.342428550109612,0.657571449890388,1,0,0,5162.4300602267,700.495721822837,8800.55433811533,412.453409834881,0,0,0.342428550109612,0.0464645005517512,0.583748550005412,0.0273583993332245,12
ALA,ALA,31773.0281130479,0,13321.5675837537,18451.4605292942,0,0.41927283532296,0.41927283532296,0.58072716467704,1,0,8553.4933358971,4768.07424785662,0,10394.3237044504,8057.13682484382,0,0.269206111090951,0.150066724232009,0,0.327142999007446,0.253584165669594,12
ALB,ALB,2864026.17274702,1269424.44389657,675624.061023977,918977.667826476,0.443230741386348,0.235900100164222,0.679130841550571,0.320869158449429,2,287858.152082358,41219.0245547439,346546.884386875,213658.972202395,560920.093117846,144398.602506235,0.100508212816456,0.0143919859905501,0.120999901357216,0.0746009146967623,0.195850198037765,0.050418045714902,23
AND,AND,77670.3157418715,0,57096.1336675668,20574.1820743047,0,0.735108813736761,0.735108813736761,0.264891186263239,2,34948.4342107978,4550.08992218599,17597.6095345831,6690.23285108618,12355.2382876333,1528.7109355852,0.449958698854076,0.058582096373957,0.226568018508728,0.0861362901281413,0.159072847453003,0.019682048682095,22
ARE,ARE,9207086.27194603,6729386.30555297,1562921.15075551,914778.815637549,0.730892065827318,0.16975198283063,0.900644048657948,0.0993559513420524,3,719491.261221688,125601.755733721,717828.1338001,229866.94950727,546732.156827236,138179.709303043,0.078145380630784,0.0136418571547906,0.0779647450450552,0.0249663077674936,0.0593816698006977,0.0150079737738611,30
ARG,ARG,45012471.0091128,28851056.3272598,9865409.63930617,6296005.04254692,0.640956954383127,0.21917058579852,0.860127540181647,0.139872459818353,3,5754585.57186309,837822.90081852,3273001.16662455,1831668.24256993,2352462.78947114,2111874.01050585,0.12784424944585,0.0186131283627798,0.0727132079898907,0.0406924614780446,0.052262467194811,0.0469175311454974,30
ARM,ARM,2807619.98514796,1170287.7627077,985695.579605477,651636.642834779,0.416825556484999,0.351078701825643,0.767904258310642,0.232095741689358,2,447331.26072303,117826.846964405,420537.471918042,345181.500797836,268589.239816098,37865.9022208446,0.159327566796564,0.0419668073270949,0.149784327701984,0.122944523341411,0.0956643852219708,0.0134868331259756,23
