GID_0,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
ABW,ABW,65639.4742234917,0,58848.2356115678,6791.23861192382,0,0.896537278942839,0.896537278942839,0.103462721057161,2,5342.3509703204,15891.9875354329,37613.8971058145,0,6216.6015558691,574.637056054722,0.0813893016895683,0.242110219855255,0.573037757398016,0,0.0947082777461408,0.00875444331102009,21
AFG,AFG,10698382.7629938,2814643.45495014,3526860.79085291,4356878.51719074,0.263090554647767,0.329662984488878,0.592753539136645,0.407246460863355,2,1658643.92325669,406062.191340522,1462154.67625569,1867858.59874813,2084736.54115198,404283.377290625,0.15503688361142,0.0379554742372007,0.136670626640258,0.174592612746026,0.194864643314425,0.0377892048029035,21
AGO,AGO,11823953.7755606,5457165.19013607,2445773.60712677,3921014.9782978,0.461534719580491,0.206849050119092,0.668383769699583,0.331616230300417,2,1617223.5481821,175172.147017965,653377.911926704,1228420.26080581,1586046.96717961,1106547.75031238,0.136775192027966,0.0148150229900285,0.0552588351010975,0.103892512109179,0.134138461405175,0.0935852567860633,23
AIA,AIA,8108.68627701152,0,0,8108.68627701152,0,0,0,1,1,0,0,0,1366.53838536167,6092.48041370045,649.667477949406,0,0,0,0.168527716904754,0.751352340634129,0.0801199424611162,12
ALA,ALA,25269.2446427729,0,10405.7506792294,14863.4939635436,0,0.411795082375185,0.411795082375185,0.588204917624815,1,0,6935.52324537933,3470.22743385006,0,6433.73775705462,8429.75620648894,0,0.274465000573846,0.137330081801339,0,0.254607442684073,0.333597474940742,12
ALB,ALB,3292767.25422678,588284.20424614,1129791.51722366,1574691.53275698,0.178659516092729,0.343113080881559,0.521772596974288,0.478227403025712,2,506402.215347942,61456.2327946881,561933.069081032,436535.282885434,1010407.16365727,127749.086214267,0.153792289660891,0.0186640075200576,0.17065678370061,0.132573986917865,0.306856539088896,0.0387968770189516,21
AND,AND,53570.9898283035,0,42753.605802916,10817.3840253875,0,0.798073844443467,0.798073844443467,0.201926155556533,2,27831.4942208529,3488.38739444315,11433.72418762,2001.27240856737,6879.75539313396,1936.35622368613,0.519525480302932,0.0651170979969483,0.213431266143586,0.0373573909121617,0.128423152440972,0.0361456122033998,23
ARE,ARE,1877605.75051742,951009.694894493,632866.355682133,293729.69994079,0.506501268774034,0.337060299004587,0.843561567778621,0.156438432221379,3,221161.051097689,48404.930365955,363300.374218489,67340.0825677719,144088.16319633,82301.4541766889,0.117788865440332,0.0257801353413068,0.193491298222949,0.035864868090234,0.0767403716976382,0.0438331924335068,30
ARG,ARG,32632990.5156627,19110571.5589658,7438124.871207,6084294.08548981,0.58562121512564,0.227932676523684,0.813553891649324,0.186446108350676,3,4003741.00097085,693713.168888998,2740670.70134715,1732958.35416984,2234069.56032381,2117266.17099616,0.122689981448351,0.0212580323754282,0.0839846626999057,0.0531044910927818,0.0684604605652533,0.0648811566926404,30
ARM,ARM,3557971.26565814,1445878.62991807,1319152.76650091,792939.869239153,0.406377264446688,0.37075981451382,0.777137078960507,0.222862921039492,2,708292.239429316,165458.280549852,445402.246521743,481649.345063614,273046.747951464,38243.7762240745,0.199071939187879,0.0465035460367178,0.125184329289223,0.135371904127652,0.0767422577542815,0.010748759157559,23
ASM,ASM,46748.7796412378,0,37276.5961133116,9472.18352792622,0,0.797381159452328,0.797381159452328,0.202618840547672,2,0,25040.0733137336,12236.522799578,1096.45518337935,7752.90062669059,622.827717856271,0,0.535630523532326,0.261750635920002,0.0234541990570413,0.165841775682453,0.0133228658081775,22
ATA,ATA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
ATF,ATF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
