GID_0,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
ABW,ABW,94406.0624908174,0,88603.6785052411,5802.38398557632,0,0.938538015118036,0.938538015118036,0.0614619848819635,2,41531.6505980768,0,47072.0279071643,0,5447.44923576682,354.934749809501,0.439925673227992,0,0.498612341890044,0,0.0577023243215623,0.00375966056040124,21
AFG,AFG,24412584.1609878,7751208.55585837,10717454.2333844,5943921.37174502,0.317508728479678,0.439013508881674,0.756522237361352,0.243477762638648,2,5354596.40723301,1166205.31574919,4196652.51040224,3035270.74906635,2559726.78343328,348923.839245392,0.219337550335611,0.0477706623788247,0.171905296167238,0.124332218541486,0.104852758173951,0.0142927859232119,23
AGO,AGO,19434917.2895826,9917526.74031875,3429188.51644135,6088202.03282245,0.510294260199127,0.176444718819537,0.686738979018664,0.313261020981336,3,2221631.21469814,184930.073602837,1022627.22814038,1709501.94998047,2657657.05592152,1721043.02692046,0.114311328501973,0.00951535171708515,0.0526180386004793,0.0879603408910204,0.136746507140839,0.0885541729494765,30
AIA,AIA,11745.0436019459,0,0,11745.0436019459,0,0,0,1,1,0,0,0,3285.88010318438,8029.46429787565,429.699200885836,0,0,0,0.279767382271786,0.6836470404031,0.0365855773251149,12
ALA,ALA,28048.5657753877,0,11479.8044114322,16568.7613639554,0,0.409283116411808,0.409283116411808,0.590716883588192,1,0,7650.30541341752,3829.49899801472,0,8821.20403189119,7747.55733206426,0,0.272752106994739,0.136531009417069,0,0.314497507734663,0.27621937585353,12
ALB,ALB,3030179.4519425,969372.195890108,824587.300866687,1236219.9551857,0.319905870679933,0.272124906773454,0.592030777453387,0.407969222546613,2,333209.446377746,82898.9450476603,408478.909441281,300673.371590162,789889.009746014,145657.573849527,0.10996360171479,0.0273577675389878,0.134803537519676,0.0992262591568347,0.260674003725969,0.0480689596638092,21
AND,AND,79808.0540545061,0,63712.5951002836,16095.4589542225,0,0.798322874239862,0.798322874239862,0.201677125760138,2,41547.6492528692,2558.05433302373,19606.8915143907,3106.060374856,11576.5813814066,1412.81719795987,0.520594691163546,0.0320525837063596,0.245675599369957,0.0389191343111143,0.145055301981179,0.0177026894678445,23
ARE,ARE,4248130.57598888,2737544.68113159,1030506.59411268,480079.300744608,0.644411614041393,0.242578841605593,0.886990455646987,0.113009544353014,3,393885.270270066,97459.4320644188,539161.891778199,131218.080334856,236525.410098511,112335.810311241,0.0927196712117018,0.0229417223225847,0.126917448071307,0.030888429154349,0.0556775282368652,0.0264435869617994,30
ARG,ARG,39055788.2986758,24118371.9434343,8838561.26069148,6098855.09454997,0.617536426585251,0.226306052078615,0.843842478663866,0.156157521336133,3,4948286.99271773,882996.674051146,3007277.5939226,1838538.73630067,2192204.5949976,2068111.7632517,0.126697916193014,0.022608599455182,0.0769995364304187,0.0470746799998148,0.0561300818775672,0.0529527594587515,30
ARM,ARM,3048986.31116275,1344340.29748345,1003338.26627822,701307.747401082,0.440913851453394,0.329072735618677,0.769986587072071,0.230013412927929,2,481603.271577124,127009.390572331,394725.60412877,393960.775806685,269694.962870498,37652.0087238999,0.157955209511407,0.0416562678905224,0.129461258216747,0.129210411461783,0.0884539762881544,0.0123490251779914,23
