GID_0,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
ABW,ABW,62205.6504135114,0,54580.0621399391,7625.58827357233,0,0.87741325389444,0.87741325389444,0.12258674610556,2,6431.14304664731,11086.7335561588,37062.1855371329,0,6954.73878321925,670.849490353081,0.103385190957676,0.178227114136094,0.59580094880067,0,0.111802364206269,0.0107843818992908,21
AFG,AFG,12488820.2956387,2993503.78034178,4752617.09601803,4742699.41927891,0.239694679679805,0.380549722352696,0.620244402032502,0.379755597967498,2,2308032.03575777,587162.213008007,1857422.84725226,2158836.11636072,2198015.82061169,385847.482306496,0.184807850631318,0.0470150261680883,0.14872684555329,0.172861492539421,0.175998674701026,0.0308954307270511,21
AGO,AGO,8328215.74233265,3421813.24098319,1897667.43586847,3008735.06548098,0.410869908615597,0.227860023632979,0.638729932248576,0.361270067751423,2,1246313.80261009,150258.071468774,501095.561789606,940233.647358464,1243372.69723621,825128.720886311,0.149649557740805,0.018042048395193,0.0601684174969817,0.112897369190284,0.149296408222964,0.0990762903381753,23
AIA,AIA,6389.98736525641,0,0,6389.98736525641,0,0,0,1,1,0,0,0,656.841878300533,4781.71736571484,951.428121241042,0,0,0,0.102792359476626,0.748314056411747,0.148893584111627,12
ALA,ALA,24284.6386328714,0,10009.2198203113,14275.4188125602,0,0.412162600878191,0.412162600878191,0.587837399121809,1,0,6702.88624611497,3306.33357419632,0,5972.47543442436,8302.94337813579,0,0.276013423442176,0.136149177436015,0,0.245936351976021,0.341901047145788,12
ALB,ALB,2939885.20241663,417772.917157479,976818.069936441,1545294.21532271,0.14210518043836,0.332264018041752,0.474369198480112,0.525630801519888,1,556998.306847631,59793.0056032585,360026.757485551,439657.00131376,972875.207771043,132762.00623791,0.189462604318621,0.0203385511631909,0.122462862559941,0.149549037136673,0.330922856093607,0.0451589082896085,13
AND,AND,35614.7850145875,0,24997.5551364943,10617.2298780931,0,0.701887014796119,0.701887014796119,0.298112985203881,2,20672.8491718173,0,4324.70596467704,3313.97343538329,5009.70734688011,2293.54909582972,0.580456941221179,0,0.12143007357494,0.093050496697535,0.140663697529781,0.064398790976565,23
ARE,ARE,1001822.90335219,375894.700113114,418613.032972922,207315.170266156,0.375210727220685,0.417851330382051,0.793062057602736,0.206937942397264,2,84150.9751817445,73482.4450719554,260979.612719222,52987.9875749011,101475.984934273,52851.1977569821,0.0839978552099055,0.0733487374126469,0.260504737759498,0.0528915713521806,0.101291340609927,0.0527550304351569,22
ARG,ARG,28021206.8817233,15702264.4832969,6939592.78813008,5379349.6102964,0.560370741687738,0.24765502847261,0.808025770160347,0.191974229839652,3,3766648.47665222,629039.690499065,2543904.62097879,1636761.27747185,1911146.40312157,1831441.92970298,0.134421350677404,0.0224487008412672,0.0907849769539384,0.058411519688662,0.0682035720726968,0.0653591380782934,30
ARM,ARM,3136294.94234471,1413702.99766818,999839.482926089,722752.461750448,0.450755755965759,0.318796382772152,0.76955213873791,0.23044786126209,2,480901.051582302,143122.215541725,375816.215802061,420288.687192302,264073.021202891,38390.7533552544,0.153334128461393,0.0456341696724244,0.119828084638334,0.134008023772819,0.084199039330615,0.0122407981586557,23
ASM,ASM,32118.7636272728,0,22119.3938936964,9999.36973357643,0,0.688675135518426,0.688675135518426,0.311324864481575,2,0,8773.18254678231,13346.2113469141,0,9346.92012928543,652.449604291003,0,0.273148202358972,0.415526933159453,0,0.291011205716173,0.0203136587654013,21
ATA,ATA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
ATF,ATF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
ATG,ATG,64724.8080005127,0,39145.3108703464,25579.4971301663,0,0.604796091014071,0.604796091014071,0.395203908985929,2,21271.2031113654,0,17874.1077589809,7521.85431200359,16132.5816639224,1925.06115424034,0.328640652146808,0,0.276155438867263,0.116212848587268,0.249248814516292,0.0297422458823684,21
AUS,AUS,14691904.709355,6680683.78534215,4501479.32989997,3509741.59411292,0.454718698324271,0.306391813651886,0.761110511976156,0.238889488023844,2,1058876.72491919,578347.5126054,2864255.09237538,888198.091541504,1414018.86308826,1207524.63948317,0.0720721203864709,0.0393650465373042,0.194954646728111,0.0604549314137564,0.0962447613880781,0.0821897952220093,23
AUT,AUT,7546128.86649225,2245225.72146593,1671890.02950409,3629013.11552223,0.297533445451165,0.221555987060853,0.519089432512018,0.480910567487982,2,585330.785345109,251768.913651354,834790.330507624,852951.236673674,2188928.80003058,587133.078817974,0.077567027505216,0.0333639827924628,0.110624976763174,0.11303162876811,0.290073074387886,0.0778058643319854,21
AZE,AZE,6342933.89797062,2054627.62266282,2474834.52929056,1813471.74601725,0.323923858534957,0.390171893495904,0.714095752030862,0.285904247969138,2,1307072.23071755,281724.606602563,886037.69197044,698925.322282551,938810.104458041,175736.319276654,0.206067452655583,0.0444155041080751,0.139688936732247,0.110189595780931,0.148008810994926,0.0277058411932811,23
BDI,BDI,4312771.08815559,222962.708139971,1993962.01218546,2095846.36783016,0.0516982477350366,0.462338939727543,0.514037187462579,0.485962812537421,2,812182.717078384,186115.795971684,995663.499135388,605237.474725339,1332117.19154026,158491.701564565,0.188320386238196,0.0431545732818569,0.23086398020749,0.140336100004829,0.308877323723193,0.0367493888093992,21
BEL,BEL,9829162.8158562,2700656.07741541,4629933.87692965,2498572.86151115,0.274759522047876,0.471040511147168,0.745800033195045,0.254199966804955,2,1748659.53573069,546634.573156579,2334639.76804238,693069.048250727,1603262.85781714,202240.955443277,0.177905236538537,0.0556135434316705,0.237521731176961,0.070511503495769,0.163112859950879,0.0205756033583069,22
BEN,BEN,3822563.94228381,754362.392385141,1527684.52244734,1540517.02745133,0.197344610521922,0.399649174091936,0.596993784613859,0.403006215386141,2,989627.525095061,130315.580365187,407741.416987093,667889.271898754,490961.129327298,381666.626225275,0.258891032311628,0.0340911446695982,0.10666699711071,0.174722851463858,0.128437649896831,0.0998457140254522,21
BES,BES,11450.1551637668,0,0,11450.1551637668,0,0,0,1,1,0,0,0,6271.91719796509,4436.14928263845,742.088683163282,0,0,0,0.547758271242656,0.387431368325586,0.0648103604317579,13
BFA,BFA,6906156.9580068,512979.926032079,1629535.41096098,4763641.62101374,0.0742786370410167,0.235954007542754,0.310232644583771,0.689767355416229,1,1124502.48562827,115502.056455957,389530.868876749,943932.206767099,2286086.5853284,1533622.82891824,0.162826082938147,0.0167245049827672,0.0564034196218403,0.13667980796074,0.331021521698544,0.222066025756945,12
BGD,BGD,83768612.3561486,25518631.9530601,49392037.7805527,8857942.62253579,0.304632382407932,0.589624638528793,0.894257020936725,0.105742979063275,2,13729142.7508615,6040405.32271529,29622489.7069759,1532326.91607691,6984320.31441815,341295.392040737,0.163893639451624,0.0721082175389756,0.353622781538193,0.0182923755446981,0.0833763401108255,0.00407426340775102,22
BGR,BGR,8959404.86147673,2803206.77954141,2632861.4283685,3523336.65356683,0.312878681439491,0.293865660618728,0.606744342058219,0.393255657941781,2,1644887.55981016,258306.362295254,729667.506263082,1688901.98437858,1498713.18394855,335721.485239699,0.183593395458975,0.0288307500653206,0.0814415150944317,0.188506045936203,0.167278207327437,0.0374714046781411,22
BHR,BHR,358534.141657008,192312.243729709,149611.749394688,16610.14853261,0.536384743837549,0.417287315242113,0.953672059079662,0.0463279409203382,3,64817.0678740899,2664.9606152561,82129.7209053423,3276.09938051179,11832.352188943,1501.69696315529,0.180783530334183,0.00743293400996534,0.229070850897965,0.00913748232001257,0.033002023556971,0.00418843504335465,30
BHS,BHS,222537.024279416,94218.7819583227,63026.0391416824,65292.2031794104,0.423384748058923,0.283215969772955,0.706600717831878,0.293399282168122,2,18056.6142077344,0,44969.4249339481,13478.178432446,37145.9300921949,14668.0946547695,0.0811398205139232,0,0.202076149259032,0.0605660045832323,0.166920224679354,0.0659130529055353,23
BIH,BIH,4190757.74902323,905622.905181858,1142642.04016721,2142492.80367417,0.216100037133604,0.272657621508552,0.488757658642156,0.511242341357844,1,528796.962604175,116376.763282861,497468.314280173,272954.88333245,1591356.56482983,278181.355511887,0.126181706095377,0.0277698617415873,0.118706053671587,0.0651325845298668,0.379730029778203,0.0663797270497738,13
BLM,BLM,2968.46362911898,0,0,2968.46362911898,0,0,0,1,1,0,0,0,1129.18480148632,1672.14161991456,167.1372077181,0,0,0,0.380393679211577,0.563302040662307,0.0563042801261154,12
BLR,BLR,9819464.72250357,4050115.55873394,2300870.27097779,3468478.89279184,0.412457875575658,0.234317280625777,0.646775156201435,0.353224843798565,2,1186625.20763468,242146.388330136,872098.675012969,402541.684975994,2271563.42572138,794373.782094468,0.120844184603592,0.0246598358640876,0.0888132601580974,0.0409942594990415,0.23133271414638,0.0808978701531436,23
BLZ,BLZ,143472.786335775,0,61616.6827256503,81856.1036101247,0,0.429465993512152,0.429465993512152,0.570534006487848,1,43247.7525761956,6192.05404933169,12176.8761001229,24021.6446173163,31350.9200015026,26483.5389913057,0.301435231591455,0.0431583870884071,0.0848723748322899,0.167429972127937,0.218514749745857,0.184589284614054,13
BMU,BMU,53371.7445473284,0,49183.1721873172,4188.57236001128,0,0.921520789782373,0.921520789782373,0.0784792102176271,2,19604.1427132636,7428.20361982845,22150.8258542251,2404.07219182048,1744.13375041215,40.3664177786559,0.367313133185655,0.139178580030138,0.415029076566579,0.0450439125085863,0.0326789720891642,0.00075632561987664,22
BOL,BOL,5758942.39896731,1678674.02015448,1297865.24040984,2782403.13840299,0.291489982684234,0.225365206056336,0.51685518874057,0.48314481125943,2,650836.510385557,144549.435467289,502479.294556993,502850.457202268,1369153.73587159,910398.945329133,0.113013200219239,0.0250999967447511,0.0872520090923461,0.0873164588853048,0.237743953840744,0.158084398533381,21
BRA,BRA,122252970.740063,47275104.8594719,40406271.02035,34571594.8602412,0.386699027216191,0.330513612681549,0.717212639897741,0.282787360102259,2,22118539.8092008,4563522.26844933,13724208.9426998,9933491.88002901,11991088.2499856,12647014.7302266,0.180924354437405,0.037328518405924,0.112260739838221,0.0812535827955447,0.098084227952884,0.103449549353831,23
BRB,BRB,253459.013866261,124153.906241994,96867.3813158146,32437.7263084524,0.489838196512136,0.382181638909584,0.872019835421721,0.127980164578279,2,20994.1851972768,14582.3462319998,61290.849886538,11766.2244785428,18598.1027197121,2073.39911019756,0.0828306907575774,0.0575333503021292,0.241817597849878,0.0464225923515639,0.0733771604174452,0.00818041180927027,23
BRN,BRN,187739.216282481,0,123692.384924326,64046.8313581545,0,0.658852142741521,0.658852142741521,0.341147857258479,2,9192.66610996146,55331.0168119823,59168.7020023827,23720.2002409908,31141.5456183357,9185.08549882798,0.048965081947129,0.294722743109403,0.315164317684989,0.126346539155146,0.165876614566659,0.0489247035366744,21
BTN,BTN,454559.462051482,53397.2720558196,46164.0796912145,354998.110304448,0.117470378495327,0.101557845661974,0.219028224157301,0.780971775842699,1,16284.2270559967,6671.22733391076,23208.6253013071,49664.9278985821,222508.587354417,82824.5950514483,0.0358241955463955,0.0146762478638168,0.051057402251762,0.109259474380839,0.489503807379147,0.182208494082712,12
BVT,BVT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
BWA,BWA,938778.448249379,0,549443.743046074,389334.705203305,0,0.585275198925443,0.585275198925443,0.414724801074557,2,218971.088598533,79723.1388769704,250749.515570571,133132.048542299,154303.61024317,101899.046417837,0.233251081772134,0.0849222082437416,0.267101908909568,0.141814129617655,0.164366374761705,0.108544296695196,21
CAF,CAF,2416111.89017696,427818.06328504,750033.203486226,1238260.6234057,0.177068812510047,0.310429830065234,0.487498642575281,0.512501357424719,1,551868.089262743,73473.8538267314,124691.260396752,469376.31160753,540576.697939216,228307.613858952,0.228411644140504,0.030409954988198,0.0516082309365313,0.19426927764225,0.223738271450509,0.0944938083319603,13
CAN,CAN,24232181.9116348,8549089.36511114,8122262.95005755,7560829.59646608,0.352798992525159,0.335184961043799,0.687983953568958,0.312016046431041,2,2690123.28975314,1142801.55683712,4289338.10346729,1690772.37749498,3220020.86537297,2650036.35359814,0.111014488895922,0.0471604893444786,0.177009982803398,0.0697738397499888,0.132882002830579,0.109360203850473,22
CCK,CCK,489.803547699004,0,0,489.803547699004,0,0,0,1,1,0,0,0,0,454.151442045346,35.6521056536585,0,0,0,0,0.927211418085588,0.0727885819144118,12
CHE,CHE,6284893.15136583,1449175.79683805,2784112.3539931,2051605.00053468,0.230580816878823,0.442984834736301,0.673565651615123,0.326434348384877,2,1149103.52518039,331032.771519603,1303976.05729311,621843.038146865,1174008.37027907,255753.592108747,0.182835809218279,0.052671185260749,0.207477840257273,0.0989424996050611,0.186798461326894,0.0406933874529222,21
CHL,CHL,11365974.5543031,5698739.73960552,2334747.64935272,3332487.16534486,0.501385931525599,0.205415526684317,0.706801458209917,0.293198541790083,3,1310345.95472961,174747.777929502,849653.916693612,544851.380399789,1837033.39595116,950602.38899391,0.115286722530407,0.0153746409597005,0.0747541631942099,0.0479370579088188,0.161625682617393,0.083635801263871,30
CHN,CHN,987493500.641506,256220603.973426,488668584.996098,242604311.671982,0.259465610464249,0.494857520255722,0.75432313071997,0.245676869280029,2,233310122.579775,50715657.4100711,204642805.006251,101198224.883061,123881370.375464,17524716.4134568,0.236264970279004,0.0513579657761035,0.207234584200614,0.102479889556052,0.125450314655223,0.0177466650687546,22
Z02,CHN,99.0478076934814,0,0,99.0478076934814,0,0,0,1,1,0,0,0,0,80.1121978759766,18.9356098175049,0,0,0,0,0.808823534225977,0.191176465774023,12
Z03,CHN,4548.29361072928,0,0,4548.29361072928,0,0,0,1,1,0,0,0,1620.37557661533,2301.63595455885,626.282079555094,0,0,0,0.356260108800566,0.506043837875674,0.13769605332376,12
Z08,CHN,213.530080042779,0,0,213.530080042779,0,0,0,1,1,0,0,0,0,135.309437215328,78.2206428274512,0,0,0,0,0.63367857675237,0.36632142324763,12
CIV,CIV,8295000.58544586,2035181.53143486,2321877.64932788,3937941.40468312,0.245350378275527,0.279912897583367,0.525263275858894,0.474736724141106,2,1701139.15207097,220471.572079257,400266.925177652,2130441.6258513,1082187.8177405,725311.96109132,0.205080052080495,0.0265788494899071,0.0482539960129657,0.256834415369337,0.13046265718646,0.0874396515853091,21
CMR,CMR,8511212.29113117,3044425.58225743,2619157.45649653,2847629.25237721,0.357695881399854,0.307730246515615,0.665426127915469,0.334573872084531,2,1698485.58526046,173956.265588677,746715.605647391,728157.998647127,1340220.07873526,779251.174994823,0.199558597196584,0.0204384827493896,0.0877331665696414,0.0855527948005574,0.157465239133066,0.0915558381509078,23
COD,COD,26747540.8753872,9063405.86686031,6385200.75292161,11298934.2556053,0.338850061360233,0.238721039166527,0.577571100526761,0.42242889947324,2,4228057.4938789,531623.443784052,1625519.81525865,3116045.24317425,6002183.36972642,2180705.64270465,0.158072755681608,0.0198756007612366,0.0607726827236829,0.116498382325741,0.224401315907496,0.0815292012400028,22
COG,COG,1829601.9704726,1629066.90405967,94286.9854180239,106248.080994917,0.890394156953636,0.0515341516568594,0.941928308610495,0.0580716913895057,3,31067.6072859019,10330.5541574135,52888.8239747084,22214.3513651523,39883.9797892721,44149.7498404922,0.0169805278892856,0.00564633965427194,0.0289072841133018,0.0121416306517281,0.0217992658692698,0.0241307948685079,30
COK,COK,17441.5045907986,0,0,17441.5045907986,0,0,0,1,1,0,0,0,8081.91074023442,8738.98716329224,620.606687271968,0,0,0,0.463372336839454,0.501045487090749,0.0355821760697969,12
COL,COL,26100646.9520317,12649263.6962387,6074478.8634263,7376904.39236668,0.484634105793844,0.23273288492006,0.717366990713904,0.282633009286096,2,4279643.28294218,400264.81047054,1394570.77001359,1930967.06386428,3349721.91268796,2096215.41581445,0.163966942689482,0.0153354363670048,0.0534305058635735,0.0739815785950842,0.12833865454922,0.0803127761417913,23
COM,COM,328252.194364325,86768.3249481916,126047.57344548,115436.295970653,0.264334333289751,0.383996133489914,0.648330466779665,0.351669533220335,2,78578.1744265528,9027.68514384516,38441.7138750823,79646.2578534703,31913.0836439878,3876.95447319467,0.239383546479325,0.0275022842157314,0.117110302794857,0.242637396553308,0.0972212347454033,0.0118109019216233,23
CPV,CPV,316438.261837501,76128.5539305806,131699.126440485,108610.581466435,0.240579484568382,0.416192168657897,0.656771653226279,0.343228346773721,2,63231.4462776035,24662.3499636338,43805.3301992475,53504.1261134874,42247.7685326406,12858.6868203073,0.199822378970323,0.0779373196541528,0.13843247003342,0.169082353704,0.13351030399205,0.040635689077671,22
CRI,CRI,2413764.92467257,858588.23623753,643783.614831885,911393.073603159,0.355704993249911,0.266713468346224,0.622418461596135,0.377581538403865,2,346203.058358803,47163.6617860026,250416.894687079,197153.786072471,461251.666564142,252987.620966545,0.143428655715413,0.019539459416248,0.103745353214563,0.0816789506124815,0.191092206970698,0.104810380820685,22
CUB,CUB,9806449.54061491,4509382.71575986,3843119.9535003,1453946.87135476,0.459838466213848,0.391897183336683,0.851735649550531,0.148264350449469,2,3184689.02300713,129748.037974753,528682.892518411,742199.768310366,514279.121324088,197467.981720307,0.324754541367623,0.0132308882473092,0.0539117537217511,0.0756848607884466,0.0524429477961541,0.0201365418648679,23
CUW,CUW,156200.896561346,0,128272.701401615,27928.1951597314,0,0.821203361987344,0.821203361987344,0.178796638012656,2,47329.9097062945,17827.68345025,63115.1082450703,12891.5875063576,13666.7081276442,1369.8995257296,0.303006645596981,0.114133041760412,0.40406367462995,0.0825320967430846,0.0874944281915615,0.00877011307801034,21
CXR,CXR,544.075889582862,0,0,544.075889582862,0,0,0,1,1,0,0,0,0,445.827192273297,98.2486973095656,0,0,0,0,0.819420968304822,0.180579031695178,12
CYM,CYM,16993.1291614349,0,5459.06553032715,11534.0636311078,0,0.321251340966455,0.321251340966455,0.678748659033545,1,0,0,5459.06553032715,3326.48358753743,6491.65209342609,1715.92795014428,0,0,0.321251340966455,0.195754622702846,0.38201628621517,0.100977750115529,13
CYP,CYP,441477.687103906,146413.907382992,151128.861025129,143934.918695785,0.331645090250127,0.342325026699615,0.673970116949742,0.326029883050258,2,51043.8521972816,9781.63055343553,90303.378274412,42848.9944057396,76416.4958101072,24669.4284799382,0.115620457586723,0.0221565683593276,0.204548000753565,0.097058120166455,0.173092543615057,0.0558792192687464,21
CZE,CZE,10275626.6617618,2519550.91886474,3659007.44186124,4097068.30103585,0.245196813955943,0.356086062904302,0.601282876860244,0.398717123139756,2,2187629.63744731,305944.804300801,1165433.00011313,1294729.38038709,2311995.25002143,490343.670627327,0.21289500966282,0.0297738341778509,0.113417219063631,0.126000040971233,0.224997980767922,0.0477191014006005,21
DEU,DEU,77839203.823469,25332038.953712,30230143.5004723,22277021.3692846,0.325440622583478,0.388366555868571,0.713807178452049,0.28619282154795,2,14503796.3243071,3379382.5026783,12346964.6734869,9064085.89058819,10759617.506048,2453317.97264841,0.186330224512576,0.0434149160921839,0.158621415263811,0.116446282147805,0.138228771332883,0.0315177680672618,23
DJI,DJI,321871.263256731,105917.911668469,135304.458044961,80648.8935433002,0.329069176902528,0.420368244980726,0.749437421883254,0.250562578116746,2,112484.477205366,3319.48502516746,19500.4958144277,8341.09405844286,29340.4492007075,42967.3502841499,0.349470394055173,0.0103130829126544,0.0605847680128989,0.0259143794759641,0.0911558518888497,0.133492346751932,23
DMA,DMA,72537.1331692983,0,33244.6850642797,39292.4481050186,0,0.458312640874408,0.458312640874408,0.541687359125592,1,16544.299713064,4832.8011122942,11867.5842389215,23468.249881858,12514.8493550122,3309.3488681484,0.228080418817357,0.0666252014814904,0.16360702057556,0.323534290045406,0.172530244968506,0.0456228241116799,13
DNK,DNK,5116268.23205456,1245030.23931082,1882554.57115225,1988683.42159149,0.243347334979513,0.367954627428958,0.61130196240847,0.388698037591529,2,954970.695006281,201324.576158404,726259.299987563,633048.200700284,808960.413724422,546674.807166786,0.186653758499833,0.0393498868759579,0.141950982053166,0.123732410418612,0.158115324887797,0.10685030228512,21
DOM,DOM,5754846.89903657,2655221.50392529,1781738.39290296,1317887.00220832,0.461388730318753,0.309606567153202,0.770995297471955,0.229004702528046,2,1340023.64437866,91346.7268162463,350368.021708059,506647.291731806,595025.137434825,216214.573041684,0.23285131088422,0.0158730072960827,0.0608822489728988,0.0880383615099517,0.103395476521615,0.0375708644964788,23
DZA,DZA,18728834.7403865,4705093.43891854,6844384.3134898,7179356.98797812,0.251221899500911,0.365446350953736,0.616668250454647,0.383331749545353,2,3557797.62899244,771282.813281348,2515303.87121601,2300835.38568746,3611012.35939754,1267509.24289312,0.189963640467203,0.0411815697010861,0.134301140785447,0.122849895232723,0.192804966750592,0.0676768875620375,21
ECU,ECU,8135038.8615301,3022089.24728497,2432636.99568554,2680312.61855959,0.371490449981274,0.299032006741759,0.670522456723033,0.329477543276967,2,1233593.31500294,216593.041401853,982450.639280745,526502.621962506,1410817.34622459,742992.650372501,0.15163951100916,0.0266247088782948,0.120767786854304,0.0647203573239572,0.173424782627188,0.0913324033258217,23
EGY,EGY,43742411.5378565,20226387.8054223,19941785.0260647,3574238.70636944,0.462397638683399,0.455891303770628,0.918288942454026,0.0817110575459734,2,13381074.6154839,837539.018405876,5723171.39217492,1212216.44292365,1869051.18227364,492971.081172144,0.305906193669807,0.0191470700622218,0.130838040038599,0.0277126111777023,0.0427285811770137,0.0112698651912574,23
ERI,ERI,1655001.72498676,623661.677533574,405831.649422158,625508.398031032,0.376834457703397,0.245215242555353,0.622049700258751,0.377950299741249,2,320144.633048769,9136.22241687775,76550.7939565107,195303.795213193,256462.572389286,173742.030428553,0.193440664269597,0.00552037032888943,0.0462542079568666,0.118008212477697,0.154962117874129,0.104979969389423,23
ESH,ESH,116593.218686467,0,75754.9701860709,40838.2485003957,0,0.649737360710363,0.649737360710363,0.350262639289637,2,34540.6653486341,9525.46497344971,31688.8398639871,23358.8168320414,13455.5307452966,4023.9009230576,0.296249350843621,0.0816982761155676,0.271789733751174,0.200344557729864,0.115405774854541,0.0345123067052326,21
ESP,ESP,37462551.8482511,16850091.107432,10661986.0404047,9950474.70041435,0.449784925909115,0.284603838083243,0.734388763992357,0.265611236007642,2,6090771.88368279,870309.566443286,3700904.59027864,2903833.54895135,4809355.12898411,2237286.0224789,0.162582941716159,0.0232314544393194,0.0987894419277639,0.07751296710149,0.128377670278984,0.0597205986271687,23
EST,EST,1474655.87861027,679539.201367143,378511.330789131,416605.346453992,0.460812051966693,0.256677734974918,0.717489786941611,0.282510213058389,2,157223.892496403,49006.6567605585,172280.781532169,77042.7968391582,173499.18173717,166063.367877665,0.10661734359651,0.03323260529551,0.116827786082899,0.0522445934381412,0.117654012881078,0.11261160673917,23
ETH,ETH,34921135.7939165,6014157.5274039,11916295.0339608,16990683.2325518,0.172221131720796,0.341234463400149,0.513455595120945,0.486544404879055,2,10221167.3399877,332983.609221708,1362144.08475142,2811886.90335587,8893754.2847349,5285042.04446099,0.292692866586782,0.00953530295196516,0.0390062938614016,0.0805210609399974,0.254681128850461,0.151342215088597,21
