GID_0,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
ABW,ABW,100261.101498,0,94511.3684635641,5749.73303443624,0,0.942652405085028,0.942652405085028,0.0573475949149723,2,43621.4386275834,2698.95192985726,48190.9779061234,0,5351.45708386955,398.275950566691,0.435078390081855,0.0269192327785376,0.480654782224635,0,0.0533752073726846,0.00397238754228762,21
AFG,AFG,28190398.8981486,9530486.48964085,12558385.935879,6101526.47262873,0.338075616598202,0.445484506311962,0.783560122910164,0.216439877089836,2,6447344.55408733,1250748.96789146,4860292.41390019,3198836.28130721,2565465.63553849,337224.555783038,0.228707106181132,0.0443679059814086,0.172409494149421,0.113472544069509,0.0910049426688664,0.0119623903514606,23
AGO,AGO,23331542.6058354,12932749.7022633,3622895.87273681,6775897.03083527,0.554303241785168,0.155278882924385,0.709582124709552,0.290417875290447,3,2409334.57002762,146533.444989525,1067027.85771966,1751541.06806688,3188633.00457206,1835722.95819633,0.103265120987972,0.00628048678413899,0.0457332751522734,0.075071807194986,0.136666188706038,0.0786798793894238,30
AIA,AIA,12747.9345779953,0,0,12747.9345779953,0,0,0,1,1,0,0,0,4427.80684623355,7924.69523840386,395.432493357919,0,0,0,0.347335234515288,0.621645427337144,0.0310193381475686,12
ALA,ALA,29566.3012026628,0,11986.5909304365,17579.7102722262,0,0.405413949085961,0.405413949085961,0.594586050914039,1,0,7980.42071191687,4006.17021851963,0,9741.03971760534,7838.67055462091,0,0.269916099995564,0.135497849090397,0,0.329464265781343,0.265121785132696,12
ALB,ALB,2910896.30016971,1010414.08159461,791882.037931578,1108600.18064353,0.347114420233966,0.272040621263426,0.619155041497392,0.380844958502607,2,338811.118469855,71814.9461617542,381255.973299969,266333.238115653,693675.442677093,148591.499850781,0.11639408743283,0.0246710767943081,0.130975457036288,0.091495268347459,0.238303041793914,0.0510466483612343,21
AND,AND,71501.7927497867,0,55255.7913336474,16246.0014161393,0,0.772788893937379,0.772788893937379,0.22721110606262,2,35398.7132547479,0,19857.0780788995,3722.03850256652,11093.9734596908,1429.98945388198,0.49507448545552,0,0.277714408481859,0.052055177351866,0.155156577661109,0.0199993510496454,21
ARE,ARE,8396964.13574779,6156999.96866984,1523075.62227015,716888.544807797,0.733241189212431,0.18138408091873,0.914625270131161,0.085374729868839,3,764280.185828798,165179.094744763,593616.341696591,189734.22096665,366213.870974145,160940.452867001,0.0910186316713064,0.019671287393209,0.0706941618542148,0.022595573578659,0.0436126515552317,0.0191665047349483,30
ARG,ARG,41082486.4017369,25764590.2925594,9227810.6919979,6090085.41717963,0.627142915368192,0.224616655422486,0.851759570790677,0.148240429209322,3,5223996.45491244,839936.741397892,3163877.49568757,1814876.94180257,2213755.95249521,2061452.52288185,0.127158721695374,0.0204451291770495,0.0770128045500625,0.0441764143497859,0.0538856370777406,0.050178377781796,30
ARM,ARM,2948087.01196897,1295465.22954967,967706.470141235,684915.312278068,0.43942571039803,0.328248951341135,0.767674661739165,0.232325338260836,2,453751.074504155,126560.29796663,387395.09767045,373217.741154775,274076.850015742,37620.7211075506,0.153913732078451,0.0429296345232709,0.131405584739412,0.126596582678715,0.0929676935935115,0.0127610619886095,23
