precip_max,NDVI,LST,month,season,year,fid,COMMUNE,DEPARTEMEN,REGION
0,0.197662431,35.92,1,Dry,2024,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
195.2690277,0.55354,27.50498778,9,Wet,2024,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0,0.167697148,41.92,5,Dry,2021,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.186022213,48.29,4,Dry,2021,2,BAKEL,BAKEL,TAMBACOUNDA
109.5069427,0.413004523,33.14,9,Wet,2021,2,BAKEL,BAKEL,TAMBACOUNDA
25.14812088,0.305643931,40.71,10,Wet,2021,2,BAKEL,BAKEL,TAMBACOUNDA
0.001682282,0.188003261,41.86,3,Dry,2021,2,BAKEL,BAKEL,TAMBACOUNDA
293.2470398,0.39825,28.89,8,Wet,2021,2,BAKEL,BAKEL,TAMBACOUNDA
41.72878265,0.1918,38.58,6,Wet,2021,2,BAKEL,BAKEL,TAMBACOUNDA
0.33645463,0.203983184,37.19,2,Dry,2021,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.223630116,36.48,1,Dry,2021,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.219017842,35.71,12,Dry,2021,2,BAKEL,BAKEL,TAMBACOUNDA
0.537876427,0.2682,40.07,11,Dry,2021,2,BAKEL,BAKEL,TAMBACOUNDA
110.6820374,0.2467,36.15,7,Wet,2021,2,BAKEL,BAKEL,TAMBACOUNDA
302.4517822,0.46515,31.31,9,Wet,2022,2,BAKEL,BAKEL,TAMBACOUNDA
211.6458588,0.499516667,27.75,8,Wet,2022,2,BAKEL,BAKEL,TAMBACOUNDA
159.9425812,0.376031281,31.63,7,Wet,2022,2,BAKEL,BAKEL,TAMBACOUNDA
124.8783417,0.3087,34.79,6,Wet,2022,2,BAKEL,BAKEL,TAMBACOUNDA
29.38190079,0.3218,35.06,10,Wet,2022,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.189643459,41.27,3,Dry,2022,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.181269755,44.07417378,4,Dry,2022,2,BAKEL,BAKEL,TAMBACOUNDA
34.89859772,0.186147619,45.515,5,Dry,2022,2,BAKEL,BAKEL,TAMBACOUNDA
1.733679533,0.312025,37.44,11,Dry,2022,2,BAKEL,BAKEL,TAMBACOUNDA
0.357894361,0.256520043,36.6773617,12,Dry,2022,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.1976,35.89,2,Dry,2022,2,BAKEL,BAKEL,TAMBACOUNDA
0.020415138,0.213378668,37.04,1,Dry,2022,2,BAKEL,BAKEL,TAMBACOUNDA
137.3019714,0.3588625,34.03,7,Wet,2023,2,BAKEL,BAKEL,TAMBACOUNDA
96.09625244,0.239954613,41.10666667,6,Wet,2023,2,BAKEL,BAKEL,TAMBACOUNDA
152.2976379,0.4502,31.75,9,Wet,2023,2,BAKEL,BAKEL,TAMBACOUNDA
0.003487031,0.202,45.73,4,Dry,2023,2,BAKEL,BAKEL,TAMBACOUNDA
34.29891205,0.3304,35.91,10,Wet,2023,2,BAKEL,BAKEL,TAMBACOUNDA
205.439682,0.452075532,33.32,8,Wet,2023,2,BAKEL,BAKEL,TAMBACOUNDA
13.39265823,0.19195,44.19,5,Dry,2023,2,BAKEL,BAKEL,TAMBACOUNDA
0.001361381,0.195907356,42.49,3,Dry,2023,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.213950963,37.46,2,Dry,2023,2,BAKEL,BAKEL,TAMBACOUNDA
0.089853235,0.23775,33.96,1,Dry,2023,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.2723,37.58333333,11,Dry,2023,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.2358,35.29,12,Dry,2023,2,BAKEL,BAKEL,TAMBACOUNDA
38.33647919,0.3056875,33.69,10,Wet,2024,2,BAKEL,BAKEL,TAMBACOUNDA
256.0310364,0.459546154,28.44,9,Wet,2024,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.185162109,42.38,4,Dry,2024,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.19315,41.1,3,Dry,2024,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.17325,41.41,5,Dry,2024,2,BAKEL,BAKEL,TAMBACOUNDA
202.8257446,0.280846326,31.769819,7,Wet,2024,2,BAKEL,BAKEL,TAMBACOUNDA
153.6964417,0.400523185,27.45,8,Wet,2024,2,BAKEL,BAKEL,TAMBACOUNDA
0.556954026,0.2358,31.8337234,12,Dry,2024,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.2642,35.71,11,Dry,2024,2,BAKEL,BAKEL,TAMBACOUNDA
0.157579437,0.200825481,36.09,2,Dry,2024,2,BAKEL,BAKEL,TAMBACOUNDA
1.828244328,0.1721,36.2,6,Wet,2024,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.210392828,32.33,1,Dry,2024,2,BAKEL,BAKEL,TAMBACOUNDA
0,0.1587,30.2,6,Wet,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.1653,29.9,2,Dry,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.13925,30.76,5,Dry,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.2932,34.91,10,Wet,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.1451,32.41,4,Dry,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.2759,34.65,11,Dry,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.38175,32.14,9,Wet,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.1605,31.59,3,Dry,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.1776,31.12,7,Wet,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.19315,32.3,1,Dry,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.3027,31.73,8,Wet,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.19555,33.53,12,Dry,2021,3,BARGNY,RUFISQUE,DAKAR
0,0.137,31.91,6,Wet,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.36085,31.11,9,Wet,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.301,32.55,8,Wet,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.14555,31.31,4,Dry,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.307,34.39,10,Wet,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.1606,30.06,3,Dry,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.1467,33.19,5,Dry,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.16875,30.31,2,Dry,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.25585,33.1,11,Dry,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.18315,31.96,7,Wet,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.1998,33,1,Dry,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.22035,31.73,12,Dry,2022,3,BARGNY,RUFISQUE,DAKAR
0,0.1569,33.44,6,Wet,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.15945,33.53,4,Dry,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.15165,33.19,5,Dry,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.1791,26.78,2,Dry,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.3889,31.03,9,Wet,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.37795,30.51,8,Wet,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.19805,29.72,1,Dry,2023,3,BARGNY,RUFISQUE,DAKAR
