fid,2021-01_lst,2021-02_lst,2021-03_lst,2021-04_lst,2021-05_lst,2021-06_lst,2021-07_lst,2021-08_lst,2021-09_lst,2021-10_lst,2021-11_lst,2021-12_lst,2022-01_lst,2022-02_lst,2022-03_lst,2022-04_lst,2022-05_lst,2022-06_lst,2022-07_lst,2022-08_lst,2022-09_lst,2022-10_lst,2022-11_lst,2022-12_lst,2023-01_lst,2023-02_lst,2023-03_lst,2023-04_lst,2023-05_lst,2023-06_lst,2023-07_lst,2023-08_lst,2023-09_lst,2023-10_lst,2023-11_lst,2023-12_lst,2024-01_lst,2024-02_lst,2024-03_lst,2024-04_lst,2024-05_lst,2024-06_lst,2024-07_lst,2024-08_lst,2024-09_lst,2024-10_lst,2024-11_lst,2024-12_lst
268,27.63731078,26.41642249,30.04879776,29.17857386,27.87456072,31.14430762,28.65855683,32.53740569,32.68673156,33.31914334,32.40831346,31.04566074,30.13572159,29.26154782,27.82995619,30.24076418,29.85785593,30.5113945,29.87737162,30.7069022,32.30479922,32.64668532,32.29576783,31.11231443,26.86822828,25.70312485,29.70715259,30.97698954,31.79865174,31.48155026,31.00906303,30.59723534,30.99184716,32.96800438,33.08993916,29.63444147,27.66970552,29.3935191,29.54500122,29.50104648,29.44532246,29.09154539,30.28256997,30.48436134,30.18637381,31.99492821,31.04390849,28.81230713
269,35.5310355,37.34846725,40.39101744,42.44102736,39.04827675,38.17597336,29.76877863,30.13738624,30.76558128,30.20353978,31.54487595,33.29437204,34.49675774,36.96512969,40.91192585,42.92266657,42.39492726,36.76766159,27.46160916,27.20935537,28.88573614,29.77075297,29.96346227,30.95187659,33.23407497,38.58504372,41.75592003,43.8052815,40.9489327,38.40493968,31.78540896,25.72567923,29.47688987,30.34869802,30.7166747,34.34481617,33.61783052,37.71089317,40.64878903,41.97945361,39.86251948,35.00845399,25.70200719,26.819177,26.22256393,29.58451776,29.54725342,30.43983445
270,32.99358458,36.5202445,39.98039075,42.15444504,38.11735011,34.84630775,28.50784801,28.63860706,30.30127731,29.25076328,30.64791082,32.24315875,33.75989061,36.4438739,40.64318134,43.30660681,41.191067,37.2163433,27.13122772,27.02489762,28.43218544,29.2212521,29.4292772,29.81428706,32.33673913,38.35966767,40.72285456,44.3488947,39.72651042,37.99917163,30.91608636,27.33247206,29.13176482,29.73624938,29.55613323,32.8732776,33.48886717,37.61145994,40.30725879,42.28251911,39.52340129,34.98402946,25.23696597,26.40394964,25.80601211,28.53345128,28.83025909,29.6796933
271,36.09763324,37.88236515,42.18712653,44.34853157,41.63888808,38.59698159,31.24277657,29.90160096,32.18247578,30.77106347,32.09812258,34.86023458,36.05617854,38.82047965,42.06778262,44.28989099,43.32598918,37.4996552,28.51791464,27.33356764,29.84414365,30.56113372,30.97737403,32.05482881,34.97838138,39.79643815,42.83939519,44.70337371,42.3497735,40.73135497,33.8210025,27.29283632,30.03647812,31.00959181,31.81509569,36.19459666,35.49429021,39.23181161,41.46869792,44.01578004,43.52418847,37.1490197,25.94130366,27.55725776,27.47762502,30.1057114,30.72935239,32.35575581
272,35.97710278,37.42463401,40.87224825,42.79530881,39.61767905,36.15823823,28.64524171,28.326295,30.7953718,30.07445584,30.90603493,33.51212551,34.75995584,37.65352068,41.17229872,43.05343381,42.24471626,37.19636374,27.8691125,25.8708698,29.04378812,29.75875938,29.72119139,30.88476467,33.2411203,39.52594896,42.05189154,43.60918882,40.91840367,38.36048981,30.76740562,26.82916993,29.41502098,30.49794134,31.00237438,35.1236782,34.45813286,38.68963848,40.49457157,42.259386,40.22108526,35.47246705,25.00726431,26.69156531,25.94317255,29.04744289,29.60704883,30.80625496
273,35.60287481,37.62732469,41.08968574,43.65867662,40.96084429,37.66891292,29.46054125,28.06744953,31.3733422,30.34614195,32.34377299,34.42828218,35.46131251,37.75890484,41.79459764,43.61399142,42.309957,39.00445685,27.39603669,25.43329724,29.44305641,29.88428451,30.20519337,31.6198147,34.98514232,40.76545608,42.55175724,45.68605439,42.15227642,40.41046289,32.92895249,27.90893729,29.57091057,30.52114219,31.36164545,34.79602935,34.46602112,39.22228661,40.90645837,43.34527226,42.69719165,37.13829811,26.61228522,26.31749839,26.1286264,29.3449365,30.26209117,31.65088882
274,36.99203971,37.54017966,41.04594012,43.86929542,41.11769418,38.58881137,28.98775179,30.03038483,31.54791698,30.45178487,32.90964354,35.18437034,35.57196775,37.46403629,41.85153856,44.23219328,42.00777887,38.53858811,28.0529107,26.49483456,29.59591182,29.60474245,30.54013688,32.37424683,35.09105718,40.39355142,42.24956783,45.51746012,42.60891818,41.55925509,33.92855444,24.10894743,29.52661318,30.69637066,31.88981369,34.6445531,33.8073693,37.97534441,41.02315509,43.22514899,42.48441161,37.55016413,27.38584222,26.71802897,26.75267886,29.79984007,30.38020336,31.93717113
275,34.89504608,35.98534241,36.91181341,40.15118673,37.9521863,35.19699702,32.27626684,29.95710761,31.96711896,31.59396427,31.16065788,31.71540621,32.31629519,34.98795548,36.40412023,40.38866014,38.70165887,32.54371898,30.75779526,28.65137787,27.72404651,28.2763675,29.4874323,30.75381965,31.308283,33.95109173,36.66105771,41.84806891,37.82792145,36.66181058,29.95711962,29.42486885,33.76321565,30.01457961,30.87810435,31.59000709,29.69478945,33.63271799,35.94860627,36.28190557,36.98741528,33.28070183,23.09114015,27.74612364,28.01746349,31.28190274,30.3335772,29.16394726
276,40.84011803,39.85141093,42.22444414,45.38916552,40.37208619,40.05731819,,31.82842987,35.73726324,39.09230579,41.44853967,39.80768323,39.01121329,38.5271507,38.85377711,44.77362339,43.08981883,,,,32.76662366,36.06557508,36.89276146,38.74012901,36.39860829,40.04216031,43.84165523,44.48808949,43.86867691,43.91,28.43,31.13541312,31.97008235,33.70110074,38.52987373,38.30900631,35.61056547,37.24612407,41.23762558,42.22341202,42.73546802,40.18818282,,,31.04992863,34.64943453,36.55075213,34.4688471
277,41.07243388,39.16776751,41.80562502,45.39435418,40.32930883,41.02365852,34.99973827,33.59352482,34.57322624,38.80822029,41.00158882,39.72560442,38.87364962,39.02254277,39.76751892,44.84429529,43.27915774,36.86795782,36.96386818,31.2120536,30.68293155,34.08627699,36.71708205,38.65334543,36.86631658,39.22553282,43.96089826,45.24073126,44.76928084,41.19949993,30.50989861,29.38586121,31.01945053,33.34050727,37.921956,38.40916924,35.99331183,37.78265357,41.69128314,41.94778751,40.91211689,39.73619249,25.49971732,26.71905942,30.28384351,34.28144543,36.07216169,34.77383521
278,40.04210297,38.57197195,40.95930094,45.10325961,40.50143032,39.84443463,34.88852333,33.46303265,34.53558465,38.36292662,40.25349164,39.87443174,38.48880853,38.53352711,39.52261137,44.92473188,43.10880737,35.91074275,36.20620241,30.27643812,30.37700244,34.41775991,36.22772527,37.75604898,36.46672786,39.03137319,43.06746169,44.52372419,43.57348368,40.72274465,33.02073954,28.5681477,31.32265854,32.69288004,37.05895433,37.53755788,35.37908863,37.15962608,40.98303419,41.72137518,40.28447344,38.46976546,29.12390545,26.81057484,30.36431806,33.63404503,35.17973442,33.92875841
279,41.28037348,40.30420994,42.13464922,46.25296275,41.40850934,40.51846118,37.25416577,32.1701882,36.55010324,40.22474737,42.17805416,40.75205357,38.96873508,39.47612052,40.02835137,45.63474574,44.18566889,37.72416359,36.7966863,25.61721775,31.08961827,36.75363967,37.29241466,38.88987187,37.73516886,39.67792464,43.93592204,45.44563955,44.66803198,41.50694335,31.01608444,30.84499569,30.82713683,32.85833463,38.12610752,38.75917435,36.20041082,38.72366837,41.46313371,42.88815092,41.48583338,39.63979753,31.20094229,29.20609999,30.80739774,34.47029993,36.16975737,35.37680534
280,40.64732269,39.50490709,41.29594321,45.76998206,41.17140134,41.32467856,33.83633086,32.68253123,35.56343597,39.47756056,40.83325975,40.2645438,39.14567175,38.82844491,39.92369913,45.19061373,43.78728191,35.45664935,34.87560335,26.48452705,31.31970038,36.3849775,37.20664701,38.25718746,36.88222373,39.65578758,43.67057733,44.96729568,44.11883694,40.95430958,33.79491841,28.97825325,30.91894876,33.29677494,37.82987598,38.17911732,35.59739826,38.62568771,41.37644345,42.14127216,40.94193283,38.30334116,29.38528373,28.89671422,30.64082917,33.34688461,35.25591494,34.35300733
281,34.64252316,33.43223886,36.98130942,37.85279602,33.79479894,35.8712261,37.38398942,34.35400856,35.73702605,37.79731924,37.67998087,33.89305877,35.03296838,33.43967924,34.87867371,38.976675,40.22312431,32.50473641,34.93278547,35.44709882,34.95109563,36.97402061,36.78490184,34.31822684,32.68549907,32.94816401,37.55029168,38.70275398,37.59017326,37.96905986,31.7524525,34.4248687,33.78401383,35.66961099,37.16084085,33.43878701,32.64854067,36.01080726,36.47091845,36.78962033,37.37889669,35.08232881,31.68280008,32.8310664,33.99152652,36.26787534,34.45019827,29.25249981
282,37.14349556,36.2965181,42.54704462,43.79014284,38.95605672,40.44631098,40.87260246,37.83704348,38.51577584,43.2457173,42.27249001,37.65258792,38.66302238,36.89339699,40.41246733,45.08109601,46.59947552,37.03257078,39.68763095,36.60136449,35.13485281,40.92096389,41.05938636,37.38713678,35.35825422,35.54823436,41.731573,45.59792544,43.49534752,43.20577194,34.46980854,38.46434262,38.23265131,40.49033653,40.4213113,36.18092369,34.82717535,38.51935604,39.52876099,41.16892168,41.51365457,39.7835415,31.40075174,34.50703008,36.93251858,39.02274572,37.31963712,30.96647782
283,37.4357603,38.12039183,42.25846671,44.15938005,39.72147025,41.07224989,41.580703,36.30714686,38.00379582,44.25271,43.44000933,38.63817685,39.45297051,37.33393849,40.34198218,45.52207817,46.75374818,36.45528129,39.44849159,35.11152975,37.950612,42.09047624,41.92633677,38.0640484,35.59717439,37.26165569,41.84731166,44.94974588,42.67495059,42.86718327,36.23216284,37.50250565,37.83715662,39.89712989,40.51381327,36.50050263,34.97088674,38.56319439,40.01362329,40.94950327,41.03567321,39.00923898,31.17673874,34.46651683,36.19780552,39.82310895,38.10854716,32.41262708
