fid,REGION,DEPARTEMEN,COM_ARRT_V,COMMUNE,ARRONDISSE,_count,_sum,class1_percentage,class6_percentage,class8_percentage,class7_percentage,class9_percentage,class2_percentage,class3_percentage,class4_percentage,class5_percentage
437,KEDOUGOU,SARAYA,SABODALA,MISSIRAH SIRIMANA,SABODALA,1941783,55,0,0.001,0,0.001,0.002,0,0.362,0.629,0.004
438,KEDOUGOU,SARAYA,SABODALA,SABODALA,SABODALA,1947245,98,0,0.001,0.002,0.001,0.001,0,0.472,0.52,0.003
439,LOUGA,LINGUERE,DAHRA,DAHRA,,29460,10424,0.354,0,0,0.196,0,0,0,0.014,0.436
440,LOUGA,LINGUERE,SAGATTA DJOLOF,AFFE DJOLOF,SAGATTA DJOLOF,342481,231556,0.676,0,0,0.002,0,0,0,0.005,0.317
441,LOUGA,LINGUERE,SAGATTA DJOLOF,BOULAL,SAGATTA DJOLOF,859177,708275,0.824,0,0,0,0,0,0,0.004,0.171
442,LOUGA,LINGUERE,SAGATTA DJOLOF,DEALY,SAGATTA DJOLOF,1323129,1049245,0.793,0,0,0.001,0,0,0,0.005,0.2
443,LOUGA,LINGUERE,SAGATTA DJOLOF,SAGATTA DJOLOF,SAGATTA DJOLOF,416813,363772,0.873,0,0,0.003,0,0,0,0.005,0.12
444,LOUGA,LINGUERE,SAGATTA DJOLOF,THIAMENE PASSE,SAGATTA DJOLOF,615533,392217,0.637,0,0,0.003,0,0,0,0.01,0.35
445,LOUGA,KEBEMER,SAGATTA,KANENE NDIOB,SAGATTA,152395,63759,0.418,0,0,0.008,0,0,0,0.001,0.571
446,LOUGA,KEBEMER,SAGATTA,LORO,SAGATTA,161632,122300,0.757,0,0,0.007,0,0,0,0.001,0.234
447,LOUGA,KEBEMER,SAGATTA,NGOURANE OUOLOF,SAGATTA,141520,46735,0.33,0,0,0.011,0,0,0,0.001,0.655
448,LOUGA,KEBEMER,SAGATTA,SAGATTA GUETH,SAGATTA,214879,133583,0.622,0,0,0.009,0,0,0,0.001,0.367
449,LOUGA,KEBEMER,SAGATTA,THIOLOM FALL,SAGATTA,260257,45668,0.175,0,0,0.013,0,0,0,0.001,0.801
450,KAFFRINE,MALEM HODDAR,SAGNA,DIANKE SOUF,SAGNA,514228,140318,0.273,0,0,0.003,0,0,0,0.438,0.286
451,KAFFRINE,MALEM HODDAR,SAGNA,SAGNA,SAGNA,661815,207470,0.313,0,0,0.005,0,0,0,0.43,0.251
452,SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,,25574,68,0.003,0.063,0.1,0.556,0.011,0.009,0.01,0.034,0.207
453,LOUGA,LOUGA,SAKAL,LEONA,SAKAL,497467,48498,0.097,0.001,0.011,0.013,0.002,0.003,0.003,0.038,0.811
454,LOUGA,LOUGA,SAKAL,NGUEUNE SARR,SAKAL,299512,7765,0.026,0,0,0.01,0,0,0,0.002,0.94
455,LOUGA,LOUGA,SAKAL,SAKAL,SAKAL,568974,60330,0.106,0,0,0.007,0,0,0,0.002,0.881
456,SAINT LOUIS,PODOR,SALDE,GALOYA TOUCOULEUR,SALDE,4400,0,0,0,0,0.141,0,0,0,0,0.856
457,SAINT LOUIS,PODOR,SALDE,BOKE DIALLOUBE,SALDE,2838778,1404,0,0.005,0.002,0.001,0,0,0.011,0.042,0.916
458,SAINT LOUIS,PODOR,SALDE,MBOLO BIRANE,SALDE,1354546,253,0,0.023,0.002,0.001,0,0,0.005,0.023,0.919
459,SAINT LOUIS,PODOR,SALDE,PETE,SALDE,4433,0,0,0,0.001,0.118,0,0,0,0.003,0.869
460,DAKAR,GUEDIAWAYE,VILLE DE GUEDIAWAYE,GOLF SUD,SAM NOTAIRE,9864,3,0,0.03,0.024,0.52,0.089,0.001,0.068,0.031,0.234
461,DAKAR,GUEDIAWAYE,VILLE DE GUEDIAWAYE,SAM NOTAIRE,SAM NOTAIRE,3188,0,0,0.003,0.046,0.883,0.003,0,0.002,0.002,0.05
462,DAKAR,RUFISQUE,SANGALKAM,BAMBILOR,SANGALKAM,88776,32291,0.364,0,0.002,0.07,0,0,0.068,0.205,0.288
463,DAKAR,RUFISQUE,SANGALKAM,SANGALKAM,SANGALKAM,61855,13399,0.217,0,0.002,0.226,0,0,0.079,0.229,0.243
464,DAKAR,RUFISQUE,SANGALKAM,TIVAOUANE PEULH NIAGHA,SANGALKAM,65899,5637,0.086,0.042,0.09,0.18,0.017,0,0.023,0.161,0.376
465,KOLDA,KOLDA,SARE BIDJI,THIETTY,SARE BIDJI,228300,3406,0.015,0,0,0.001,0,0,0.875,0.105,0.005
466,KOLDA,KOLDA,SARE BIDJI,SARE BIDJI,SARE BIDJI,377120,8676,0.023,0.001,0,0.004,0,0,0.817,0.134,0.02
467,KOLDA,VELINGARA,SARE COLY SALLE,KOUNKANE,SARE COLY SALLE,51332,2257,0.044,0.005,0,0.04,0.008,0,0.437,0.398,0.068
468,KOLDA,VELINGARA,SARE COLY SALLE,DIAOBE KABENDOU,SARE COLY SALLE,60149,3986,0.066,0.007,0,0.08,0.003,0,0.24,0.465,0.139
469,KOLDA,VELINGARA,SARE COLY SALLE,KANDIA,SARE COLY SALLE,472414,38292,0.081,0.007,0,0.005,0.001,0,0.305,0.479,0.122
470,KOLDA,VELINGARA,SARE COLY SALLE,KANDIAYE,SARE COLY SALLE,341295,5924,0.017,0.015,0,0.003,0.019,0,0.561,0.348,0.037
471,KOLDA,VELINGARA,SARE COLY SALLE,NEMATABA,SARE COLY SALLE,210131,10739,0.051,0,0,0.004,0,0,0.129,0.663,0.151
472,KOLDA,VELINGARA,SARE COLY SALLE,SARE COLY SALLE,SARE COLY SALLE,387310,31780,0.082,0.012,0,0.005,0.009,0,0.397,0.394,0.1
473,SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,,18964,99,0.005,0.004,0,0.246,0.16,0.001,0.464,0.102,0.018
474,THIES,MBOUR,SESSENE,NGUENIENE,SESSENE,418221,268724,0.643,0.04,0.016,0.008,0.009,0,0.054,0.11,0.119
475,THIES,MBOUR,SESSENE,SANDIARA,SESSENE,194122,161948,0.834,0,0,0.014,0,0,0.021,0.078,0.053
476,THIES,MBOUR,SESSENE,SESSENE,SESSENE,171323,160756,0.938,0,0,0.011,0,0,0.003,0.018,0.03
477,THIES,MBOUR,SESSENE,THIADIAYE,SESSENE,14642,11382,0.777,0,0,0.141,0,0,0.008,0.04,0.032
478,SEDHIOU,GOUDOMP,SIMBANDI BRASSOU,BAGHERE,SIMBANDI BRASSOU,137060,682,0.005,0.001,0,0.008,0,0,0.961,0.016,0.009
479,SEDHIOU,GOUDOMP,SIMBANDI BRASSOU,DIOUBOUDOU,SIMBANDI BRASSOU,77357,462,0.006,0.008,0,0.006,0.136,0,0.756,0.024,0.064
480,SEDHIOU,GOUDOMP,SIMBANDI BRASSOU,NIAGHA,SIMBANDI BRASSOU,261855,1852,0.007,0,0,0.004,0,0,0.979,0.01,0
481,SEDHIOU,GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU,SIMBANDI BRASSOU,142631,732,0.005,0.002,0,0.011,0.071,0,0.868,0.017,0.027
482,SEDHIOU,GOUDOMP,SIMBANDI BRASSOU,TANAFF,SIMBANDI BRASSOU,14355,86,0.006,0.002,0,0.064,0,0,0.85,0.024,0.054
483,THIES,MBOUR,SINDIA,POPENGUINE,SINDIA,19430,603,0.031,0.003,0.005,0.099,0.001,0,0.173,0.552,0.134
484,THIES,MBOUR,SINDIA,SINDIA,SINDIA,272484,98436,0.361,0.005,0.001,0.026,0,0,0.149,0.336,0.121
485,THIES,MBOUR,SINDIA,NGAPAROU,SINDIA,7955,325,0.041,0.001,0.005,0.477,0.002,0,0.02,0.339,0.115
486,THIES,MBOUR,SINDIA,SALY PORTUDAL,SINDIA,18452,1442,0.078,0.001,0.005,0.59,0,0.001,0.015,0.225,0.085
487,THIES,MBOUR,SINDIA,DIASS,SINDIA,215747,29098,0.135,0,0.008,0.032,0,0,0.111,0.51,0.197
488,THIES,MBOUR,SINDIA,MALICOUNDA,SINDIA,209618,112718,0.538,0.001,0.001,0.059,0.001,0,0.091,0.196,0.113
489,THIES,MBOUR,SINDIA,NGUEKHOKH,SINDIA,28596,11908,0.416,0,0,0.176,0,0.001,0.051,0.247,0.109
490,THIES,MBOUR,SINDIA,SOMONE,SINDIA,8943,146,0.016,0.144,0.007,0.304,0.01,0,0.048,0.26,0.209
491,ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,SINDIAN,474497,2363,0.005,0.001,0,0.002,0,0,0.963,0.012,0.01
492,ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,SINDIAN,688880,6635,0.01,0.001,0,0.002,0.007,0,0.946,0.019,0.016
493,ZIGUINCHOR,BIGNONA,SINDIAN,SINDIAN,SINDIAN,265416,1270,0.005,0,0,0.004,0,0,0.976,0.014,0.001
494,ZIGUINCHOR,BIGNONA,SINDIAN,SUELLE,SINDIAN,232930,1260,0.005,0.004,0,0.005,0.009,0,0.849,0.024,0.104
495,FATICK,FOUNDIOUGNE,SOKONE,SOKONE,,9415,3117,0.331,0.006,0,0.337,0,0.001,0.082,0.131,0.112
496,DIOURBEL,MBACKE,TAIF,SADIO,TAIF,336775,188969,0.561,0,0,0.005,0,0,0,0.001,0.433
497,DIOURBEL,MBACKE,TAIF,TAIF,TAIF,276255,177186,0.641,0,0,0.003,0,0,0,0.002,0.353
498,FATICK,FATICK,TATTAGUINE,DIARRERE,TATTAGUINE,183038,169051,0.924,0,0,0.012,0,0,0.001,0.01,0.053
499,FATICK,FATICK,TATTAGUINE,DIOUROUP,TATTAGUINE,279008,154853,0.555,0.006,0.047,0.009,0.002,0,0,0.031,0.346
500,FATICK,FATICK,TATTAGUINE,TATTAGUINE,TATTAGUINE,180734,158511,0.877,0,0,0.016,0,0,0.002,0.034,0.07
501,ZIGUINCHOR,BIGNONA,TENDOUCK,KARTIACK,TENDOUCK,105963,285,0.003,0.134,0.003,0.011,0.099,0.002,0.404,0.051,0.293
502,ZIGUINCHOR,BIGNONA,TENDOUCK,BALINGHORE,TENDOUCK,114086,659,0.006,0.016,0.002,0.006,0.001,0.001,0.769,0.047,0.152
503,ZIGUINCHOR,BIGNONA,TENDOUCK,DIEGOUNE,TENDOUCK,143358,378,0.003,0.002,0,0.006,0.009,0.001,0.845,0.041,0.094
504,ZIGUINCHOR,BIGNONA,TENDOUCK,MANGAGOULACK,TENDOUCK,458450,287,0.001,0.479,0.001,0.002,0.254,0,0.175,0.019,0.07
505,ZIGUINCHOR,BIGNONA,TENDOUCK,MLOMP,TENDOUCK,110283,257,0.002,0.173,0.003,0.004,0.054,0.003,0.572,0.058,0.13
506,ZIGUINCHOR,BIGNONA,THIONCK ESSYL,THIONCK ESSYL,,115047,124,0.001,0.455,0.009,0.013,0.116,0.001,0.147,0.056,0.202
507,ZIGUINCHOR,BIGNONA,TENGHORI,COUBALAN,TENGHORI,358698,1199,0.003,0.09,0,0.004,0.29,0.001,0.452,0.03,0.128
508,ZIGUINCHOR,BIGNONA,TENGHORI,NIAMONE,TENGHORI,305125,363,0.001,0.19,0.003,0.002,0.124,0,0.497,0.02,0.162
509,ZIGUINCHOR,BIGNONA,TENGHORI,OUONCK,TENGHORI,277533,5836,0.021,0.006,0,0.003,0.052,0.001,0.714,0.044,0.158
510,ZIGUINCHOR,BIGNONA,TENGHORI,TENGHORI,TENGHORI,293918,1106,0.004,0.002,0,0.016,0.001,0,0.89,0.03,0.057
511,DAKAR,PIKINE,VILLE DE PIKINE,DIAMAGUENE SICAP MBAO,THIAROYE,6025,17,0.003,0.001,0.003,0.83,0,0,0.036,0.025,0.1
512,DAKAR,PIKINE,VILLE DE PIKINE,MBAO,THIAROYE,23005,119,0.005,0.002,0.015,0.565,0.002,0.001,0.047,0.22,0.143
513,DAKAR,PIKINE,VILLE DE PIKINE,THIAROYE GARE,THIAROYE,1854,1,0.001,0,0.006,0.839,0,0,0.001,0.01,0.142
514,DAKAR,PIKINE,VILLE DE PIKINE,THIAROYE SUR MER,THIAROYE,4128,1,0,0.001,0.013,0.933,0.002,0,0.001,0.003,0.045
515,DAKAR,PIKINE,VILLE DE PIKINE,TIVAOUANE DIACKSAO,THIAROYE,1282,0,0,0,0.004,0.946,0,0,0,0,0.049
516,THIES,THIES,THIENABA,NDIEYENE SIRAKH,THIENABA,109389,89339,0.817,0,0,0.03,0,0,0,0.012,0.141
517,THIES,THIES,THIENABA,NGOUDIANE,THIENABA,96122,45516,0.474,0,0.003,0.071,0,0,0,0.057,0.395
518,THIES,THIES,THIENABA,THIENABA,THIENABA,170980,131139,0.767,0,0,0.02,0,0,0.004,0.07,0.139
519,THIES,THIES,THIENABA,TOUBA TOUL,THIENABA,218607,177709,0.813,0,0,0.032,0,0,0,0.009,0.146
520,THIES,THIES,VILLE DE THIES,THIES NORD,THIES NORD,67138,3730,0.056,0,0,0.188,0,0.001,0.043,0.497,0.216
521,THIES,THIES,VILLE DE THIES,THIES OUEST,THIES SUD,14714,8,0.001,0,0.001,0.752,0,0,0.004,0.093,0.148
522,THIES,THIES,VILLE DE THIES,THIES EST,THIES SUD,16890,594,0.035,0,0,0.731,0,0,0.009,0.103,0.121
523,SAINT LOUIS,PODOR,THILE BOUBACAR,NIANDANE,THILE BOUBACAR,31597,465,0.015,0.027,0,0.012,0,0.013,0.012,0.312,0.602
524,SAINT LOUIS,PODOR,THILE BOUBACAR,FANAYE,THILE BOUBACAR,1852569,2941,0.002,0.005,0.001,0.002,0,0.005,0.001,0.018,0.956
525,SAINT LOUIS,PODOR,THILE BOUBACAR,NDIAYENE PEINDAO,THILE BOUBACAR,1862579,1141,0.001,0.006,0.003,0.001,0,0.004,0.002,0.018,0.952
526,FATICK,FOUNDIOUGNE,TOUBACOUTA,KARANG POSTE,TOUBACOUTA,12335,5105,0.414,0,0,0.232,0,0,0.236,0.089,0.015
527,FATICK,FOUNDIOUGNE,TOUBACOUTA,KEUR SALOUM DIANE,TOUBACOUTA,333793,186508,0.559,0.04,0,0.008,0,0,0.253,0.116,0.024
528,FATICK,FOUNDIOUGNE,TOUBACOUTA,KEUR SAMBA GUEYE,TOUBACOUTA,275159,165805,0.603,0.001,0,0.009,0,0,0.299,0.073,0.015
529,FATICK,FOUNDIOUGNE,TOUBACOUTA,NIORO ALASSANE TALL,TOUBACOUTA,220569,171803,0.779,0.001,0,0.015,0,0,0.11,0.062,0.033
530,FATICK,FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,TOUBACOUTA,816131,81443,0.1,0.365,0.001,0.005,0.106,0,0.322,0.041,0.06
531,MATAM,RANEROU FERLO,RANEROU,RANEROU,,13258,10,0.001,0,0.003,0.029,0,0,0,0.007,0.948
532,MATAM,RANEROU FERLO,VELINGARA,LOUGRE THIOLY,VELINGARA,1280539,909,0.001,0,0,0,0,0,0.014,0.056,0.924
533,MATAM,RANEROU FERLO,VELINGARA,OUDALAYE,VELINGARA,11297318,38818,0.003,0,0,0,0,0,0.007,0.49,0.496
534,MATAM,RANEROU FERLO,VELINGARA,VELINGARA,VELINGARA,3951438,101512,0.026,0,0,0,0,0,0.002,0.526,0.446
535,KAOLACK,NIORO,WACK NGOUNA,KEUR MADIABEL,WACK NGOUNA,6720,4455,0.663,0,0,0.216,0,0,0.019,0.058,0.044
536,KAOLACK,NIORO,WACK NGOUNA,KEUR MABA DIAKHOU,WACK NGOUNA,286279,237424,0.829,0.018,0,0.009,0,0,0.082,0.044,0.016
537,KAOLACK,NIORO,WACK NGOUNA,KEUR MANDONGO,WACK NGOUNA,68862,61974,0.9,0,0,0.013,0,0,0.047,0.025,0.014
538,KAOLACK,NIORO,WACK NGOUNA,NDRAME ESCALE,WACK NGOUNA,166679,150187,0.901,0,0,0.013,0,0,0.015,0.046,0.025
539,KAOLACK,NIORO,WACK NGOUNA,WACK NGOUNA,WACK NGOUNA,310206,238957,0.77,0.067,0,0.012,0.002,0,0.09,0.043,0.016
540,DAKAR,GUEDIAWAYE,VILLE DE GUEDIAWAYE,MEDINA GOUNASS,WAKHINANE NIMZATT,849,0,0,0.001,0,0.969,0,0,0,0.001,0.028
541,DAKAR,GUEDIAWAYE,VILLE DE GUEDIAWAYE,NDIAREME LIMAMOULAYE,WAKHINANE NIMZATT,1505,0,0,0,0.082,0.837,0,0,0.001,0.004,0.064
542,DAKAR,GUEDIAWAYE,VILLE DE GUEDIAWAYE,WAKHINANE NIMZATT,WAKHINANE NIMZATT,4847,1,0,0.004,0.063,0.712,0.001,0,0.017,0.008,0.175
543,MATAM,KANEL,WOURO SIDY,HAMADY HOUNARE,WOURO SIDY,10592,61,0.006,0.002,0.003,0.121,0,0,0.001,0.033,0.832
544,MATAM,KANEL,WOURO SIDY,NDENDORY,WOURO SIDY,2794927,7916,0.003,0.005,0.002,0.002,0,0,0.005,0.654,0.323
545,MATAM,KANEL,WOURO SIDY,WOURO SIDY,WOURO SIDY,4458075,9989,0.002,0.002,0,0.001,0,0,0.003,0.706,0.283
546,LOUGA,LINGUERE,YANG YANG,MBEULEUKHE,YANG YANG,4200,1020,0.243,0,0,0.083,0,0,0,0.018,0.656
547,LOUGA,LINGUERE,YANG YANG,KAMB,YANG YANG,806204,380036,0.471,0,0,0.001,0,0,0,0.006,0.522
548,LOUGA,LINGUERE,YANG YANG,MBOULA,YANG YANG,894387,198378,0.222,0,0,0.001,0,0,0,0.012,0.765
549,LOUGA,LINGUERE,YANG YANG,TESSEKERE FORAGE,YANG YANG,1908437,33821,0.018,0,0,0,0,0,0,0.008,0.974
550,LOUGA,LINGUERE,YANG YANG,YANG YANG,YANG YANG,508365,72820,0.143,0,0,0.001,0,0,0,0.003,0.853
551,DAKAR,KEUR MASSAR,YEUMBEUL,YEUMBEUL NORD,YEUMBEUL,8929,6,0.001,0.005,0.011,0.746,0,0.001,0.038,0.033,0.16
552,DAKAR,KEUR MASSAR,YEUMBEUL,YEUMBEUL SUD,YEUMBEUL,2507,0,0,0,0.002,0.958,0,0,0,0.002,0.037
553,ZIGUINCHOR,ZIGUINCHOR,ZIGUINCHOR,ZIGUINCHOR,,32726,99,0.003,0.005,0,0.669,0.017,0.001,0.182,0.081,0.04
