fid,REGION,DEPARTEMEN,COM_ARRT_V,COMMUNE,ARRONDISSE,_count,_sum,class1_percentage,class6_percentage,class8_percentage,class7_percentage,class9_percentage,class2_percentage,class3_percentage,class4_percentage,class5_percentage
333,DIOURBEL,DIOURBEL,NDINDY,NDINDY,NDINDY,213718,206420,0.966,0,0,0.005,0,0,0,0.003,0.027
334,DIOURBEL,DIOURBEL,NDINDY,TAIBA MOUTOUPHA,NDINDY,142432,133924,0.94,0,0,0.007,0,0,0,0.008,0.044
335,DIOURBEL,DIOURBEL,NDINDY,TOUBA LAPPE,NDINDY,89893,87040,0.968,0,0,0.004,0,0,0,0.002,0.024
336,FATICK,FATICK,NDIOP,DIAKHAO,NDIOP,13344,10792,0.809,0,0,0.054,0,0,0,0.025,0.112
337,FATICK,FATICK,NDIOP,DIAOULE,NDIOP,133500,122087,0.915,0,0,0.008,0,0,0,0.011,0.067
338,FATICK,FATICK,NDIOP,MBELLACADIAO,NDIOP,275589,122108,0.443,0.027,0.086,0.005,0.025,0,0.001,0.038,0.37
339,FATICK,FATICK,NDIOP,NDIOP,NDIOP,147457,136110,0.923,0,0,0.01,0,0,0,0.005,0.061
340,FATICK,FATICK,NDIOP,THIARE NDIALGUI,NDIOP,164036,142769,0.87,0,0,0.01,0,0,0.001,0.017,0.102
341,KOLDA,MEDINA YORO FOULAH,NDORNA,BIGNARABE,NDORNA,379260,3420,0.009,0.002,0,0.002,0,0,0.842,0.133,0.012
342,KOLDA,MEDINA YORO FOULAH,NDORNA,BOUROUCO,NDORNA,648950,75577,0.116,0,0,0.002,0,0,0.466,0.401,0.015
343,KOLDA,MEDINA YORO FOULAH,NDORNA,KOULINTO,NDORNA,778996,5806,0.007,0,0,0.001,0,0,0.819,0.163,0.01
344,KOLDA,MEDINA YORO FOULAH,NDORNA,NDORNA,NDORNA,864655,9373,0.011,0,0,0.001,0,0,0.856,0.123,0.01
345,DIOURBEL,DIOURBEL,DIOURBEL,DIOURBEL,,37150,15495,0.417,0,0,0.382,0,0,0.002,0.063,0.135
346,DIOURBEL,DIOURBEL,NDOULO,NDOULO,NDOULO,123347,113385,0.919,0,0,0.01,0,0,0.001,0.017,0.053
347,DIOURBEL,DIOURBEL,NDOULO,NGOHE,NDOULO,147405,134290,0.911,0,0,0.013,0,0,0.001,0.018,0.057
348,DIOURBEL,DIOURBEL,NDOULO,PATTAR,NDOULO,130641,118449,0.907,0,0,0.011,0,0,0,0.007,0.075
349,DIOURBEL,DIOURBEL,NDOULO,TOCKY GARE,NDOULO,192845,177978,0.923,0,0,0.007,0,0,0,0.007,0.063
