fid,COMMUNE,REGION,LZCODE,LZNAME,DEM,aug_22,nov_dec_24,oct_24,recur,AEZclass,AEZclassname,popsum2021,popmean2021,popsum2022,popmean2022,popsum2023,popmean2023,popsum2024,popmean2024,Rainfed_percentage_scaled,Wetland_percentage_scaled,Bare_percentage_scaled,Impervious_percentage_scaled,Water_percentage_scaled,Irrigated_percentage_scaled,Shrubland_percentage_scaled,Forest_percentage_scaled,Grassland_percentage_scaled,Dry_LST_2021_scaled,Dry_LST_2022_scaled,Dry_LST_2023_scaled,Dry_LST_2024_scaled,Wet_LST_2021_scaled,Wet_LST_2022_scaled,Wet_LST_2023_scaled,Wet_LST_2024_scaled,Dry_NDVI_2021_scaled,Dry_NDVI_2022_scaled,Dry_NDVI_2023_scaled,Dry_NDVI_2024_scaled,Wet_NDVI_2021_scaled,Wet_NDVI_2022_scaled,Wet_NDVI_2023_scaled,Wet_NDVI_2024_scaled,Dry_VHI_M_2021_scaled,Dry_VHI_M_2022_scaled,Dry_VHI_M_2023_scaled,Dry_VHI_M_2024_scaled,Wet_VHI_M_2021_scaled,Wet_VHI_M_2022_scaled,Wet_VHI_M_2023_scaled,Wet_VHI_M_2024_scaled,Dry_precip_log_2021_scaled,Dry_precip_log_2022_scaled,Dry_precip_log_2023_scaled,Dry_precip_log_2024_scaled,Wet_precip_log_2021_scaled,Wet_precip_log_2022_scaled,Wet_precip_log_2023_scaled,Wet_precip_log_2024_scaled
148,DIOSSONG,FATICK,7,Small Coast Fishing and Tourism,14,0.00117279,0,0.000118646,2,1,Tropics lowland; semi-arid no soil/terrain limitations,26054.93591,5.455388591,26496.04987,5.482319443,26419.17399,5.34368406,27925.49891,5.524332129,0.63577222,0.379341865,0.037792895,0.011459288,0.125820569,0,0.105156894,0.088734061,0.10437524,0.643968205,0.663099453,0.524550983,0.649856461,0.454838959,0.611084247,0.333225546,0.328079271,0.329903554,0.332317873,0.348119437,0.354763632,0.696233705,0.594959466,0.725194821,0.857229324,0.396551666,0.484536053,0.462694074,0.55527323,0.338235261,0.795465557,0.740594161,0.686927164,0.007357504,0.070710544,0.113234457,0.106031669,0.801969445,0.911391226,0.924724038,0.904338298
149,DJILOR,FATICK,7,Small Coast Fishing and Tourism,0,0.002917112,0.001040721,0.021025994,3,2,Tropics lowland; semi-arid with soil/terrain limitations,26875.3723,5.129866826,27618.84813,5.214054773,27202.02771,5.130522012,27594.61938,5.196726813,0.31577391,0.603290676,0.340136054,0.004167014,0.361050328,0,0.15878691,0.078874721,0.272653687,0.540101933,0.4666817,0.412099597,0.542217696,0.400004895,0.192521859,0.335583842,0.357604874,0.312734914,0.299186362,0.325275143,0.327048928,0.578517218,0.538780499,0.605926826,0.60016656,0.413793029,0.363250364,0.412619006,0.55527323,0.382352959,0.819585167,0.579702929,0.57838877,0.346041907,0.206824087,0.256739093,0.287136245,0.82212979,0.927278574,0.940622279,0.917973762
150,MBAM,FATICK,7,Small Coast Fishing and Tourism,0,0.00022414,0,0.01266239,2,2,Tropics lowland; semi-arid with soil/terrain limitations,20258.42077,4.77567675,21806.0097,5.12600134,22746.28649,5.347034907,22451.22842,5.265297471,0.339008111,0.33820841,0.661375661,0.010417535,0.776805252,0,0.104105325,0.020814162,0.316320879,0.552908679,0.458141693,0.441559222,0.502737475,0.296022663,0.163576124,0.337267583,0.292023873,0.274109422,0.268469016,0.273800379,0.296074445,0.48202923,0.46888552,0.599185589,0.600113674,0.344827575,0.257125547,0.224837277,0.459974528,0.691176568,0.771345945,0.554950478,0.711046776,0.024004602,0.157969627,0.22035338,0.077715305,0.78294184,0.889236861,0.897820787,0.890406727
151,NIASSENE,FATICK,7,Small Coast Fishing and Tourism,17,0,0,0,0,1,Tropics lowland; semi-arid no soil/terrain limitations,16656.18569,4.924951416,17924.3891,5.092155993,18721.48663,5.209094777,20097.00687,5.557800573,0.917750929,0,0,0.013542795,0,0,0.05993943,0.032864467,0.031951604,0.76062973,0.735118075,0.733882288,0.741746313,0.559891988,0.742801088,0.314024386,0.413516181,0.281948561,0.274998471,0.295000425,0.280636064,0.69036058,0.616239224,0.667090612,0.866206948,0.275862121,0.332928989,0.47521284,0.539390145,0.279411783,0.92812356,0.703465334,0.711046776,0,0.075863575,0.063398415,0.187367041,0.808188292,0.890001838,0.891320007,0.876692663
152,PASSY,FATICK,7,Small Coast Fishing and Tourism,11,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,16986.45153,20.31872192,17564.72478,20.28259213,17447.50459,20.12399606,16735.17995,19.30239902,0.530162217,0,0,0.252104342,0,0,0.171405737,0.043819289,0.054317727,0.731643799,0.70040822,0.614648203,0.690326085,0.640091395,0.668123728,0.476717866,0.573357716,0.332164808,0.316428299,0.344599032,0.337791218,0.560532447,0.509302568,0.54498586,0.717569551,0.689655254,0.696785871,0.725588478,1,0.808823521,0.916063756,0.653960431,0.711046776,0,0.057291506,0.074059468,0.059537423,0.793214577,0.890842234,0.890716761,0.866937521
153,SOUM,FATICK,7,Small Coast Fishing and Tourism,8,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,4397.265179,21.03954631,4956.532556,23.71546678,5211.574853,24.93576485,4984.598528,23.84975372,0.407654613,0,0,0.369822485,0,0,0.116724152,0.002190964,0.153367699,0.398218642,0.360605818,0.383578676,0.385613622,0.242139907,0.237054864,0.379708973,0.293107009,0.309513831,0.313913256,0.310419237,0.32356843,0.437546145,0.492736902,0.569471834,0.600479011,0.465517323,0.393571921,0.412619006,0.618805572,0.779411783,0.964302978,0.851980193,0.940183365,0,0,0,0,0,0,0,0
154,BAMBALY,SEDHIOU,12,"Forest, Rainfed Rice, and Groundnut",0,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,17228.68364,5.850147247,17440.24421,5.884023014,18019.05785,6.046663707,19074.9668,6.354086209,0.0031683,0.013711152,0,0.005208767,0.935448578,0,0.01997981,0.790938171,0.07987901,0.366514754,0.305774449,0.166654065,0.37533322,0.106308506,0.010891051,0.038824358,0.127794566,0.930612937,0.898063591,0.92378477,0.902793146,1,0.940792475,0.859170748,0.868614264,0.982758637,0.954517934,0.975963966,0.920584383,0.485294043,0.686927164,0.641584206,0.602508525,0.187885256,0.97290713,0.778917003,0.292761201,1,0.954153993,1,1
155,DJIREDJI,SEDHIOU,12,"Forest, Rainfed Rice, and Groundnut",0,0.000935358,0.000108513,0.000357944,3,2,Tropics lowland; semi-arid with soil/terrain limitations,19720.44992,6.506252037,19901.82119,6.531611812,19796.15516,6.473562839,20953.09388,6.785328329,0.0042244,0.009140768,0,0.006250521,1,0,0.031547068,0.786556242,0.059642994,0.360013676,0.326565648,0.176857502,0.333921329,0.09798401,0.065001348,0.043211717,0.121251442,0.911042803,0.919408693,0.99969225,0.943926065,0.95393108,0.928210863,0.933471235,0.954431184,0.879310455,1,1,0.984116915,0.661764654,0.623122867,0.802475289,0.646143639,0.107644167,1,0.65362766,0.27236596,1,0.959967199,1,1
156,DODJI,LOUGA,6,Sylvopatoral Livestock and Gathering,49,0,5.48E-05,0,1,53,Desert/Arid climate,17226.07793,1.566149462,17141.30069,1.555189684,17073.12525,1.542009145,17525.84455,1.571120085,0.0126732,0,0,0.001041753,0,0,0.01997981,0.001095482,1,0.878032612,0.977811334,0.920975024,0.880771375,0.888989107,0.883331096,0.98856038,0.765125862,0.219634716,0.194181554,0.194630241,0.152917742,0.25673583,0.306496122,0.23296475,0.334953621,0.793103432,0.666464493,0.487731609,0.650571744,0.588235304,0.40955135,0.691089109,0.711046776,0.578218288,1,0.723721636,0.95510865,0.68894993,0.829823202,0.839994724,0.777498685
157,LABGAR,LOUGA,6,Sylvopatoral Livestock and Gathering,51,0,0,0,0,53,Desert/Arid climate,12455.02492,1.554352292,12017.97447,1.499809618,13251.36458,1.650026719,14205.69218,1.758783234,0.0010561,0,0,0,0,0,0.007360983,0,1,0.902913734,0.970454726,0.947350993,0.901720357,0.755963398,0.929989821,0.912314867,0.974661866,0.181606692,0.154639328,0.145877734,0.113488984,0.184814463,0.261734824,0.183065863,0.256417973,0.517241414,0.530018119,0.450175307,0.332909753,1,0.590448578,0.678712884,0.554269161,0.154695112,0.880945637,0.467750878,0.703954738,0.699014467,0.813416826,0.80193532,0.756795453
158,OUARKHOKH,LOUGA,6,Sylvopatoral Livestock and Gathering,50,0,3.66E-05,0,1,53,Desert/Arid climate,17233.11912,2.056212757,17876.79221,2.119610174,18166.94166,2.149933924,18647.58596,2.192801736,0.259800608,0,0,0.002083507,0,0,0.016825103,0,0.779619137,0.949949336,1,1,0.999883202,0.942369083,0.979378306,0.907304467,0.753798466,0.284732579,0.256201568,0.240891133,0.173258828,0.32124156,0.340656801,0.383437035,0.408095629,0.896551818,0.696785871,0.537806677,0.317026668,0.676470522,0.361312131,0.666336659,0.554269161,0,1,0.753122542,1,0.710676327,0.804878558,0.841837866,0.788282609
159,BADION,KOLDA,10,Rainfed Groundnut and Cereals,56,0,0,0,0,50,Land with severe soil/terrain limitations,13712.82647,3.129353371,13638.29954,3.11163576,13786.47934,3.138283483,13986.09148,3.169293334,0.031683001,0,0,0.00312526,0,0,0.411163456,0.56965076,0.058577941,0.690174742,0.677035568,0.566143503,0.76488968,0.047143678,0.121614016,0.130623489,0.054506312,0.526492535,0.518888896,0.480764033,0.492274744,0.920302306,0.998464496,0.845863239,0.779566794,0.637930959,0.272286235,0.400100089,0.39644219,0.499999912,0.493970134,0.554950478,0.180414905,0.505386412,0.075044925,0.457507275,0.074927783,0.965610571,0.866262096,0.936523158,0.945112133
160,FAFACOUROU,KOLDA,10,Rainfed Groundnut and Cereals,54,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,9563.888726,2.972921581,9469.812116,2.942763243,9494.008972,2.942966203,9628.014777,2.977122689,0.0126732,0,0,0.001041753,0,0,0.195591823,0.8446168,0.029821497,0.642759904,0.633378205,0.525758911,0.774122013,0,0.023984522,0.099452049,0.100903201,0.591015789,0.63704484,0.638145927,0.51915274,0.910540624,1,0.912556831,0.857419055,0.620689596,0.469375365,0.512769142,0.459974528,0.85294113,0.638687942,0.876732643,0.457790717,0.332285987,0.04779768,0.509351209,0.055795512,0.996706572,0.899327566,0.974264292,0.960474618
161,FATICK,FATICK,8,Rainfed Groundnut and Millet,6,0,0,0.002307217,1,2,Tropics lowland; semi-arid with soil/terrain limitations,30430.12276,19.4441679,28991.0001,18.47737418,29150.37881,18.49643325,26724.67346,16.91435029,0.294651909,0.031992687,0.623582766,0.306275523,0.00547046,0,0.060990999,0,0.346142376,0.810191072,0.66175345,0.610384928,0.752220804,0.71115416,0.697111006,0.490864996,0.505955647,0.223118305,0.189749583,0.21524379,0.233227387,0.231850727,0.352633669,0.380604497,0.388455666,0.551724143,0.30260761,0.249874812,0.428208359,0.02941174,0.481910326,0.183663409,0.349252323,0,0,0,0,0,0,0,0
162,DJILASSE,FATICK,8,Rainfed Groundnut and Millet,0,0.002931594,0.007837902,0.057817226,3,2,Tropics lowland; semi-arid with soil/terrain limitations,12330.04344,2.472932901,12349.47872,2.476830871,12498.32962,2.497168755,12612.05804,2.50686902,0.332671511,0.12797075,1,0.00312526,0.886214442,0,0.045217464,0.013145787,0.365313339,0.51283354,0.45642361,0.364820265,0.531652769,0.388326167,0.190969101,0.251144482,0.286648387,0.148051766,0.125474176,0.117348862,0.163451961,0.203400871,0.255618789,0.257581664,0.255930175,0.500000052,0.514857428,0.425137772,0.618805572,0.132352913,0.650747747,0.31980204,0.686927164,0.06129127,0.216249072,0.119412351,0.221109963,0.769283075,0.894161855,0.887797124,0.883401181
163,FIMELA,FATICK,7,Small Coast Fishing and Tourism,0,0.004768349,0.003504217,0.020100011,3,2,Tropics lowland; semi-arid with soil/terrain limitations,34304.20326,4.736841102,33897.9627,4.680746023,34982.68212,4.80597364,33828.45203,4.631496718,0.238678608,0.443327239,0.963718821,0.014584549,0.929978118,0.112107623,0.086228653,0.01971868,0.358923018,0.300435303,0.223290973,0.184607308,0.263446896,0.244363923,0.191321272,0.149986527,0.194746044,0.235997107,0.235791813,0.228129267,0.264922957,0.33357119,0.337951219,0.377265501,0.408791688,0.827586161,0.545178807,0.500250375,0.793519703,0.455882305,0.542209356,0.505445575,0.723106581,0.481085442,0.224802013,0.09040958,0.219101646,0.792134049,0.915661831,0.915991831,0.910506403
164,LOUL SESSENE,FATICK,8,Rainfed Groundnut and Millet,0,0.004157161,0,0.039326072,2,2,Tropics lowland; semi-arid with soil/terrain limitations,26428.17668,2.317244777,28032.12046,2.452503977,28111.29897,2.44403573,28985.8546,2.518756917,0.516432917,0.109689214,1,0.004167014,0.153172867,0,0.031547068,0.007668376,0.340817109,0.729606595,0.651768704,0.57299808,0.720729925,0.474036564,0.279399015,0.385772029,0.310955237,0.266953575,0.249695505,0.307717027,0.293602735,0.411175438,0.594213084,0.626083737,0.652326434,0.551724143,0.514857428,0.537806677,0.602922487,0.073529347,0.566328965,0.542574253,0.783405752,0.03840518,0.254272455,0.107844219,0.283528139,0.769524129,0.882767228,0.878060729,0.879760113
165,PALMARIN FACAO,FATICK,7,Small Coast Fishing and Tourism,0,0.005794492,2.31E-05,0.005658899,3,2,Tropics lowland; semi-arid with soil/terrain limitations,8020.115003,5.980697243,8066.389285,6.015204537,8534.660939,6.364400402,8246.402349,6.149442467,0.055973302,1,0.434618292,0.02396033,0.782275711,0,0.152477496,0.016432233,0.393004729,0.097655099,0.058109764,0.068948951,0.151365916,0.188335241,0.122975903,0.08261924,0.056791725,0.378085639,0.371881182,0.366135083,0.406034262,0.370873315,0.429558275,0.551150161,0.508215817,0.77586207,0.696785871,0.675513262,0.793519703,0.602941176,0.349252323,0.455940671,0.542209356,0.067843754,0.091382148,0.06516445,0.164349852,0.773877606,0.924855409,0.924872335,0.910513435
166,FISSEL,THIES,8,Rainfed Groundnut and Millet,11,0.000405543,0,0,1,2,Tropics lowland; semi-arid with soil/terrain limitations,42790.76126,3.267967104,43691.90674,3.309742197,43080.25821,3.214944642,49769.56435,3.628577162,0.95049003,0,0,0.013542795,0,0,0.021031379,0.002190964,0.068163422,0.808588066,0.795288637,0.778784306,0.778123135,0.860385968,0.453527788,0.75059982,0.673081244,0.270524951,0.247717747,0.265381462,0.273765222,0.383787983,0.478502492,0.667956937,0.527211196,0.189655202,0.196482703,0.375062556,0.602922487,0.514705957,0.530149548,0.678712884,0.638687942,0.062547714,0.491383111,0.578351027,0.50068006,0.749404516,0.884785522,0.885023342,0.844625759
167,NDIAGANIAO,THIES,8,Rainfed Groundnut and Millet,24,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,45657.1785,3.499975354,47469.96861,3.607414592,46757.06973,3.542739031,52523.99527,3.978487749,0.914582629,0,0,0.015626302,0,0,0.017876672,0.001095482,0.1075704,0.806183558,0.862345362,0.733308399,0.746199918,0.894053625,0.433821036,0.75000898,0.576905193,0.252626266,0.234415402,0.264336633,0.277162177,0.408514156,0.478391741,0.61447566,0.514570601,0.034482729,0.151000637,0.375062556,0.634688659,0.323529392,0.650747747,0.604455527,0.506029939,0.04445279,0.576523186,0.157017577,0.587412917,0.73367878,0.880931412,0.87737078,0.841184324
168,DIMBOLI,KEDOUGOU,15,Rainfed Maize and Artisanal Gold Mining,162,0,0,0.000204795,1,50,Land with severe soil/terrain limitations,10979.01584,2.298307691,11781.23976,2.453402699,11518.7821,2.391277165,12250.2113,2.538377808,0,0.004570384,0,0,0,0,0.443762093,0.632093247,0,0.820795058,0.791761636,0.648710845,0.818127608,0.111515532,0.111716059,0.083597492,0.099807235,0.50387635,0.508079191,0.546079196,0.47808643,0.975310102,1,0.911953833,1,0.500000052,0.530018119,0.500250375,0.428208359,0.558823566,0.602508382,0.493069349,0.747226335,0.385719021,0.292295092,0.39230376,0.305920452,0.946218178,0.929051831,0.949837257,0.94139768
169,FONGOLIMBI,KEDOUGOU,15,Rainfed Maize and Artisanal Gold Mining,381,0,0,0,0,50,Land with severe soil/terrain limitations,6965.880212,3.519899046,7338.521035,3.652822815,7344.86464,3.567199922,8012.995622,3.845007496,0,0.009140768,0,0.004167014,0,0,0.401699335,0.669339643,0,0.742063335,0.717907569,0.588215896,0.767456428,0.072604451,0.062196128,0.033126091,0.063703476,0.53770914,0.559886282,0.573779853,0.513970914,0.92936848,0.918779275,0.898879026,0.966663178,0.534482777,0.560339676,0.47521284,0.52350687,0.485294043,0.566328965,0.554950478,0.807525362,0.333079122,0,0.436979887,0.380751953,0.941366911,0.922364871,0.954163818,0.929668578
170,FOUNDIOUGNE,FATICK,7,Small Coast Fishing and Tourism,3,0,0,0.005325788,1,2,Tropics lowland; semi-arid with soil/terrain limitations,13564.75997,27.02143421,13357.83243,26.60922794,14552.4521,28.98894841,13154.86539,26.10092339,0.041187901,0.013711152,0.491307634,0.289607467,0.010940919,0,0.128291411,0,0.560218123,0.403027659,0.235652025,0.244595898,0.275155354,0.23503363,0.231444424,0.26956346,0.293107009,0.173855526,0.17095295,0.170782267,0.185423015,0.236740344,0.229272332,0.262027317,0.281174389,0.241379293,0.393571921,0.375062556,0.507623785,0.794117652,0.723106581,0.567326703,0.75928614,0,0.025765725,0.115960926,0,0.767418342,0.883721553,0.886090638,0.867752046
171,DEMETTE,SAINT LOUIS,2,"Delta Rice, Horticulture, and Agricultural Labor",10,0,0.017909571,0.053935058,2,52,Dominantly hydromorphic soils,3037.238827,6.871581056,3193.019887,7.224026893,3320.82801,7.412562522,3432.79606,7.577916248,0.0010561,0.411334552,0.113378685,0.030210851,0,0.112107623,0.032598637,0.001095482,0.886124483,0.852670719,0.632088161,0.728903984,0.594151214,0.794399114,0.831761584,0.555537591,0.72589924,0.180291869,0.174526958,0.176478899,0.17291223,0.088974457,0.059826724,0.116319807,0.069567755,0.293103487,0.408732612,0.450175307,0.459974528,0.735294174,0.337192518,0.790099064,0.493970134,0,0,0.194067508,0,0.425719353,0.623467207,0.669465615,0.715910047
172,DODEL,SAINT LOUIS,6,Sylvopatoral Livestock and Gathering,9,0,0.058056494,0.023119998,2,53,Desert/Arid climate,42043.48049,3.497502745,42227.34153,3.491016992,42788.66874,3.517937083,46027.93288,3.761373938,0,0.342778793,0.037792895,0.002083507,0,0,0.00946412,0,0.962808333,0.905542642,0.92792683,0.848467116,0.768725684,0.776668554,0.741917915,0.786584363,0.941699802,0.158120098,0.12421136,0.128528197,0.107671579,0.138585755,0.132910893,0.233258189,0.122979046,0.586206868,0.439053987,0.387581323,0.30114358,0.823529392,0.457790572,0.740594161,0.433671107,0.027058053,0.270515829,0.448291697,0.603747019,0.630078552,0.752398539,0.733923538,0.764495906
173,GAMADJI SARE,SAINT LOUIS,6,Sylvopatoral Livestock and Gathering,51,0,0.012371502,0.005712884,2,53,Desert/Arid climate,33218.98465,2.951224649,33168.89552,2.934261812,33742.4904,2.960646696,36072.14549,3.133438628,0,0.091407678,0.018896447,0.001041753,0,0,0.007360983,0.001095482,1,0.870435141,0.956608444,0.891461588,0.840665317,0.719643055,0.757129512,0.950566352,0.923686096,0.145951479,0.120464016,0.109331513,0.089531147,0.151606012,0.263964642,0.184854484,0.144179764,0.500000052,0.408732612,0.337506255,0.285260496,0.867646999,0.57838877,0.814851515,0.686927164,0.181337306,0.469827759,0.518784087,0.622446319,0.634575818,0.768394117,0.759182568,0.757017693
174,GUEDE VILLAGE,SAINT LOUIS,6,Sylvopatoral Livestock and Gathering,8,0,0.031039138,0.021417658,2,53,Desert/Arid climate,51342.92143,3.823287023,53862.49428,3.948573732,56214.3548,4.072323587,58156.78246,4.169243849,0.0010561,0.146252285,0.018896447,0.002083507,0,0.224215247,0.031547068,0.001095482,0.986239509,0.847809972,0.926701663,0.864702118,0.869853478,0.803628408,0.84071671,0.950424195,0.959114222,0.157930538,0.141029656,0.0981687,0.092272361,0.151427663,0.160136258,0.157896523,0.136940661,0.500000052,0.514857428,0.312468722,0.294915518,0.691176568,0.349252323,0.82722774,0.686927164,0.053738634,0.681241766,0.579051519,0.581289846,0.581175314,0.757599173,0.751299096,0.784878848
175,GUEDE CHANTIER,SAINT LOUIS,6,Sylvopatoral Livestock and Gathering,8,0,0,0,0,51,Ample irrigated soils,3390.142058,7.635455086,3459.135965,7.773339246,3761.634557,8.359187904,3885.364495,8.576963566,0.0126732,0.191956124,0,0.054171181,0,0.33632287,0.36699756,0.007668376,0.566608444,0.614624393,0.578151271,0.868739417,0.629383593,0.579180452,0.72796843,0.62829426,0.728264225,0.383036672,0.445622057,0.336401439,0.35649155,0.32931157,0.326904019,0.271016922,0.353602469,0.051724091,0,0,0,0.750000046,0.21659432,0.406435622,0.626628137,0,0,0,0,0,0,0,0
176,NDIOUM,SAINT LOUIS,6,Sylvopatoral Livestock and Gathering,10,0,0.002046084,0.009754563,2,53,Desert/Arid climate,22233.977,21.05490246,22622.58978,21.2618325,24226.97222,22.76971073,22337.04532,20.99346364,0.0010561,0.196526508,0.07558579,0.121885157,0,0.112107623,0.052578447,0.001095482,0.826481489,0.835037658,0.810978843,0.815022147,0.598912346,0.855310056,0.883190624,0.88799515,0.975405144,0.164696115,0.178194906,0.149940928,0.177598665,0.095935946,0.087318679,0.151550127,0.104990575,0.120689648,0.166161327,0.062093159,0,0.720588305,0.276893347,0.480693124,0.421611157,0,0,0,0,0,0,0,0
177,PODOR,SAINT LOUIS,2,"Delta Rice, Horticulture, and Agricultural Labor",9,0,0.046401813,0.001006923,2,52,Dominantly hydromorphic soils,10536.99775,24.05707248,9907.83016,21.72769772,10238.33033,22.4524788,9550.639088,20.94438397,0.0063366,0.443327239,0.113378685,0.21251771,0,0.224215247,0.053630016,0.003286447,0.604950369,0.776527955,0.632088161,0.834633214,0.71317952,0.824854585,0.659708067,0.737429264,0.889083196,0.229678423,0.172276656,0.181202936,0.176994697,0.089140206,0.07489443,0.130864688,0.067543522,0.655172528,0.711946559,0.775663546,1,1,0.78340575,0.950990146,1,0,0,0,0,0,0,0,0
178,BOULEL,KAFFRINE,10,Rainfed Groundnut and Cereals,50,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,31504.28053,2.67008056,32597.36194,2.757114263,33246.34931,2.806309556,34722.25865,2.913185557,0.373859412,0,0,0.00312526,0,0,0.19874653,0,0.48246922,0.936486447,0.780656861,0.76901257,0.761580236,0.763291753,0.574464005,0.509002326,0.410206789,0.281981919,0.197387544,0.257074446,0.242726197,0.377036391,0.509764031,0.537361005,0.670372508,0.293103487,0.226804169,0.36254379,0.39644219,0.514705957,0.819585167,0.666336659,0.73516653,0.028992366,0.073704844,0.21053233,0.449463179,0.826594118,0.850465604,0.898452249,0.869580308
179,GNIBY,KAFFRINE,10,Rainfed Groundnut and Cereals,43,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,24475.4654,3.184836097,25218.54842,3.267921267,25916.0928,3.339272362,26662.48835,3.410833868,0.467852315,0,0,0.004167014,0,0,0.03995962,0.001095482,0.546372428,0.932490062,0.859838498,0.939897359,0.796975447,0.787638943,0.700485676,0.5981426,0.550841867,0.260600469,0.19345787,0.249761159,0.221540393,0.322604497,0.444266233,0.436687367,0.591741777,0.327586212,0.24196486,0.312468722,0.412325274,0.411764696,0.92812356,0.592079302,0.711046776,0.033763847,0.042470616,0.188900311,0.243913562,0.79492705,0.82562023,0.873025894,0.834241728
180,KAHI,KAFFRINE,10,Rainfed Groundnut and Cereals,42,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,29839.4505,3.970652096,30200.35383,3.976346785,31736.65495,4.146414287,32745.83547,4.251601593,0.492142616,0,0,0.007292274,0,0,0.194540254,0.001095482,0.362118178,0.926408975,0.760372328,0.712877793,0.732224049,0.791962677,0.485104108,0.350404204,0.340406706,0.272782602,0.212999043,0.260064242,0.242813385,0.489627206,0.547843608,0.54086491,0.584882867,0.137931011,0.196482703,0.400100089,0.428208359,0.367647087,0.771345945,0.678712884,0.445730912,0.01852739,0.19180211,0.091956354,0.090563658,0.841769166,0.858991936,0.89767158,0.882297607
181,GOUDIRY,TAMBACOUNDA,14,Rainfed Maize and Lumber,64,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,12912.91812,13.84021235,13222.64617,14.17218239,15345.09757,16.44704991,14596.43077,15.64462033,0.0021122,0,0.018896447,0.048962414,0,0,0.800243964,0.001095482,0.200230052,0.912783428,0.845138873,0.878971278,0.960758396,0.703032701,0.291289125,0.593936944,0.45865595,0.227555294,0.234623234,0.24970147,0.206032889,0.367102509,0.741398112,0.541304402,0.491425888,0.534482777,0.317768301,0.425137772,0.30114358,0.249999957,0.879884194,1,0.38543174,0.007951192,0,0.082674529,0.044179081,0.836876432,0.838857987,0.886444762,0.872825972
182,GOUDOMP,SEDHIOU,12,"Forest, Rainfed Rice, and Groundnut",0,0,0,0,0,52,Dominantly hydromorphic soils,11105.01665,23.93322554,10675.41627,23.00736265,10965.78288,23.63315275,10269.09489,22.13167002,0.0042244,0.018281536,0,0.225018752,1,0,0.087280222,0.290302791,0.047927406,0.258757158,0.244641506,0.114992326,0.261824184,0.109151017,0.158508694,0.112934519,0.16776281,0.53169144,0.503997515,0.521055701,0.470932318,0.604787626,0.637334013,0.500893984,0.582668828,0.534482777,0.605821739,0.575363126,0.777636615,0.823529392,0.686927164,0.641584206,0.867824389,0.087072277,0.594381282,0.469249464,0.270417607,0.986636815,0.956339157,0.993772489,0.996626924
183,BISCUITERIE,DAKAR,0,Urban Area - Dakar,19,0,0,0,0,56,Dominantly built-up land,24739.7701,166.0387255,23582.29865,158.2704607,22641.2903,151.9549684,23396.54112,157.0237659,0,0,0,1,0,0,0,0,0.004260214,0.213071499,0.302174188,0.26505962,0.258967504,0.523345422,0.365159928,0.517138238,0.709344346,0,0,0,0.016198175,0,0,0,0.003244193,0.586206868,0.696785871,0.47521284,0.380559102,0.455882305,0.108055927,0.542574253,0.035697095,0,0,0,0,0,0,0,0
184,DIEUPPEUL DERKLE,DAKAR,0,Urban Area - Dakar,29,0,0,0,0,56,Dominantly built-up land,31178.73769,170.3756158,29806.6414,162.8778218,28688.41846,156.767314,29364.03284,160.4591959,0,0,0,1,0,0,0,0,0.002130107,0.211468494,0.297679447,0.262501655,0.228496258,0.52233024,0.230041814,0.443371059,0.614153705,0.007129488,0.011843424,0.044761638,0,0.028392929,0,0.007921127,0.029822467,0.77586207,0.530018119,0.274912345,0.428208359,0.544117697,0.252773737,0.418811847,0.566328965,0,0,0,0,0,0,0,0
185,GRAND DAKAR,DAKAR,0,Urban Area - Dakar,10,0,0,0,0,56,Dominantly built-up land,16776.30078,135.2927482,16398.18992,132.2434671,15606.22005,125.8566133,16373.99639,132.048358,0,0,0.056689342,1,0,0,0,0,0.00319516,0.147348271,0.261721521,0.215605625,0.17707603,0.520299875,0.347393532,0.436297494,0.602920027,0.062828609,0.037523331,0.050875097,0.045170522,0.054912887,0.042468021,0.024530494,0.0395039,0.103448282,0.060036417,0,0.031130846,0.014705872,0,0,0,0,0,0,0,0,0,0,0
186,HANN BEL AIR,DAKAR,0,Urban Area - Dakar,8,0,0,0,0,56,Dominantly built-up land,130718.3333,91.53944912,134682.2455,94.31529797,131630.5681,92.17826897,135389.1058,94.81029815,0,0.045703839,0.15117158,0.833402784,0.054704595,0,0.005257845,0.033959949,0.136326844,0.198644449,0.266216262,0.256533069,0.235161843,0.564967899,0.378250957,0.414066289,0.680964527,0.022725242,0,0.029061163,0.051860041,0.026761478,0.01628739,0.05642219,0.031831821,0.482758689,0.135839949,0.425137772,0.428208359,0.338235261,0.144235344,0.530198025,0.19247471,0,0,0,0,0,0,0,0
