fid,AEZclass,AEZclassname
142,2,Tropics lowland; semi-arid with soil/terrain limitations
143,2,Tropics lowland; semi-arid with soil/terrain limitations
144,2,Tropics lowland; semi-arid with soil/terrain limitations
145,2,Tropics lowland; semi-arid with soil/terrain limitations
146,2,Tropics lowland; semi-arid with soil/terrain limitations
147,2,Tropics lowland; semi-arid with soil/terrain limitations
148,1,Tropics lowland; semi-arid no soil/terrain limitations
149,2,Tropics lowland; semi-arid with soil/terrain limitations
150,2,Tropics lowland; semi-arid with soil/terrain limitations
151,1,Tropics lowland; semi-arid no soil/terrain limitations
152,2,Tropics lowland; semi-arid with soil/terrain limitations
153,2,Tropics lowland; semi-arid with soil/terrain limitations
154,2,Tropics lowland; semi-arid with soil/terrain limitations
155,2,Tropics lowland; semi-arid with soil/terrain limitations
156,53,Desert/Arid climate
157,53,Desert/Arid climate
158,53,Desert/Arid climate
159,50,Land with severe soil/terrain limitations
160,2,Tropics lowland; semi-arid with soil/terrain limitations
161,2,Tropics lowland; semi-arid with soil/terrain limitations
162,2,Tropics lowland; semi-arid with soil/terrain limitations
163,2,Tropics lowland; semi-arid with soil/terrain limitations
164,2,Tropics lowland; semi-arid with soil/terrain limitations
165,2,Tropics lowland; semi-arid with soil/terrain limitations
166,2,Tropics lowland; semi-arid with soil/terrain limitations
167,2,Tropics lowland; semi-arid with soil/terrain limitations
168,50,Land with severe soil/terrain limitations
169,50,Land with severe soil/terrain limitations
170,2,Tropics lowland; semi-arid with soil/terrain limitations
171,52,Dominantly hydromorphic soils
172,53,Desert/Arid climate
173,53,Desert/Arid climate
174,53,Desert/Arid climate
175,51,Ample irrigated soils
176,53,Desert/Arid climate
177,52,Dominantly hydromorphic soils
178,2,Tropics lowland; semi-arid with soil/terrain limitations
179,2,Tropics lowland; semi-arid with soil/terrain limitations
180,2,Tropics lowland; semi-arid with soil/terrain limitations
181,2,Tropics lowland; semi-arid with soil/terrain limitations
182,52,Dominantly hydromorphic soils
183,56,Dominantly built-up land
184,56,Dominantly built-up land
185,56,Dominantly built-up land
186,56,Dominantly built-up land
187,56,Dominantly built-up land
188,56,Dominantly built-up land
189,2,Tropics lowland; semi-arid with soil/terrain limitations
190,2,Tropics lowland; semi-arid with soil/terrain limitations
191,2,Tropics lowland; semi-arid with soil/terrain limitations
192,56,Dominantly built-up land
193,56,Dominantly built-up land
194,2,Tropics lowland; semi-arid with soil/terrain limitations
195,2,Tropics lowland; semi-arid with soil/terrain limitations
196,2,Tropics lowland; semi-arid with soil/terrain limitations
197,2,Tropics lowland; semi-arid with soil/terrain limitations
198,2,Tropics lowland; semi-arid with soil/terrain limitations
199,2,Tropics lowland; semi-arid with soil/terrain limitations
200,2,Tropics lowland; semi-arid with soil/terrain limitations
201,2,Tropics lowland; semi-arid with soil/terrain limitations
202,2,Tropics lowland; semi-arid with soil/terrain limitations
203,2,Tropics lowland; semi-arid with soil/terrain limitations
204,2,Tropics lowland; semi-arid with soil/terrain limitations
205,2,Tropics lowland; semi-arid with soil/terrain limitations
206,2,Tropics lowland; semi-arid with soil/terrain limitations
207,2,Tropics lowland; semi-arid with soil/terrain limitations
208,52,Dominantly hydromorphic soils
209,2,Tropics lowland; semi-arid with soil/terrain limitations
210,50,Land with severe soil/terrain limitations
211,2,Tropics lowland; semi-arid with soil/terrain limitations
212,2,Tropics lowland; semi-arid with soil/terrain limitations
213,2,Tropics lowland; semi-arid with soil/terrain limitations
214,2,Tropics lowland; semi-arid with soil/terrain limitations
215,53,Desert/Arid climate
216,2,Tropics lowland; semi-arid with soil/terrain limitations
217,2,Tropics lowland; semi-arid with soil/terrain limitations
218,50,Land with severe soil/terrain limitations
219,50,Land with severe soil/terrain limitations
220,2,Tropics lowland; semi-arid with soil/terrain limitations
221,2,Tropics lowland; semi-arid with soil/terrain limitations
222,2,Tropics lowland; semi-arid with soil/terrain limitations
223,53,Desert/Arid climate
224,53,Desert/Arid climate
225,53,Desert/Arid climate
226,53,Desert/Arid climate
227,2,Tropics lowland; semi-arid with soil/terrain limitations
228,2,Tropics lowland; semi-arid with soil/terrain limitations
229,2,Tropics lowland; semi-arid with soil/terrain limitations
230,2,Tropics lowland; semi-arid with soil/terrain limitations
231,2,Tropics lowland; semi-arid with soil/terrain limitations
232,2,Tropics lowland; semi-arid with soil/terrain limitations
233,50,Land with severe soil/terrain limitations
234,2,Tropics lowland; semi-arid with soil/terrain limitations
235,2,Tropics lowland; semi-arid with soil/terrain limitations
236,2,Tropics lowland; semi-arid with soil/terrain limitations
237,2,Tropics lowland; semi-arid with soil/terrain limitations
238,2,Tropics lowland; semi-arid with soil/terrain limitations
239,2,Tropics lowland; semi-arid with soil/terrain limitations
240,2,Tropics lowland; semi-arid with soil/terrain limitations
241,2,Tropics lowland; semi-arid with soil/terrain limitations
242,2,Tropics lowland; semi-arid with soil/terrain limitations
243,2,Tropics lowland; semi-arid with soil/terrain limitations
244,2,Tropics lowland; semi-arid with soil/terrain limitations
245,2,Tropics lowland; semi-arid with soil/terrain limitations
246,1,Tropics lowland; semi-arid no soil/terrain limitations
247,1,Tropics lowland; semi-arid no soil/terrain limitations
248,2,Tropics lowland; semi-arid with soil/terrain limitations
249,2,Tropics lowland; semi-arid with soil/terrain limitations
250,2,Tropics lowland; semi-arid with soil/terrain limitations
251,2,Tropics lowland; semi-arid with soil/terrain limitations
252,2,Tropics lowland; semi-arid with soil/terrain limitations
253,2,Tropics lowland; semi-arid with soil/terrain limitations
254,2,Tropics lowland; semi-arid with soil/terrain limitations
255,2,Tropics lowland; semi-arid with soil/terrain limitations
256,53,Desert/Arid climate
257,2,Tropics lowland; semi-arid with soil/terrain limitations
258,1,Tropics lowland; semi-arid no soil/terrain limitations
259,2,Tropics lowland; semi-arid with soil/terrain limitations
260,2,Tropics lowland; semi-arid with soil/terrain limitations
261,2,Tropics lowland; semi-arid with soil/terrain limitations
262,2,Tropics lowland; semi-arid with soil/terrain limitations
263,2,Tropics lowland; semi-arid with soil/terrain limitations
264,2,Tropics lowland; semi-arid with soil/terrain limitations
265,2,Tropics lowland; semi-arid with soil/terrain limitations
266,2,Tropics lowland; semi-arid with soil/terrain limitations
267,56,Dominantly built-up land
268,53,Desert/Arid climate
269,2,Tropics lowland; semi-arid with soil/terrain limitations
270,2,Tropics lowland; semi-arid with soil/terrain limitations
271,2,Tropics lowland; semi-arid with soil/terrain limitations
272,2,Tropics lowland; semi-arid with soil/terrain limitations
273,50,Land with severe soil/terrain limitations
274,52,Dominantly hydromorphic soils
275,2,Tropics lowland; semi-arid with soil/terrain limitations
276,2,Tropics lowland; semi-arid with soil/terrain limitations
277,2,Tropics lowland; semi-arid with soil/terrain limitations
278,2,Tropics lowland; semi-arid with soil/terrain limitations
