fid,region,departemen,com_arrt_v,commune,arrondisse,shape_leng,shape_area,superficie,censusname,geo1_sn2013,geo2_sn2013,geo3_sn2013,cell,chsurv,yrschool,migrated,emp_cat1,emp_cat2,emp_cat3,empd_cat1,empd_cat2,empd_cat3,empd_cat4,empd_cat5,empd_cat6,empd_cat7,empd_cat8,z_chsurv,z_yrschool,z_migrated,z_emp_cat1,kmg3,kmg4,kmg5,kmg6,kmg7,_merge
26,DAKAR,DAKAR,VILLE DE DAKAR,OUAKAM,ALMADIES,.12432802,.00061034912,7.272428,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
27,DAKAR,DAKAR,VILLE DE DAKAR,YOFF,ALMADIES,.20144975,.0011614166,13.836982,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
418,DAKAR,DAKAR,VILLE DE DAKAR,GRAND YOFF,PARCELLES ASSAINIES,.097124875,.00052484975,6.2533145,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
96,DAKAR,DAKAR,VILLE DE DAKAR,MEDINA,DAKAR PLATEAU,.064254373,.0002065446,2.4614708,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
419,DAKAR,DAKAR,VILLE DE DAKAR,PARCELLES ASSAINIES,PARCELLES ASSAINIES,.077489212,.00030297341,3.6094317,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
93,DAKAR,DAKAR,VILLE DE DAKAR,FANN POINT E AMITIE,DAKAR PLATEAU,.11500566,.00039549364,4.7130423,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
24,DAKAR,DAKAR,VILLE DE DAKAR,MERMOZ-SACRE COEUR,ALMADIES,.10094276,.00036897173,4.3966255,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
95,DAKAR,DAKAR,VILLE DE DAKAR,GUEULE TAPEE-FASS-COLOBANE,DAKAR PLATEAU,.06576778,.00016099545,1.9185827,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
417,DAKAR,DAKAR,VILLE DE DAKAR,CAMBERENE,PARCELLES ASSAINIES,.064909115,.00014782815,1.7610456,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
187,DAKAR,DAKAR,VILLE DE DAKAR,HLM,GRAND DAKAR,.06726642,.0001487073,1.7719637,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
29,DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE,BABA GARAGE,.51322883,.011493297,136.81218,baba garage,diourbel,bambey,baba garage,.88426393,4.0837321,1.1301517,.2458704,.31509557,.065589979,.61931443,.23143123,.24217263,.0032931424,.047117267,.15984407,.21000116,.00050663727,.017478986,.82009166,-.70667666,-.36611658,.61402738,2,2,4,1,1,Matched (3)
