fid,2021-01_prec,2021-02_prec,2021-03_prec,2021-04_prec,2021-05_prec,2021-06_prec,2021-07_prec,2021-08_prec,2021-09_prec,2021-10_prec,2021-11_prec,2021-12_prec,2022-01_prec,2022-02_prec,2022-03_prec,2022-04_prec,2022-05_prec,2022-06_prec,2022-07_prec,2022-08_prec,2022-09_prec,2022-10_prec,2022-11_prec,2022-12_prec,2023-01_prec,2023-02_prec,2023-03_prec,2023-04_prec,2023-05_prec,2023-06_prec,2023-07_prec,2023-08_prec,2023-09_prec,2023-10_prec,2023-11_prec,2023-12_prec,2024-01_prec,2024-02_prec,2024-03_prec,2024-04_prec,2024-05_prec,2024-06_prec,2024-07_prec,2024-08_prec,2024-09_prec,2024-10_prec,2024-11_prec,2024-12_prec
148,3.300200462,0.989473403,0.00250032,0.0,0.0,173.9372253,353.6124573,1392.750854,634.7382813,251.3379517,0.0,0.161499292,0.506860673,0.024825223,0.084893778,0.0,93.43617249,316.8571777,827.0695801,1000.50354,891.3577881,301.0234985,5.91029501,0.0,1.331882,0.014390972,0.038785037,0.095367149,36.24745941,186.5855865,733.359436,844.3086548,861.7351685,156.253006,0.0,2.15912962,0.05755198,0.297013462,0.0,0.0,19.74367523,111.8891068,813.2490845,726.6906738,988.3273926,423.730835,0.0,6.90215683
149,8.53278923,3.910728931,0.01147674,0.0,0.0,554.4885254,1148.057617,4776.341797,1907.539795,851.7288818,0.124624908,1.117370486,3.16287446,0.401336968,0.064117417,0.0,275.0710754,1005.666565,2687.255859,3435.167969,3091.012207,1034.045532,22.6290741,0.0,3.799589634,0.401988536,0.157746732,0.0,102.671936,489.7571411,2348.677246,2862.157715,2795.192871,589.6048584,0.0,6.468773842,0.012386068,1.605126739,0.0,0.0,56.31452942,320.5994568,2586.430176,2249.4104,3152.293945,1346.326416,0.428389966,21.74614334
150,2.791574478,1.433087707,0.008180646,0.0,0.0,169.766449,328.3432007,1502.486694,518.9838867,260.09552,0.0,0.578821898,1.773419023,0.249143586,0.005603833,0.0,84.65177917,328.3080444,773.84375,1011.182739,932.7724609,320.8943787,9.417268753,0.0,1.382362843,0.244525313,0.072202124,0.0,31.49362373,121.2669067,692.7630615,865.6552734,828.7143555,206.5153656,0.0,2.274419308,0.041865863,0.322295517,0.0,0.0,17.76036835,107.672226,741.015686,663.4839478,925.4749756,406.5560303,0.0,7.574496269
151,1.990259647,0.407526791,0.0,0.0,0.0,154.3125,282.4255676,962.6259155,408.3145752,174.979187,0.0,0.0,0.232559234,0.0,0.098556481,0.0,78.18151093,236.2738037,573.2775269,654.484436,620.762146,225.7552338,5.412480354,0.0,0.876545608,0.051695839,0.029620551,0.039364405,31.9048214,184.638031,508.0602722,613.4061279,593.2567749,85.47931671,0.0,1.455948472,0.186696112,0.011273172,0.0,0.0,16.13826942,74.03239441,585.6113281,508.8640747,642.9822388,299.7770996,0.155673221,4.680238247
152,0.771773696,0.138218448,0.0,0.0,0.0,51.37430954,89.48649597,322.9186096,137.600296,60.43632507,0.0,0.0,0.195772931,0.0,0.02819204,0.0,25.60299301,84.30273438,200.0861206,221.9658203,204.2980652,72.90107727,1.731335044,0.0,0.303973168,0.03910771,0.013403427,0.007510816,10.33663273,61.75317764,171.6818848,201.3641968,196.2444305,30.21588135,0.0,0.481383801,0.044928223,0.031918894,0.0,0.0,5.121861458,25.52721214,199.2382813,164.9399109,223.7261658,96.6463089,0.0,1.655237675
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.45388931,2.241570473,0.0,0.0,3.096590996,975.940918,2445.369141,3699.934082,3167.640625,987.5938721,24.43472672,0.0,0.003214596,0.015777661,2.969828129,0.0,506.6328125,1518.342285,2173.236816,3561.329102,3191.595459,2183.328369,2.227799892,4.349636078,0.75140202,0.0,0.460874319,3.837727308,168.8828278,1475.221802,2898.768555,3899.893555,3098.054688,1353.901733,2.369617701,4.275748253,0.0,1.030301452,0.286874533,0.0,309.9765625,821.2149658,3568.287354,2951.049561,4536.104004,2415.507324,2.935590744,16.3117218
155,0.187371239,2.792458057,0.010322623,0.0,3.994462252,1119.622803,2937.973633,4591.776855,4075.839355,1292.396362,35.31118393,0.0,0.006971004,0.0,6.340334415,0.0,677.3217163,1796.038208,2972.238037,4809.762695,4036.663574,2993.802246,7.645241261,5.342987061,0.849470139,0.0,0.739401221,3.427622557,178.9570313,1659.864258,3446.537354,5205.757324,3952.272461,1855.21936,10.07490158,5.766571999,0.0,1.319190264,0.342766136,0.164606541,332.6624451,979.0303955,4752.674805,3608.879883,6143.88623,3130.668945,4.585923672,23.85973167
156,20.67007637,20.98254395,0.02567479,0.0,0.0,1302.789063,1174.996826,9429.171875,3059.394287,1102.663086,0.344520867,8.517391205,12.79191113,10.26031303,0.010374052,0.004600388,115.2061539,987.3643799,3728.800293,3878.03125,4548.816406,1297.57959,77.75484467,0.0,11.79428196,12.00668335,0.555864334,0.448667765,112.4726334,360.3454285,5724.811523,4466.162109,3483.637695,981.6453247,0.0,9.617311478,1.100031614,12.49415112,0.0,0.0,66.12432861,349.6590576,3683.727539,2640.009521,4482.991211,1657.781128,8.682666779,40.08058929
157,20.03502655,23.76359367,0.009204524,0.0,0.0,1058.779663,1132.739258,9079.661133,2892.376221,961.1212769,0.089743853,8.015565872,12.58388424,10.95952129,0.0,0.0,94.38020325,1039.909668,3386.663086,3630.456299,3837.596436,895.885498,59.27618408,0.0,10.37747669,11.87168884,0.371884853,0.978091002,74.82010651,299.9925537,5725.229004,3470.38208,2882.837158,812.7543945,0.0,7.454158783,1.42539537,9.082344055,0.0,0.0,27.92082977,418.9328613,2990.385742,2513.039063,4301.654785,1075.97876,27.41085434,25.441082
