month_year,SN0101,SN0102,SN0103,SN0104,SN0201,SN0202,SN0203,SN0301,SN0302,SN0303,SN0401,SN0402,SN0403,SN0404,SN0501,SN0502,SN0503,SN0601,SN0602,SN0603,SN0701,SN0702,SN0703,SN0801,SN0802,SN0803,SN0901,SN0902,SN0903,SN1001,SN1002,SN1003,SN1101,SN1102,SN1103,SN1201,SN1202,SN1203,SN1204,SN1301,SN1302,SN1303,SN1401,SN1402,SN1403
04_2021,0,0,0,0,0,0,0,0,2.54E-05,0,0,0,0.000132287,0,0,0.001199971,1.54E-05,0.186266141,0.192761206,0.08285057,0.055657739,0.013055885,0.438892851,0,0,0.001444553,0.001717467,0,0.000773929,0.014430884,0.000533797,0.007836176,0,0.000180082,0.001643037,0.04032777,0.020615875,0.005914563,0.172179218,0,0,0,0.100272409,0.012398777,0.000147596
05_2021,0.069274448,0,0.013286471,0,0.00138847,4.24E-05,0.000122764,0,0,0,0,0.05846028,0.143953198,0.001057458,3.60E-05,0,0,27.0291049,26.40538763,12.80222364,1.021408081,2.075366366,0.681972422,0.027924204,0.028630923,0.069164624,0.799132898,0.281592591,0.183922481,0,0.496477252,0,1.258438269,0.380682055,0.631433592,0.859042015,0.267370395,0.349473439,1.996691648,0.001018536,0.027849858,0.030903787,1.096183338,0.323938205,0.275206114
06_2021,8.419542313,0,9.226583481,12.9382871,35.03316157,37.29552612,45.37535979,36.00217482,49.48267313,50.92719288,68.38683092,75.28297602,81.66598993,65.99153339,54.2350181,55.40661021,68.99783203,128.8713608,128.4855248,132.7163554,111.9762634,101.249067,97.27866315,31.21865088,47.06342274,24.00041707,52.02537773,13.38508216,56.18844949,10.37877574,16.01360168,13.61573634,96.02512614,106.3797201,103.9219609,88.26315611,94.58441384,85.00785496,93.2323956,24.65117751,21.26635498,26.12941735,86.76817304,64.80121902,82.9087942
07_2021,17.72688484,0,16.77703094,21.92792257,46.33035863,39.76003418,41.92695056,69.99117726,98.69819478,62.6968149,129.8384713,114.6786314,138.0929019,83.00298496,90.16528916,109.2347752,133.1020052,171.8828626,190.641066,162.763829,280.7217589,235.6409733,200.2470495,16.3283104,43.32023176,5.968743642,139.4822865,61.96826172,129.9567064,0.792634436,29.79876206,1.704771634,199.0583496,256.1588542,242.6113496,125.5757238,167.7331501,173.0895211,182.0091087,52.13719201,38.55765625,21.00632712,205.4692663,229.4294349,252.0667146
08_2021,390.3582764,0,401.4124756,428.0321045,375.8844747,334.108374,313.0754266,379.0603897,389.7676729,317.2897887,350.8328758,320.3872184,272.024337,298.7958063,338.5958937,358.3977651,311.8021615,423.7725027,436.5655872,439.0766583,392.0024634,334.7006867,354.6006483,294.3728266,297.99797,241.9350993,377.525165,291.297193,357.5534382,187.8795296,249.6616345,230.5978583,324.295105,373.4203125,389.9539835,311.9724364,333.1296606,290.604178,340.8081558,392.0600361,415.7525781,335.494962,431.8558728,414.4474003,399.7049239
09_2021,120.5816498,0,135.6873169,134.6912435,107.4956782,102.1030762,99.42006322,106.2306371,181.1797633,103.9812513,168.2363677,155.9052507,139.2278988,140.2531139,118.6214629,135.0641489,164.7879427,247.009365,255.852287,213.6290559,294.9832137,248.369576,275.5672581,119.2947897,111.1838091,76.37659709,132.6966533,75.91929733,131.7657,61.04032476,85.39191332,75.46171202,269.5992432,310.9998698,323.2657538,135.8800561,174.7311185,171.2245245,238.4951128,118.2140325,113.617207,98.18894203,363.1503008,348.7062567,357.3829667
10_2021,31.56580544,0,29.34115601,30.04432424,38.07213576,33.4041687,40.12544652,50.29331111,71.20515872,40.61621094,46.84834248,51.41476086,57.38101999,42.0305314,52.76944788,61.04231237,49.9270638,154.4749933,158.117471,121.9753352,119.0359129,115.149694,120.5735123,34.94728765,37.28970073,24.75201925,25.54869598,6.405252856,40.1757521,15.32845745,14.95517723,15.58728027,85.82249959,106.5878743,98.01856542,48.72304518,80.15789316,68.35541355,106.9058997,45.32030123,43.22392578,33.15997828,61.34156677,71.50733264,86.65604441
11_2021,0,0,0,0,0,0.001461311,0.001269057,0.019350636,0.022333485,0.001141078,0.427974237,0.751737373,0.983955283,0.802193048,0,0.053996563,0.630264028,2.156255478,2.337722778,1.961129609,2.551729219,2.750166778,1.466139124,0.000618978,0.061423219,4.44E-05,0.297300131,0.076132187,0.20580648,0.000259709,0.006720162,0,2.208447138,3.723898315,2.67279036,1.345706164,2.099697602,0.363136789,0.857743062,0,0,0,1.517726854,1.597866848,3.299570184
12_2021,0.654517353,0,1.292096138,1.216250896,0.304213788,0.0415434,0.02978445,0.015374474,0.041174912,0.004704668,0.001295311,0,0,0,0.021699996,0.003460017,0,0.029444159,0.00976522,0.013807529,0,0,0.010326269,0.422429967,0.216745872,0.303959052,0,0.111063946,0.019311177,0.347859809,0.211604435,0.526514251,0,0,0,0,0,0,0.000153638,0.129928794,0.583014984,0.609829769,0.010122252,0.002439262,0
01_2022,0.436166286,0,0.346130103,0.333253384,0.319598218,0.441312408,0.534659235,0.420383716,0.167922974,0.484694114,0.204128691,0.156714218,0.082014711,0.316551784,0.351449687,0.156597028,0.069051247,0,0.000116459,0.000281117,0.000105141,0.000285349,0.000134336,0.311868338,0.512998986,0.373333295,0.046068267,0.175584205,0.179276944,0.658592468,0.177107813,0.61935997,0.000757924,0.00086076,0.000291603,0.004199467,0.000869103,0.020640916,0.000299653,0.580730849,0.319452667,0.339870774,0.003181339,0.000333088,6.11E-05
02_2022,0,0,0.38451907,0.283379992,0.245626084,0.084018272,0.047484219,0.034030679,0.014440053,0.005178537,0.000657472,0.00187746,0.001105232,0.003743598,0.00382815,0.00230794,0.000552128,0.000160723,0,0.000348985,1.97E-05,0,0,0.164892369,0.250087438,0.08456254,0.002556842,0.05495088,0.029669959,0.051987278,0.069313259,0.087298887,0,0.000141119,0.000173381,0.000126276,0.003141165,0.000621485,0.001132168,0.121402476,0.289576664,0.223495412,1.61E-05,0,0.000155596
03_2022,0,0,0,0,2.47E-05,0.000993737,0.004729685,0.006169264,0.03071753,0.009929445,0.020811825,0.017702535,0.036763731,0.01793443,0.021265056,0.011643103,0.016697898,0.003344039,2.47E-05,0.002598769,0.005203187,0.017335324,0.003859493,0,0.002331494,0.00013022,0.041798626,0.014056405,0.024183761,1.54E-05,0.001053961,0,0.023160761,0.241391865,0.144941707,0.002071951,0.054763152,0.06814212,0.030011908,0.004016582,0.000327693,0,0.145877838,0.232435802,0.272229245
04_2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325616233,0.349859422,0.230075062,0.00998205,0.000914247,0.221018223,0,9.06E-06,0,0.006519497,4.59E-05,0.000412023,0,0,0,0,0,0,0.030578553,0.005779868,0,0.087820643,0,0,0,0.005802385,0,0
05_2022,0,0,0.219078973,1.721564929,7.961818614,11.0352066,13.8473318,14.33411767,23.81216342,17.24309833,27.20010623,27.19345022,22.28045815,19.45926537,23.28603456,27.16426862,34.57789063,52.59543603,50.60501197,44.77036937,52.78984551,50.39756046,56.95693255,4.247614122,7.447653943,0.757998149,32.47209867,23.21066497,20.60707623,0.256166864,5.492795529,0.025414479,46.70756531,55.76806641,49.87048206,43.52816812,48.17646839,26.98244098,47.20462707,6.907198392,5.079503174,3.59985209,53.08416959,35.99211173,56.60638749
06_2022,21.40990829,0,25.24938774,34.26646932,52.29004945,59.53601074,53.57517925,67.38218952,82.89589654,58.80608348,88.6233636,89.82614349,81.61510588,70.12129643,73.01036704,85.41923348,102.339987,204.057926,209.1955645,185.0256226,183.6606489,155.5444118,194.7774269,33.80306479,37.69853054,18.19761276,111.19967,59.01556255,69.02641091,13.61041,25.11350216,17.27377425,128.8841451,157.8882487,154.745965,124.946919,160.6831531,111.7049507,164.5956068,54.14392278,46.76493652,31.87706036,137.9371745,130.2186574,152.3998124
07_2022,172.878952,0,165.1563721,190.0904541,156.0061087,127.576123,117.8933876,174.9817372,229.3404505,117.1452073,169.8935547,151.6061274,156.6297672,115.4600991,145.5287014,196.2837154,205.1323307,187.5559896,190.391318,177.4568217,179.5541244,187.5405305,150.7668197,106.7795025,116.400529,79.33078512,172.9665584,99.45644077,202.4040512,49.57922623,75.42088399,69.15172919,215.7069092,205.8004557,229.7294171,159.3269413,145.0292035,169.0805367,164.6142622,186.4396635,179.4719531,133.4374452,383.9436063,492.3184604,304.650185
08_2022,237.4138031,0,204.3133545,223.8613688,232.9064993,235.8571777,180.9938322,251.3780083,293.2310376,177.9852764,192.856894,169.147813,126.7771125,135.1233601,187.0381812,217.673572,224.8799219,273.5122863,301.6964466,247.5355454,338.3487824,272.7949841,285.9581117,184.5237753,128.1648314,153.0008443,226.9109942,162.2586869,169.0977146,139.1295192,104.9920554,183.0489123,276.3557332,339.3473307,360.157409,207.4551373,242.5871176,151.7942765,236.7870656,257.770613,232.1989453,191.675617,460.2859644,533.4805361,483.3983861
09_2022,230.6658936,0,245.7679291,242.4563599,226.0019947,190.8028442,148.9526239,221.9856322,240.7753717,181.3490961,223.7160051,206.4851472,199.4111842,191.1949993,213.4699171,231.6178599,221.7444271,223.6414931,214.7614982,215.8046725,316.8050394,264.1693123,258.2192902,137.9988399,154.2360974,103.9909261,251.0692554,115.6260901,206.2372401,85.87117686,97.99665533,114.9245858,275.2129313,320.2428385,328.649618,226.8825081,256.3536687,218.7460258,246.0929617,246.4565204,229.8767969,156.1027125,353.6415454,376.9110991,362.8608655
10_2022,68.62762451,0,60.07426453,61.29182943,39.007719,33.37871094,39.10111919,53.59889098,89.19381447,48.90907014,112.6633235,111.9278025,99.90711734,93.65526422,83.75270937,90.82010438,109.3023438,100.1757562,118.2796749,77.57260237,196.9862401,166.7467033,177.6921958,27.49733832,52.33120463,19.09977595,53.61684909,29.30116733,66.80301339,10.00960654,19.95992584,13.75649919,163.9256388,221.6360352,206.1719609,60.13150619,81.55969168,91.82284307,115.3136474,56.06294321,70.12720703,39.3658915,156.1108118,169.0353415,214.9803403
11_2022,1.993693709,0,1.522344589,1.450664679,1.526156486,2.028258896,2.477538661,1.315122495,2.623945218,2.023578742,2.483222755,2.868877145,2.532006916,2.449101862,2.336850422,2.299093778,2.76389445,1.331867055,2.80653529,1.373379879,0.829240679,0.833638768,0.98457515,2.092513923,2.511380413,1.269633293,1.014619834,1.135202009,1.666330301,0.225043134,1.031358392,0.553495078,0.907972336,0.391315015,0.341114086,1.009067816,1.490135995,2.381315812,0.962641421,1.36184845,1.694093018,1.609737218,1.099425919,0.754436822,0.558561225
12_2022,0,0,0,0,0,0,0,0,0.014652794,0,0.058503473,0.067529462,0.210252674,0.013263678,0,0.021469419,0.150573298,0.000799006,0.000407959,0.003579725,0.731051265,0.239956024,0.392026739,0,0,0,0.37726457,0.20104304,0.137929644,0,0.000219211,0,0.383078456,0.569531568,0.548507229,0.05096213,0.117791382,0.345757924,0.085209996,0,0,0,0.32323982,0.444077525,0.36819325
